library,logN,numSlots,q0,delta,residual_L,levelBudget_c2s,levelBudget_s2c,boot_depth,dnum,PCount,logQ_boot,logP_boot,logQP_boot,rep,precision_bits,worst_slot_bits,boot_us,level_in,level_out,level_out_expected,magnitude_ratio,scaling,in_scale_log2,q0_minus_scale_log2,correction_factor,setup_us,keygen_us,peak_rss_mb,ok,fail_reason
openfhe,16,32768,53,52,7,3,3,20,7,4,1457,240,1697,-3,5.52896,3.08013,47631702,26,19,20,1.08137,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,13559348,73267506,17695,1,
openfhe,16,32768,53,52,7,3,3,20,7,4,1457,240,1697,-2,5.53117,3.02055,46951776,26,19,20,1.06921,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,13559348,73267506,17695,1,
openfhe,16,32768,53,52,7,3,3,20,7,4,1457,240,1697,-1,5.53487,2.97815,44840660,26,19,20,1.07838,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,13559348,73267506,17695,1,
openfhe,16,32768,53,52,7,3,3,20,7,4,1457,240,1697,0,5.52764,2.82836,45154523,26,19,20,1.07144,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,13559348,73267506,17695,1,
openfhe,16,32768,53,52,7,3,3,20,7,4,1457,240,1697,1,5.52782,3.01443,45760373,26,19,20,1.0784,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,13559348,73267506,17695,1,
openfhe,16,32768,53,52,7,3,3,20,7,4,1457,240,1697,2,5.51758,2.98481,48591223,26,19,20,1.06406,FIXEDMANUAL|UNIFORM_TERNARY,52,1,7,13559348,73267506,17695,1,
openfhe,16,32768,59,52,7,3,3,20,7,4,1463,240,1703,-3,5.5217,3.12181,46306224,26,19,20,1.09338,FIXEDMANUAL|UNIFORM_TERNARY,52,7,7,12468224,72135479,17695,1,
openfhe,16,32768,59,52,7,3,3,20,7,4,1463,240,1703,-2,5.51134,2.74979,44192373,26,19,20,1.09444,FIXEDMANUAL|UNIFORM_TERNARY,52,7,7,12468224,72135479,17695,1,
openfhe,16,32768,59,52,7,3,3,20,7,4,1463,240,1703,-1,5.51196,3.09851,44527295,26,19,20,1.068,FIXEDMANUAL|UNIFORM_TERNARY,52,7,7,12468224,72135479,17695,1,
openfhe,16,32768,59,52,7,3,3,20,7,4,1463,240,1703,0,5.5073,3.17176,44685462,26,19,20,1.07622,FIXEDMANUAL|UNIFORM_TERNARY,52,7,7,12468224,72135479,17695,1,
openfhe,16,32768,59,52,7,3,3,20,7,4,1463,240,1703,1,5.51771,2.99488,45395448,26,19,20,1.07452,FIXEDMANUAL|UNIFORM_TERNARY,52,7,7,12468224,72135479,17695,1,
openfhe,16,32768,59,52,7,3,3,20,7,4,1463,240,1703,2,5.5167,3.09771,46803529,26,19,20,1.07147,FIXEDMANUAL|UNIFORM_TERNARY,52,7,7,12468224,72135479,17695,1,
openfhe,16,32768,54,53,7,3,3,20,7,4,1485,240,1725,-3,5.70105,3.37447,47347363,26,19,20,1.07815,FIXEDMANUAL|UNIFORM_TERNARY,53,1,7,12113963,71013765,17695,1,
openfhe,16,32768,54,53,7,3,3,20,7,4,1485,240,1725,-2,5.71106,3.18233,44805779,26,19,20,1.06082,FIXEDMANUAL|UNIFORM_TERNARY,53,1,7,12113963,71013765,17695,1,
openfhe,16,32768,54,53,7,3,3,20,7,4,1485,240,1725,-1,5.69989,3.26916,44321602,26,19,20,1.06676,FIXEDMANUAL|UNIFORM_TERNARY,53,1,7,12113963,71013765,17695,1,
openfhe,16,32768,54,53,7,3,3,20,7,4,1485,240,1725,0,5.72174,3.33264,44583236,26,19,20,1.07717,FIXEDMANUAL|UNIFORM_TERNARY,53,1,7,12113963,71013765,17695,1,
openfhe,16,32768,54,53,7,3,3,20,7,4,1485,240,1725,1,5.70356,3.44023,45135650,26,19,20,1.0765,FIXEDMANUAL|UNIFORM_TERNARY,53,1,7,12113963,71013765,17695,1,
openfhe,16,32768,54,53,7,3,3,20,7,4,1485,240,1725,2,5.70921,3.2367,46532408,26,19,20,1.07424,FIXEDMANUAL|UNIFORM_TERNARY,53,1,7,12113963,71013765,17695,1,
openfhe,16,32768,60,53,7,3,3,20,7,4,1491,240,1731,-3,5.69836,3.32707,47075837,26,19,20,1.07488,FIXEDMANUAL|UNIFORM_TERNARY,53,7,7,12150756,71560908,17695,1,
openfhe,16,32768,60,53,7,3,3,20,7,4,1491,240,1731,-2,5.69474,3.31068,44347683,26,19,20,1.06077,FIXEDMANUAL|UNIFORM_TERNARY,53,7,7,12150756,71560908,17695,1,
openfhe,16,32768,60,53,7,3,3,20,7,4,1491,240,1731,-1,5.68676,3.20075,44413125,26,19,20,1.06375,FIXEDMANUAL|UNIFORM_TERNARY,53,7,7,12150756,71560908,17695,1,
openfhe,16,32768,60,53,7,3,3,20,7,4,1491,240,1731,0,5.69099,3.36336,44705404,26,19,20,1.06257,FIXEDMANUAL|UNIFORM_TERNARY,53,7,7,12150756,71560908,17695,1,
