library,logN,numSlots,q0,delta,residual_L,levelBudget_c2s,levelBudget_s2c,boot_depth,dnum,PCount,logQ_boot,logP_boot,logQP_boot,rep,precision_bits,worst_slot_bits,boot_us,level_in,level_out,level_out_expected,magnitude_ratio,scaling,in_scale_log2,q0_minus_scale_log2,correction_factor,setup_us,keygen_us,peak_rss_mb,ok,fail_reason
openfhe,16,32768,60,58,4,3,3,16,7,3,1220,180,1400,-3,14.5918,12.1034,26635733,19,15,16,0.999947,FIXEDMANUAL|SPARSE_TERNARY|both,58,2,7,10916130,58593619,13221,1,
openfhe,16,32768,60,58,4,3,3,16,7,3,1220,180,1400,-2,14.5693,12.1435,26526149,19,15,16,1.00004,FIXEDMANUAL|SPARSE_TERNARY|both,58,2,7,10916130,58593619,13221,1,
openfhe,16,32768,60,58,4,3,3,16,7,3,1220,180,1400,-1,14.5994,12.1804,26216566,19,15,16,1,FIXEDMANUAL|SPARSE_TERNARY|both,58,2,7,10916130,58593619,13221,1,
openfhe,16,32768,60,58,4,3,3,16,7,3,1220,180,1400,0,14.5753,11.9109,25969998,19,15,16,1.00005,FIXEDMANUAL|SPARSE_TERNARY|both,58,2,7,10916130,58593619,13221,1,
openfhe,16,32768,60,58,4,3,3,16,7,3,1220,180,1400,1,14.5901,12.0115,25880655,19,15,16,1.00001,FIXEDMANUAL|SPARSE_TERNARY|both,58,2,7,10916130,58593619,13221,1,
openfhe,16,32768,60,58,4,3,3,16,7,3,1220,180,1400,2,14.5902,12.0938,25845706,19,15,16,1.00006,FIXEDMANUAL|SPARSE_TERNARY|both,58,2,7,10916130,58593619,13221,1,
openfhe,16,32768,60,58,4,3,3,16,7,3,1220,180,1400,3,14.5764,11.9274,25912912,19,15,16,0.999978,FIXEDMANUAL|SPARSE_TERNARY|both,58,2,7,10916130,58593619,13221,1,
openfhe,16,32768,60,58,4,3,3,16,7,3,1220,180,1400,4,14.6015,12.1684,25611830,19,15,16,0.999964,FIXEDMANUAL|SPARSE_TERNARY|both,58,2,7,10916130,58593619,13221,1,
openfhe,16,32768,60,58,4,3,3,16,7,3,1220,180,1400,5,14.58,12.2102,25593583,19,15,16,1.00008,FIXEDMANUAL|SPARSE_TERNARY|both,58,2,7,10916130,58593619,13221,1,
openfhe,16,32768,60,58,4,3,3,16,7,3,1220,180,1400,6,14.5789,12.2225,25604529,19,15,16,1.00008,FIXEDMANUAL|SPARSE_TERNARY|both,58,2,7,10916130,58593619,13221,1,
openfhe,16,32768,60,58,4,3,3,16,7,3,1220,180,1400,7,14.5884,12.2374,25627339,19,15,16,1.00006,FIXEDMANUAL|SPARSE_TERNARY|both,58,2,7,10916130,58593619,13221,1,
openfhe,16,32768,60,58,4,3,3,16,7,3,1220,180,1400,8,14.5924,12.208,25747300,19,15,16,0.99999,FIXEDMANUAL|SPARSE_TERNARY|both,58,2,7,10916130,58593619,13222,1,
openfhe,16,32768,60,58,4,3,3,16,7,3,1220,180,1400,9,14.5773,12.1005,25966162,19,15,16,1.00007,FIXEDMANUAL|SPARSE_TERNARY|both,58,2,7,10916130,58593619,13222,1,
