library,logN,numSlots,q0,delta,residual_L,levelBudget_c2s,levelBudget_s2c,boot_depth,dnum,PCount,logQ_boot,logP_boot,logQP_boot,rep,precision_bits,worst_slot_bits,boot_us,level_in,level_out,level_out_expected,magnitude_ratio,scaling,in_scale_log2,q0_minus_scale_log2,correction_factor,setup_us,keygen_us,peak_rss_mb,ok,fail_reason
openfhe,16,32768,57,50,9,3,3,20,8,4,1507,240,1747,-1,0.632154,-1.71676,50949112,28,19,20,3.94328,FIXEDMANUAL,50,7,7,17723986,91537610,20813,0,자릿수 이상: max|got|/max|want|=3.943282
openfhe,16,32768,57,50,9,3,3,20,8,4,1507,240,1747,0,0.649924,-1.82151,50786056,28,19,20,4.2903,FIXEDMANUAL,50,7,7,17723986,91537610,20813,0,자릿수 이상: max|got|/max|want|=4.290298
openfhe,16,32768,57,50,9,3,3,20,8,4,1507,240,1747,1,0.650193,-1.77854,51707950,28,19,20,3.88298,FIXEDMANUAL,50,7,7,17723986,91537610,20813,0,자릿수 이상: max|got|/max|want|=3.882976
openfhe,16,32768,57,50,9,3,3,20,8,4,1507,240,1747,2,0.6483,-1.83,52481323,28,19,20,3.78905,FIXEDMANUAL,50,7,7,17723986,91537610,20813,0,자릿수 이상: max|got|/max|want|=3.789054
openfhe,16,32768,59,52,7,3,3,20,7,4,1463,240,1703,-1,5.50508,3.07929,46367252,26,19,20,1.09529,FIXEDMANUAL,52,7,7,12521115,71876194,17695,1,
openfhe,16,32768,59,52,7,3,3,20,7,4,1463,240,1703,0,5.50746,2.79554,45761808,26,19,20,1.07629,FIXEDMANUAL,52,7,7,12521115,71876194,17695,1,
openfhe,16,32768,59,52,7,3,3,20,7,4,1463,240,1703,1,5.49953,3.08404,44788872,26,19,20,1.07024,FIXEDMANUAL,52,7,7,12521115,71876194,17695,1,
openfhe,16,32768,59,52,7,3,3,20,7,4,1463,240,1703,2,5.50252,2.92002,44410691,26,19,20,1.09381,FIXEDMANUAL,52,7,7,12521115,71876194,17695,1,
openfhe,16,32768,60,53,7,3,3,20,7,4,1491,240,1731,-1,5.66503,3.1359,44754875,26,19,20,1.08348,FIXEDMANUAL,53,7,7,12131618,69597918,17695,1,
openfhe,16,32768,60,53,7,3,3,20,7,4,1491,240,1731,0,5.65968,3.33813,45888583,26,19,20,1.085,FIXEDMANUAL,53,7,7,12131618,69597918,17695,1,
openfhe,16,32768,60,53,7,3,3,20,7,4,1491,240,1731,1,5.66037,3.297,46358592,26,19,20,1.06957,FIXEDMANUAL,53,7,7,12131618,69597918,17695,1,
openfhe,16,32768,60,53,7,3,3,20,7,4,1491,240,1731,2,5.66647,3.23278,46061595,26,19,20,1.06715,FIXEDMANUAL,53,7,7,12131618,69597918,17695,1,
openfhe,16,32768,60,59,4,3,3,20,7,4,1476,240,1716,-1,11.2594,6.91223,36681429,23,19,20,1.00049,FIXEDMANUAL,59,1,7,11037549,65316570,15845,1,
openfhe,16,32768,60,59,4,3,3,20,7,4,1476,240,1716,0,11.2441,6.81151,35790078,23,19,20,1.00032,FIXEDMANUAL,59,1,7,11037549,65316570,15845,1,
openfhe,16,32768,60,59,4,3,3,20,7,4,1476,240,1716,1,11.2518,6.70602,35395931,23,19,20,1.00047,FIXEDMANUAL,59,1,7,11037549,65316570,15845,1,
openfhe,16,32768,60,59,4,3,3,20,7,4,1476,240,1716,2,11.2511,6.80458,35394713,23,19,20,1.00057,FIXEDMANUAL,59,1,7,11037549,65316570,15845,1,
openfhe,16,32768,56,55,6,3,3,20,7,4,1486,240,1726,-1,6.85881,4.26984,42533988,25,19,20,1.02255,FIXEDMANUAL,55,1,7,11649435,67932557,17087,1,
openfhe,16,32768,56,55,6,3,3,20,7,4,1486,240,1726,0,6.86192,4.51596,42605496,25,19,20,1.02715,FIXEDMANUAL,55,1,7,11649435,67932557,17089,1,
openfhe,16,32768,56,55,6,3,3,20,7,4,1486,240,1726,1,6.85809,4.42301,42481231,25,19,20,1.0268,FIXEDMANUAL,55,1,7,11649435,67932557,17089,1,
openfhe,16,32768,56,55,6,3,3,20,7,4,1486,240,1726,2,6.84782,4.37986,42556414,25,19,20,1.02976,FIXEDMANUAL,55,1,7,11649435,67932557,17089,1,
