library,logN,numSlots,q0,delta,residual_L,levelBudget_c2s,levelBudget_s2c,boot_depth,dnum,PCount,logQ_boot,logP_boot,logQP_boot,rep,precision_bits,worst_slot_bits,boot_us,level_in,level_out,level_out_expected,magnitude_ratio,scaling,in_scale_log2,q0_minus_scale_log2,out_scale_log2,correction_factor,setup_us,keygen_us,peak_rss_mb,ok,fail_reason
lattigo,16,32768,45,40,12,3,3,,,,,,,-1,-1,,,,,,,lattigo_na,,,,,76492330,54256531,26706,0,warmup 0: 자릿수 이상: max|got|/max|want|=24232587439177811075208792936560287918292621409096437308779822955628250537209808733576702447122364465280352036008017641470183832316316487574024617984.0000
lattigo,16,32768,60,55,6,3,3,19,5,6,1325,366,1691,-3,-340.37980141247374,-342.81275448440505,39405906,0,6,6,1.5737826182566822e+103,lattigo_na,52,8,55,-1,126082048,30140594,24219,0,자릿수 이상: max|got|/max|want|=15737826182566822480267034164127198062429149225366584251370282508055527984106803482398110829812260012032.0000
lattigo,16,32768,60,55,6,3,3,19,5,6,1325,366,1691,-2,-340.37980141247374,-342.81275448440505,37628986,0,6,6,1.5737826182566822e+103,lattigo_na,52,8,55,-1,126082048,30140594,24620,0,자릿수 이상: max|got|/max|want|=15737826182566822480267034164127198062429149225366584251370282508055527984106803482398110829812260012032.0000
lattigo,16,32768,60,55,6,3,3,19,5,6,1325,366,1691,-1,-340.37980141247374,-342.81275448440505,37226756,0,6,6,1.5737826182566822e+103,lattigo_na,52,8,55,-1,126082048,30140594,24754,0,자릿수 이상: max|got|/max|want|=15737826182566822480267034164127198062429149225366584251370282508055527984106803482398110829812260012032.0000
lattigo,16,32768,60,55,6,3,3,19,5,6,1325,366,1691,0,-340.37980141247374,-342.81275448440505,37335417,0,6,6,1.5737826182566822e+103,lattigo_na,52,8,55,-1,126082048,30140594,24947,0,자릿수 이상: max|got|/max|want|=15737826182566822480267034164127198062429149225366584251370282508055527984106803482398110829812260012032.0000
lattigo,16,32768,60,55,6,3,3,19,5,6,1325,366,1691,1,-340.37980141247374,-342.81275448440505,37030972,0,6,6,1.5737826182566822e+103,lattigo_na,52,8,55,-1,126082048,30140594,24947,0,자릿수 이상: max|got|/max|want|=15737826182566822480267034164127198062429149225366584251370282508055527984106803482398110829812260012032.0000
lattigo,16,32768,60,55,6,3,3,19,5,6,1325,366,1691,2,-340.37980141247374,-342.81275448440505,36116535,0,6,6,1.5737826182566822e+103,lattigo_na,52,8,55,-1,126082048,30140594,24947,0,자릿수 이상: max|got|/max|want|=15737826182566822480267034164127198062429149225366584251370282508055527984106803482398110829812260012032.0000
lattigo,16,32768,60,58,4,3,3,19,3,8,1227,488,1715,-3,-239.38738919742923,-241.7609561645113,31926465,0,4,4,5.988559023419264e+72,lattigo_na,52,8,58,-1,126432620,19159706,18262,0,자릿수 이상: max|got|/max|want|=5988559023419264113774205320043490783679566775686459863378389304323604480.0000
lattigo,16,32768,60,58,4,3,3,19,3,8,1227,488,1715,-2,-239.38738919742923,-241.7609561645113,31334573,0,4,4,5.988559023419264e+72,lattigo_na,52,8,58,-1,126432620,19159706,19435,0,자릿수 이상: max|got|/max|want|=5988559023419264113774205320043490783679566775686459863378389304323604480.0000
lattigo,16,32768,60,58,4,3,3,19,3,8,1227,488,1715,-1,-239.38738919742923,-241.7609561645113,30210223,0,4,4,5.988559023419264e+72,lattigo_na,52,8,58,-1,126432620,19159706,19436,0,자릿수 이상: max|got|/max|want|=5988559023419264113774205320043490783679566775686459863378389304323604480.0000
lattigo,16,32768,60,58,4,3,3,19,3,8,1227,488,1715,0,-239.38738919742923,-241.7609561645113,30294309,0,4,4,5.988559023419264e+72,lattigo_na,52,8,58,-1,126432620,19159706,19471,0,자릿수 이상: max|got|/max|want|=5988559023419264113774205320043490783679566775686459863378389304323604480.0000
lattigo,16,32768,60,58,4,3,3,19,3,8,1227,488,1715,1,-239.38738919742923,-241.7609561645113,30250882,0,4,4,5.988559023419264e+72,lattigo_na,52,8,58,-1,126432620,19159706,19471,0,자릿수 이상: max|got|/max|want|=5988559023419264113774205320043490783679566775686459863378389304323604480.0000
lattigo,16,32768,60,58,4,3,3,19,3,8,1227,488,1715,2,-239.38738919742923,-241.7609561645113,30341047,0,4,4,5.988559023419264e+72,lattigo_na,52,8,58,-1,126432620,19159706,19471,0,자릿수 이상: max|got|/max|want|=5988559023419264113774205320043490783679566775686459863378389304323604480.0000
