library,exp,logN,q0,delta,depth,dnum,PCount,logP,maxDigitBits,level,path,rep,bits
openfhe,7,15,60,42,12,3,4,240,228,12,enc_dec,0,30.3107
openfhe,7,15,60,42,12,3,4,240,228,12,rot1,0,26.4019
openfhe,7,15,60,42,12,3,4,240,228,11,enc_dec,0,30.3323
openfhe,7,15,60,42,12,3,4,240,228,11,rot1,0,26.4222
openfhe,7,15,60,42,12,3,4,240,228,10,enc_dec,0,30.3222
openfhe,7,15,60,42,12,3,4,240,228,10,rot1,0,26.4232
openfhe,7,15,60,42,12,3,4,240,228,9,enc_dec,0,30.3155
openfhe,7,15,60,42,12,3,4,240,228,9,rot1,0,26.4166
openfhe,7,15,60,42,12,3,4,240,228,8,enc_dec,0,30.3236
openfhe,7,15,60,42,12,3,4,240,228,8,rot1,0,26.4142
openfhe,7,15,60,42,12,3,4,240,228,7,enc_dec,0,30.3348
openfhe,7,15,60,42,12,3,4,240,228,7,rot1,0,26.4268
openfhe,7,15,60,42,12,3,4,240,228,6,enc_dec,0,30.3275
openfhe,7,15,60,42,12,3,4,240,228,6,rot1,0,26.4186
openfhe,7,15,60,42,12,3,4,240,228,5,enc_dec,0,30.3303
openfhe,7,15,60,42,12,3,4,240,228,5,rot1,0,26.4171
openfhe,7,15,60,42,12,3,4,240,228,4,enc_dec,0,30.3082
openfhe,7,15,60,42,12,3,4,240,228,4,rot1,0,26.4258
openfhe,7,15,60,42,12,3,4,240,228,3,enc_dec,0,30.3140
openfhe,7,15,60,42,12,3,4,240,228,3,rot1,0,26.4189
openfhe,7,15,60,42,12,3,4,240,228,2,enc_dec,0,30.3206
openfhe,7,15,60,42,12,3,4,240,228,2,rot1,0,26.4185
openfhe,7,15,60,42,12,3,4,240,228,1,enc_dec,0,30.3200
openfhe,7,15,60,42,12,3,4,240,228,1,rot1,0,26.4195
openfhe,7,15,60,42,12,3,4,240,228,12,enc_dec,1,30.3055
openfhe,7,15,60,42,12,3,4,240,228,12,rot1,1,26.1453
openfhe,7,15,60,42,12,3,4,240,228,11,enc_dec,1,30.3166
openfhe,7,15,60,42,12,3,4,240,228,11,rot1,1,26.1524
openfhe,7,15,60,42,12,3,4,240,228,10,enc_dec,1,30.3202
openfhe,7,15,60,42,12,3,4,240,228,10,rot1,1,26.1455
openfhe,7,15,60,42,12,3,4,240,228,9,enc_dec,1,30.3139
openfhe,7,15,60,42,12,3,4,240,228,9,rot1,1,26.1446
openfhe,7,15,60,42,12,3,4,240,228,8,enc_dec,1,30.3158
openfhe,7,15,60,42,12,3,4,240,228,8,rot1,1,26.1355
openfhe,7,15,60,42,12,3,4,240,228,7,enc_dec,1,30.3230
openfhe,7,15,60,42,12,3,4,240,228,7,rot1,1,26.1329
openfhe,7,15,60,42,12,3,4,240,228,6,enc_dec,1,30.3373
openfhe,7,15,60,42,12,3,4,240,228,6,rot1,1,26.1472
openfhe,7,15,60,42,12,3,4,240,228,5,enc_dec,1,30.3202
openfhe,7,15,60,42,12,3,4,240,228,5,rot1,1,26.1339
openfhe,7,15,60,42,12,3,4,240,228,4,enc_dec,1,30.3081
openfhe,7,15,60,42,12,3,4,240,228,4,rot1,1,26.1469
openfhe,7,15,60,42,12,3,4,240,228,3,enc_dec,1,30.3232
openfhe,7,15,60,42,12,3,4,240,228,3,rot1,1,26.1544
openfhe,7,15,60,42,12,3,4,240,228,2,enc_dec,1,30.3086
openfhe,7,15,60,42,12,3,4,240,228,2,rot1,1,26.1430
openfhe,7,15,60,42,12,3,4,240,228,1,enc_dec,1,30.3270
openfhe,7,15,60,42,12,3,4,240,228,1,rot1,1,26.1384
openfhe,7,15,60,42,12,3,4,240,228,12,enc_dec,2,30.3222
openfhe,7,15,60,42,12,3,4,240,228,12,rot1,2,26.6355
openfhe,7,15,60,42,12,3,4,240,228,11,enc_dec,2,30.3051
openfhe,7,15,60,42,12,3,4,240,228,11,rot1,2,26.6523
openfhe,7,15,60,42,12,3,4,240,228,10,enc_dec,2,30.3089
openfhe,7,15,60,42,12,3,4,240,228,10,rot1,2,26.6331
