library,exp,logN,q0,delta,depth,dnum,PCount,logP,logQ,logQP,bound,margin,maxLevel,level,op,mean_us,std_us,reps,digits,threads,nthreads,ok,err
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,12,add_cc,840.907,6.203,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,12,add_cp,630.437,7.211,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,12,mul_cp,874.604,11.670,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,12,mul_cc,1284.500,17.770,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,12,mul_cc_rlk,44934.423,1089.864,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,12,relin,42023.417,425.973,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,12,rescale,3812.410,126.632,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,12,rot1,44293.506,660.911,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,11,add_cc,779.932,16.685,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,11,add_cp,582.423,9.237,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,11,mul_cp,808.672,4.688,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,11,mul_cc,1193.165,15.826,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,11,mul_cc_rlk,38117.257,460.665,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,11,relin,36310.696,309.836,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,11,rescale,3418.591,32.719,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,11,rot1,37869.698,635.799,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,10,add_cc,723.795,7.132,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,10,add_cp,545.656,8.530,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,10,mul_cp,763.123,10.434,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,10,mul_cc,1137.435,17.208,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,10,mul_cc_rlk,32341.758,331.644,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,10,relin,31719.302,473.962,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,10,rescale,3172.257,72.753,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,10,rot1,32183.899,478.487,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,9,add_cc,651.464,6.988,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,9,add_cp,490.006,5.267,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,9,mul_cp,685.787,9.399,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,9,mul_cc,1003.710,12.016,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,9,mul_cc_rlk,27621.078,409.452,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,9,relin,27389.484,810.055,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,9,rescale,2859.436,37.625,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,9,rot1,27439.224,375.762,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,8,add_cc,586.537,7.414,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,8,add_cp,438.356,6.597,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,8,mul_cp,620.735,10.254,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,8,mul_cc,934.745,12.853,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
