library,exp,logN,q0,delta,depth,dnum,PCount,logP,logQ,logQP,bound,margin,maxLevel,level,op,mean_us,std_us,reps,digits,threads,nthreads,ok,err
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,12,add_cc,844.502,9.598,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,12,add_cp,631.794,6.612,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,12,mul_cp,875.840,10.728,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,12,mul_cc,1290.089,22.100,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,12,mul_cc_rlk,43149.648,515.809,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,12,relin,41420.294,400.196,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,12,rescale,3708.003,34.276,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,12,rot1,43020.421,501.888,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,11,add_cc,785.159,6.071,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,11,add_cp,585.341,5.566,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,mt,1,1,
seal,7,15,60,42,12,13,1,60,564,624,881,257,12,11,mul_cp,825.024,14.798,30,L12=13;L11=12;L10=11;L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,mt,1,1,
