library,exp,logN,q0,delta,depth,dnum,PCount,logP,maxDigitBits,level,path,rep,bits
openfhe,8,15,60,42,12,3,4,240,228,12,enc_dec,0,30.3237
openfhe,8,15,60,42,12,3,4,240,228,12,rot1,0,27.8197
openfhe,8,15,60,42,12,3,4,240,228,12,enc_dec,1,30.3209
openfhe,8,15,60,42,12,3,4,240,228,12,rot1,1,27.3962
openfhe,8,15,60,42,12,3,4,240,228,12,enc_dec,2,30.3038
openfhe,8,15,60,42,12,3,4,240,228,12,rot1,2,26.9055
openfhe,8,15,60,42,12,3,4,240,228,12,enc_dec,3,30.3086
openfhe,8,15,60,42,12,3,4,240,228,12,rot1,3,26.6861
openfhe,8,15,60,42,12,3,4,240,228,12,enc_dec,4,30.3131
openfhe,8,15,60,42,12,3,4,240,228,12,rot1,4,27.4956
openfhe,8,15,60,42,12,3,4,240,228,12,enc_dec,5,30.3160
openfhe,8,15,60,42,12,3,4,240,228,12,rot1,5,27.8450
openfhe,8,15,60,42,12,3,4,240,228,12,enc_dec,6,30.3161
openfhe,8,15,60,42,12,3,4,240,228,12,rot1,6,27.8030
openfhe,8,15,60,42,12,3,4,240,228,12,enc_dec,7,30.3158
openfhe,8,15,60,42,12,3,4,240,228,12,rot1,7,26.6005
openfhe,8,15,60,42,12,3,4,240,228,12,enc_dec,8,30.3283
openfhe,8,15,60,42,12,3,4,240,228,12,rot1,8,27.4355
openfhe,8,15,60,42,12,3,4,240,228,12,enc_dec,9,30.3194
openfhe,8,15,60,42,12,3,4,240,228,12,rot1,9,27.8594
openfhe,8,15,60,42,12,3,4,240,228,12,enc_dec,10,30.3166
openfhe,8,15,60,42,12,3,4,240,228,12,rot1,10,27.5746
openfhe,8,15,60,42,12,3,4,240,228,12,enc_dec,11,30.3135
openfhe,8,15,60,42,12,3,4,240,228,12,rot1,11,27.5994
