library,exp,logN,q0,delta,depth,dnum,PCount,logP,maxDigitBits,level,path,rep,bits
openfhe,8,15,60,42,12,3,4,240,228,12,enc_dec,0,30.3129
openfhe,8,15,60,42,12,3,4,240,228,12,rot1,0,25.9878
openfhe,8,15,60,42,12,3,4,240,228,12,enc_dec,1,30.3308
openfhe,8,15,60,42,12,3,4,240,228,12,rot1,1,27.0604
openfhe,8,15,60,42,12,3,4,240,228,12,enc_dec,2,30.3032
openfhe,8,15,60,42,12,3,4,240,228,12,rot1,2,27.3145
openfhe,8,15,60,42,12,3,4,240,228,12,enc_dec,3,30.3180
openfhe,8,15,60,42,12,3,4,240,228,12,rot1,3,26.4295
openfhe,8,15,60,42,12,3,4,240,228,12,enc_dec,4,30.3088
openfhe,8,15,60,42,12,3,4,240,228,12,rot1,4,27.3057
openfhe,8,15,60,42,12,3,4,240,228,12,enc_dec,5,30.3041
openfhe,8,15,60,42,12,3,4,240,228,12,rot1,5,27.9799
openfhe,8,15,60,42,12,3,4,240,228,12,enc_dec,6,30.3061
openfhe,8,15,60,42,12,3,4,240,228,12,rot1,6,26.1114
openfhe,8,15,60,42,12,3,4,240,228,12,enc_dec,7,30.3139
openfhe,8,15,60,42,12,3,4,240,228,12,rot1,7,27.4540
openfhe,8,15,60,42,12,3,4,240,228,12,enc_dec,8,30.3175
openfhe,8,15,60,42,12,3,4,240,228,12,rot1,8,26.6794
openfhe,8,15,60,42,12,3,4,240,228,12,enc_dec,9,30.3178
openfhe,8,15,60,42,12,3,4,240,228,12,rot1,9,27.4138
openfhe,8,15,60,42,12,3,4,240,228,12,enc_dec,10,30.3281
openfhe,8,15,60,42,12,3,4,240,228,12,rot1,10,27.0568
openfhe,8,15,60,42,12,3,4,240,228,12,enc_dec,11,30.3274
openfhe,8,15,60,42,12,3,4,240,228,12,rot1,11,26.7045
