library,exp,logN,q0,delta,depth,dnum,PCount,logP,logQ,logQP,bound,margin,maxLevel,level,op,mean_us,std_us,reps,digits,ok,err
openfhe,3,15,60,40,13,3,4,240,580,820,881,61,13,13,add_cc,1498.278,44.254,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,3,15,60,40,13,3,4,240,580,820,881,61,13,13,add_cp,1394.739,23.561,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,3,15,60,40,13,3,4,240,580,820,881,61,13,13,mul_cp,2970.995,49.522,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,3,15,60,40,13,3,4,240,580,820,881,61,13,13,mul_cc,9348.068,165.358,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,3,15,60,40,13,3,4,240,580,820,881,61,13,13,mul_cc_rlk,93058.464,780.655,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,3,15,60,40,13,3,4,240,580,820,881,61,13,13,relin,88192.995,769.587,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,3,15,60,40,13,3,4,240,580,820,881,61,13,13,rescale,16041.414,66.400,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,3,15,60,40,13,3,4,240,580,820,881,61,13,13,rot1,85686.241,790.665,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,3,15,60,40,13,3,4,240,580,820,881,61,13,12,add_cc,1350.555,19.163,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,3,15,60,40,13,3,4,240,580,820,881,61,13,12,add_cp,1283.643,14.397,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,3,15,60,40,13,3,4,240,580,820,881,61,13,12,mul_cp,2728.051,25.398,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,3,15,60,40,13,3,4,240,580,820,881,61,13,12,mul_cc,8646.078,157.383,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,3,15,60,40,13,3,4,240,580,820,881,61,13,12,mul_cc_rlk,87363.269,800.363,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,3,15,60,40,13,3,4,240,580,820,881,61,13,12,relin,82410.374,616.393,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,3,15,60,40,13,3,4,240,580,820,881,61,13,12,rescale,14747.745,123.428,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,3,15,60,40,13,3,4,240,580,820,881,61,13,12,rot1,80261.458,546.768,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,3,15,60,40,13,3,4,240,580,820,881,61,13,11,add_cc,1251.050,18.267,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,3,15,60,40,13,3,4,240,580,820,881,61,13,11,add_cp,1187.555,13.870,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,3,15,60,40,13,3,4,240,580,820,881,61,13,11,mul_cp,2521.747,21.060,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,3,15,60,40,13,3,4,240,580,820,881,61,13,11,mul_cc,7822.405,106.737,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,3,15,60,40,13,3,4,240,580,820,881,61,13,11,mul_cc_rlk,81262.250,808.159,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,3,15,60,40,13,3,4,240,580,820,881,61,13,11,relin,76650.292,600.343,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,3,15,60,40,13,3,4,240,580,820,881,61,13,11,rescale,13697.883,129.478,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,3,15,60,40,13,3,4,240,580,820,881,61,13,11,rot1,75029.746,763.591,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,3,15,60,40,13,3,4,240,580,820,881,61,13,10,add_cc,1151.869,12.815,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,3,15,60,40,13,3,4,240,580,820,881,61,13,10,add_cp,1105.173,109.256,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,3,15,60,40,13,3,4,240,580,820,881,61,13,10,mul_cp,2308.747,19.742,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,3,15,60,40,13,3,4,240,580,820,881,61,13,10,mul_cc,6993.037,81.023,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,3,15,60,40,13,3,4,240,580,820,881,61,13,10,mul_cc_rlk,74799.559,639.686,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,3,15,60,40,13,3,4,240,580,820,881,61,13,10,relin,71068.800,702.800,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,3,15,60,40,13,3,4,240,580,820,881,61,13,10,rescale,12411.177,33.459,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,3,15,60,40,13,3,4,240,580,820,881,61,13,10,rot1,69245.272,664.568,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,3,15,60,40,13,3,4,240,580,820,881,61,13,9,add_cc,1041.085,11.513,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,3,15,60,40,13,3,4,240,580,820,881,61,13,9,add_cp,977.821,12.581,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,3,15,60,40,13,3,4,240,580,820,881,61,13,9,mul_cp,2092.660,17.896,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,3,15,60,40,13,3,4,240,580,820,881,61,13,9,mul_cc,6308.064,103.208,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,3,15,60,40,13,3,4,240,580,820,881,61,13,9,mul_cc_rlk,55523.311,315.213,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
