library,exp,logN,q0,delta,depth,dnum,PCount,logP,maxDigitBits,level,path,rep,bits
lattigo,3,15,60,40,13,3,5,300,220,13,enc_dec,0,31.6214
lattigo,3,15,60,40,13,3,5,300,220,13,rot1,0,28.0802
lattigo,3,15,60,40,13,3,5,300,220,12,enc_dec,0,31.6285
lattigo,3,15,60,40,13,3,5,300,220,12,rot1,0,28.0929
lattigo,3,15,60,40,13,3,5,300,220,11,enc_dec,0,31.6249
lattigo,3,15,60,40,13,3,5,300,220,11,rot1,0,28.0778
lattigo,3,15,60,40,13,3,5,300,220,10,enc_dec,0,31.6200
lattigo,3,15,60,40,13,3,5,300,220,10,rot1,0,28.0875
lattigo,3,15,60,40,13,3,5,300,220,9,enc_dec,0,31.6271
lattigo,3,15,60,40,13,3,5,300,220,9,rot1,0,28.0721
lattigo,3,15,60,40,13,3,5,300,220,8,enc_dec,0,31.6269
lattigo,3,15,60,40,13,3,5,300,220,8,rot1,0,28.0787
lattigo,3,15,60,40,13,3,5,300,220,7,enc_dec,0,31.6284
lattigo,3,15,60,40,13,3,5,300,220,7,rot1,0,28.0843
lattigo,3,15,60,40,13,3,5,300,220,6,enc_dec,0,31.6310
lattigo,3,15,60,40,13,3,5,300,220,6,rot1,0,28.0599
lattigo,3,15,60,40,13,3,5,300,220,5,enc_dec,0,31.6256
lattigo,3,15,60,40,13,3,5,300,220,5,rot1,0,28.0830
lattigo,3,15,60,40,13,3,5,300,220,4,enc_dec,0,31.6266
lattigo,3,15,60,40,13,3,5,300,220,4,rot1,0,28.0761
lattigo,3,15,60,40,13,3,5,300,220,3,enc_dec,0,31.6414
lattigo,3,15,60,40,13,3,5,300,220,3,rot1,0,28.0731
lattigo,3,15,60,40,13,3,5,300,220,2,enc_dec,0,31.6300
lattigo,3,15,60,40,13,3,5,300,220,2,rot1,0,28.0631
lattigo,3,15,60,40,13,3,5,300,220,1,enc_dec,0,31.6170
lattigo,3,15,60,40,13,3,5,300,220,1,rot1,0,28.0621
lattigo,3,15,60,40,13,3,5,300,220,13,enc_dec,1,31.6264
lattigo,3,15,60,40,13,3,5,300,220,13,rot1,1,28.0750
lattigo,3,15,60,40,13,3,5,300,220,12,enc_dec,1,31.6226
lattigo,3,15,60,40,13,3,5,300,220,12,rot1,1,28.0788
lattigo,3,15,60,40,13,3,5,300,220,11,enc_dec,1,31.6290
lattigo,3,15,60,40,13,3,5,300,220,11,rot1,1,28.0781
lattigo,3,15,60,40,13,3,5,300,220,10,enc_dec,1,31.6406
lattigo,3,15,60,40,13,3,5,300,220,10,rot1,1,28.0783
lattigo,3,15,60,40,13,3,5,300,220,9,enc_dec,1,31.6232
lattigo,3,15,60,40,13,3,5,300,220,9,rot1,1,28.0598
lattigo,3,15,60,40,13,3,5,300,220,8,enc_dec,1,31.6350
lattigo,3,15,60,40,13,3,5,300,220,8,rot1,1,28.0794
lattigo,3,15,60,40,13,3,5,300,220,7,enc_dec,1,31.6194
lattigo,3,15,60,40,13,3,5,300,220,7,rot1,1,28.0703
lattigo,3,15,60,40,13,3,5,300,220,6,enc_dec,1,31.6405
lattigo,3,15,60,40,13,3,5,300,220,6,rot1,1,28.0719
lattigo,3,15,60,40,13,3,5,300,220,5,enc_dec,1,31.6446
lattigo,3,15,60,40,13,3,5,300,220,5,rot1,1,28.0729
lattigo,3,15,60,40,13,3,5,300,220,4,enc_dec,1,31.6309
lattigo,3,15,60,40,13,3,5,300,220,4,rot1,1,28.0801
lattigo,3,15,60,40,13,3,5,300,220,3,enc_dec,1,31.6225
lattigo,3,15,60,40,13,3,5,300,220,3,rot1,1,28.0452
lattigo,3,15,60,40,13,3,5,300,220,2,enc_dec,1,31.6441
lattigo,3,15,60,40,13,3,5,300,220,2,rot1,1,28.0574
lattigo,3,15,60,40,13,3,5,300,220,1,enc_dec,1,31.6250
lattigo,3,15,60,40,13,3,5,300,220,1,rot1,1,28.0635
lattigo,3,15,60,40,13,3,5,300,220,13,enc_dec,2,31.6163
lattigo,3,15,60,40,13,3,5,300,220,13,rot1,2,28.0713
lattigo,3,15,60,40,13,3,5,300,220,12,enc_dec,2,31.6299
lattigo,3,15,60,40,13,3,5,300,220,12,rot1,2,28.0831
lattigo,3,15,60,40,13,3,5,300,220,11,enc_dec,2,31.6356
lattigo,3,15,60,40,13,3,5,300,220,11,rot1,2,28.0787
lattigo,3,15,60,40,13,3,5,300,220,10,enc_dec,2,31.6202
lattigo,3,15,60,40,13,3,5,300,220,10,rot1,2,28.0854
lattigo,3,15,60,40,13,3,5,300,220,9,enc_dec,2,31.6206
lattigo,3,15,60,40,13,3,5,300,220,9,rot1,2,28.0669
lattigo,3,15,60,40,13,3,5,300,220,8,enc_dec,2,31.6211
lattigo,3,15,60,40,13,3,5,300,220,8,rot1,2,28.0673
lattigo,3,15,60,40,13,3,5,300,220,7,enc_dec,2,31.6214
lattigo,3,15,60,40,13,3,5,300,220,7,rot1,2,28.0657
lattigo,3,15,60,40,13,3,5,300,220,6,enc_dec,2,31.6245
lattigo,3,15,60,40,13,3,5,300,220,6,rot1,2,28.0672
lattigo,3,15,60,40,13,3,5,300,220,5,enc_dec,2,31.6263
lattigo,3,15,60,40,13,3,5,300,220,5,rot1,2,28.0673
lattigo,3,15,60,40,13,3,5,300,220,4,enc_dec,2,31.6446
lattigo,3,15,60,40,13,3,5,300,220,4,rot1,2,28.0804
lattigo,3,15,60,40,13,3,5,300,220,3,enc_dec,2,31.6231
lattigo,3,15,60,40,13,3,5,300,220,3,rot1,2,28.0623
lattigo,3,15,60,40,13,3,5,300,220,2,enc_dec,2,31.6234
lattigo,3,15,60,40,13,3,5,300,220,2,rot1,2,28.0593
lattigo,3,15,60,40,13,3,5,300,220,1,enc_dec,2,31.6227
lattigo,3,15,60,40,13,3,5,300,220,1,rot1,2,28.0863
lattigo,3,15,60,40,13,3,5,300,220,13,enc_dec,3,31.6301
lattigo,3,15,60,40,13,3,5,300,220,13,rot1,3,28.0683
lattigo,3,15,60,40,13,3,5,300,220,12,enc_dec,3,31.6207
lattigo,3,15,60,40,13,3,5,300,220,12,rot1,3,28.0761
lattigo,3,15,60,40,13,3,5,300,220,11,enc_dec,3,31.6271
lattigo,3,15,60,40,13,3,5,300,220,11,rot1,3,28.0638
lattigo,3,15,60,40,13,3,5,300,220,10,enc_dec,3,31.6458
lattigo,3,15,60,40,13,3,5,300,220,10,rot1,3,28.0896
lattigo,3,15,60,40,13,3,5,300,220,9,enc_dec,3,31.6400
lattigo,3,15,60,40,13,3,5,300,220,9,rot1,3,28.0940
lattigo,3,15,60,40,13,3,5,300,220,8,enc_dec,3,31.6329
lattigo,3,15,60,40,13,3,5,300,220,8,rot1,3,28.0828
lattigo,3,15,60,40,13,3,5,300,220,7,enc_dec,3,31.6203
lattigo,3,15,60,40,13,3,5,300,220,7,rot1,3,28.0792
lattigo,3,15,60,40,13,3,5,300,220,6,enc_dec,3,31.6338
lattigo,3,15,60,40,13,3,5,300,220,6,rot1,3,28.0924
lattigo,3,15,60,40,13,3,5,300,220,5,enc_dec,3,31.6244
lattigo,3,15,60,40,13,3,5,300,220,5,rot1,3,28.0783
lattigo,3,15,60,40,13,3,5,300,220,4,enc_dec,3,31.6217
lattigo,3,15,60,40,13,3,5,300,220,4,rot1,3,28.0879
lattigo,3,15,60,40,13,3,5,300,220,3,enc_dec,3,31.6334
lattigo,3,15,60,40,13,3,5,300,220,3,rot1,3,28.0652
lattigo,3,15,60,40,13,3,5,300,220,2,enc_dec,3,31.6348
lattigo,3,15,60,40,13,3,5,300,220,2,rot1,3,28.0808
lattigo,3,15,60,40,13,3,5,300,220,1,enc_dec,3,31.6283
lattigo,3,15,60,40,13,3,5,300,220,1,rot1,3,28.0885
lattigo,3,15,60,40,13,3,5,300,220,13,enc_dec,4,31.6297
lattigo,3,15,60,40,13,3,5,300,220,13,rot1,4,28.0636
lattigo,3,15,60,40,13,3,5,300,220,12,enc_dec,4,31.6379
lattigo,3,15,60,40,13,3,5,300,220,12,rot1,4,28.0880
lattigo,3,15,60,40,13,3,5,300,220,11,enc_dec,4,31.6317
lattigo,3,15,60,40,13,3,5,300,220,11,rot1,4,28.0809
lattigo,3,15,60,40,13,3,5,300,220,10,enc_dec,4,31.6360
lattigo,3,15,60,40,13,3,5,300,220,10,rot1,4,28.0661
lattigo,3,15,60,40,13,3,5,300,220,9,enc_dec,4,31.6200
lattigo,3,15,60,40,13,3,5,300,220,9,rot1,4,28.0754
lattigo,3,15,60,40,13,3,5,300,220,8,enc_dec,4,31.6447
lattigo,3,15,60,40,13,3,5,300,220,8,rot1,4,28.0633
lattigo,3,15,60,40,13,3,5,300,220,7,enc_dec,4,31.6554
lattigo,3,15,60,40,13,3,5,300,220,7,rot1,4,28.0736
lattigo,3,15,60,40,13,3,5,300,220,6,enc_dec,4,31.6261
lattigo,3,15,60,40,13,3,5,300,220,6,rot1,4,28.0707
lattigo,3,15,60,40,13,3,5,300,220,5,enc_dec,4,31.6301
lattigo,3,15,60,40,13,3,5,300,220,5,rot1,4,28.0923
lattigo,3,15,60,40,13,3,5,300,220,4,enc_dec,4,31.6210
lattigo,3,15,60,40,13,3,5,300,220,4,rot1,4,28.0767
lattigo,3,15,60,40,13,3,5,300,220,3,enc_dec,4,31.6397
lattigo,3,15,60,40,13,3,5,300,220,3,rot1,4,28.0693
lattigo,3,15,60,40,13,3,5,300,220,2,enc_dec,4,31.6311
lattigo,3,15,60,40,13,3,5,300,220,2,rot1,4,28.0814
lattigo,3,15,60,40,13,3,5,300,220,1,enc_dec,4,31.6306
lattigo,3,15,60,40,13,3,5,300,220,1,rot1,4,28.0842
