library,exp,logN,q0,delta,depth,dnum,PCount,logP,logQ,logQP,bound,margin,maxLevel,level,op,mean_us,std_us,reps,digits,ok,err
openfhe,5,15,60,42,12,3,4,240,564,804,881,77,12,12,add_cc,1467.856,63.147,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,5,15,60,42,12,3,4,240,564,804,881,77,12,12,add_cp,1372.041,12.770,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,5,15,60,42,12,3,4,240,564,804,881,77,12,12,mul_cp,2797.284,47.661,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,5,15,60,42,12,3,4,240,564,804,881,77,12,12,mul_cc,8748.756,164.216,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,5,15,60,42,12,3,4,240,564,804,881,77,12,12,mul_cc_rlk,87689.748,637.315,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,5,15,60,42,12,3,4,240,564,804,881,77,12,12,relin,84148.498,1068.583,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,5,15,60,42,12,3,4,240,564,804,881,77,12,12,rescale,15077.701,27.979,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,5,15,60,42,12,3,4,240,564,804,881,77,12,12,rot1,81434.693,978.020,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,5,15,60,42,12,3,4,240,564,804,881,77,12,11,add_cc,1318.874,11.746,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,5,15,60,42,12,3,4,240,564,804,881,77,12,11,add_cp,1251.696,11.114,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,5,15,60,42,12,3,4,240,564,804,881,77,12,11,mul_cp,2615.506,150.907,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,5,15,60,42,12,3,4,240,564,804,881,77,12,11,mul_cc,7931.348,160.322,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,5,15,60,42,12,3,4,240,564,804,881,77,12,11,mul_cc_rlk,82535.822,1250.936,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,5,15,60,42,12,3,4,240,564,804,881,77,12,11,relin,78287.867,2674.173,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,5,15,60,42,12,3,4,240,564,804,881,77,12,11,rescale,13945.198,255.637,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,5,15,60,42,12,3,4,240,564,804,881,77,12,11,rot1,75828.043,1411.092,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,5,15,60,42,12,3,4,240,564,804,881,77,12,10,add_cc,1201.287,12.432,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
