library,exp,logN,q0,delta,depth,dnum,PCount,logP,maxDigitBits,level,path,rep,bits
lattigo,5,15,60,42,12,3,5,300,228,12,enc_dec,0,33.6286
lattigo,5,15,60,42,12,3,5,300,228,12,rot1,0,30.0615
lattigo,5,15,60,42,12,3,5,300,228,11,enc_dec,0,33.6246
lattigo,5,15,60,42,12,3,5,300,228,11,rot1,0,30.0827
lattigo,5,15,60,42,12,3,5,300,228,10,enc_dec,0,33.6400
lattigo,5,15,60,42,12,3,5,300,228,10,rot1,0,30.0930
lattigo,5,15,60,42,12,3,5,300,228,9,enc_dec,0,33.6220
lattigo,5,15,60,42,12,3,5,300,228,9,rot1,0,30.0952
lattigo,5,15,60,42,12,3,5,300,228,8,enc_dec,0,33.6388
lattigo,5,15,60,42,12,3,5,300,228,8,rot1,0,30.0690
lattigo,5,15,60,42,12,3,5,300,228,7,enc_dec,0,33.6363
lattigo,5,15,60,42,12,3,5,300,228,7,rot1,0,30.0686
lattigo,5,15,60,42,12,3,5,300,228,6,enc_dec,0,33.6453
lattigo,5,15,60,42,12,3,5,300,228,6,rot1,0,30.0765
lattigo,5,15,60,42,12,3,5,300,228,5,enc_dec,0,33.6402
lattigo,5,15,60,42,12,3,5,300,228,5,rot1,0,30.0569
lattigo,5,15,60,42,12,3,5,300,228,4,enc_dec,0,33.6209
lattigo,5,15,60,42,12,3,5,300,228,4,rot1,0,30.0723
lattigo,5,15,60,42,12,3,5,300,228,3,enc_dec,0,33.6466
lattigo,5,15,60,42,12,3,5,300,228,3,rot1,0,30.0780
lattigo,5,15,60,42,12,3,5,300,228,2,enc_dec,0,33.6186
lattigo,5,15,60,42,12,3,5,300,228,2,rot1,0,30.0800
lattigo,5,15,60,42,12,3,5,300,228,1,enc_dec,0,33.6311
lattigo,5,15,60,42,12,3,5,300,228,1,rot1,0,30.0732
lattigo,5,15,60,42,12,3,5,300,228,12,enc_dec,1,33.6363
lattigo,5,15,60,42,12,3,5,300,228,12,rot1,1,30.0612
lattigo,5,15,60,42,12,3,5,300,228,11,enc_dec,1,33.6106
lattigo,5,15,60,42,12,3,5,300,228,11,rot1,1,30.0760
lattigo,5,15,60,42,12,3,5,300,228,10,enc_dec,1,33.6212
lattigo,5,15,60,42,12,3,5,300,228,10,rot1,1,30.0924
lattigo,5,15,60,42,12,3,5,300,228,9,enc_dec,1,33.6334
lattigo,5,15,60,42,12,3,5,300,228,9,rot1,1,30.0586
lattigo,5,15,60,42,12,3,5,300,228,8,enc_dec,1,33.6186
lattigo,5,15,60,42,12,3,5,300,228,8,rot1,1,30.0532
lattigo,5,15,60,42,12,3,5,300,228,7,enc_dec,1,33.6354
lattigo,5,15,60,42,12,3,5,300,228,7,rot1,1,30.0816
lattigo,5,15,60,42,12,3,5,300,228,6,enc_dec,1,33.6339
lattigo,5,15,60,42,12,3,5,300,228,6,rot1,1,30.0633
lattigo,5,15,60,42,12,3,5,300,228,5,enc_dec,1,33.6315
lattigo,5,15,60,42,12,3,5,300,228,5,rot1,1,30.0625
lattigo,5,15,60,42,12,3,5,300,228,4,enc_dec,1,33.6254
lattigo,5,15,60,42,12,3,5,300,228,4,rot1,1,30.0736
lattigo,5,15,60,42,12,3,5,300,228,3,enc_dec,1,33.6299
lattigo,5,15,60,42,12,3,5,300,228,3,rot1,1,30.0629
lattigo,5,15,60,42,12,3,5,300,228,2,enc_dec,1,33.6290
lattigo,5,15,60,42,12,3,5,300,228,2,rot1,1,30.0718
lattigo,5,15,60,42,12,3,5,300,228,1,enc_dec,1,33.6561
lattigo,5,15,60,42,12,3,5,300,228,1,rot1,1,30.0776
lattigo,5,15,60,42,12,3,5,300,228,12,enc_dec,2,33.6101
lattigo,5,15,60,42,12,3,5,300,228,12,rot1,2,30.0798
lattigo,5,15,60,42,12,3,5,300,228,11,enc_dec,2,33.6396
lattigo,5,15,60,42,12,3,5,300,228,11,rot1,2,30.0671
lattigo,5,15,60,42,12,3,5,300,228,10,enc_dec,2,33.6471
lattigo,5,15,60,42,12,3,5,300,228,10,rot1,2,30.0745
lattigo,5,15,60,42,12,3,5,300,228,9,enc_dec,2,33.6271
lattigo,5,15,60,42,12,3,5,300,228,9,rot1,2,30.0701
lattigo,5,15,60,42,12,3,5,300,228,8,enc_dec,2,33.6319
lattigo,5,15,60,42,12,3,5,300,228,8,rot1,2,30.0733
lattigo,5,15,60,42,12,3,5,300,228,7,enc_dec,2,33.6284
lattigo,5,15,60,42,12,3,5,300,228,7,rot1,2,30.0811
lattigo,5,15,60,42,12,3,5,300,228,6,enc_dec,2,33.6320
lattigo,5,15,60,42,12,3,5,300,228,6,rot1,2,30.0777
lattigo,5,15,60,42,12,3,5,300,228,5,enc_dec,2,33.6339
lattigo,5,15,60,42,12,3,5,300,228,5,rot1,2,30.0756
lattigo,5,15,60,42,12,3,5,300,228,4,enc_dec,2,33.6379
lattigo,5,15,60,42,12,3,5,300,228,4,rot1,2,30.0625
lattigo,5,15,60,42,12,3,5,300,228,3,enc_dec,2,33.6387
lattigo,5,15,60,42,12,3,5,300,228,3,rot1,2,30.0688
lattigo,5,15,60,42,12,3,5,300,228,2,enc_dec,2,33.6194
lattigo,5,15,60,42,12,3,5,300,228,2,rot1,2,30.0722
lattigo,5,15,60,42,12,3,5,300,228,1,enc_dec,2,33.6402
lattigo,5,15,60,42,12,3,5,300,228,1,rot1,2,30.0686
lattigo,5,15,60,42,12,3,5,300,228,12,enc_dec,3,33.6329
lattigo,5,15,60,42,12,3,5,300,228,12,rot1,3,30.0574
lattigo,5,15,60,42,12,3,5,300,228,11,enc_dec,3,33.6485
lattigo,5,15,60,42,12,3,5,300,228,11,rot1,3,30.0733
lattigo,5,15,60,42,12,3,5,300,228,10,enc_dec,3,33.6320
lattigo,5,15,60,42,12,3,5,300,228,10,rot1,3,30.0608
lattigo,5,15,60,42,12,3,5,300,228,9,enc_dec,3,33.6267
lattigo,5,15,60,42,12,3,5,300,228,9,rot1,3,30.0786
lattigo,5,15,60,42,12,3,5,300,228,8,enc_dec,3,33.6256
lattigo,5,15,60,42,12,3,5,300,228,8,rot1,3,30.0518
lattigo,5,15,60,42,12,3,5,300,228,7,enc_dec,3,33.6284
lattigo,5,15,60,42,12,3,5,300,228,7,rot1,3,30.0747
lattigo,5,15,60,42,12,3,5,300,228,6,enc_dec,3,33.6352
lattigo,5,15,60,42,12,3,5,300,228,6,rot1,3,30.0699
lattigo,5,15,60,42,12,3,5,300,228,5,enc_dec,3,33.6239
lattigo,5,15,60,42,12,3,5,300,228,5,rot1,3,30.0649
lattigo,5,15,60,42,12,3,5,300,228,4,enc_dec,3,33.6344
lattigo,5,15,60,42,12,3,5,300,228,4,rot1,3,30.0612
lattigo,5,15,60,42,12,3,5,300,228,3,enc_dec,3,33.6467
lattigo,5,15,60,42,12,3,5,300,228,3,rot1,3,30.0623
lattigo,5,15,60,42,12,3,5,300,228,2,enc_dec,3,33.6333
lattigo,5,15,60,42,12,3,5,300,228,2,rot1,3,30.0727
lattigo,5,15,60,42,12,3,5,300,228,1,enc_dec,3,33.6296
lattigo,5,15,60,42,12,3,5,300,228,1,rot1,3,30.0675
lattigo,5,15,60,42,12,3,5,300,228,12,enc_dec,4,33.6388
lattigo,5,15,60,42,12,3,5,300,228,12,rot1,4,30.0880
lattigo,5,15,60,42,12,3,5,300,228,11,enc_dec,4,33.6318
lattigo,5,15,60,42,12,3,5,300,228,11,rot1,4,30.0775
lattigo,5,15,60,42,12,3,5,300,228,10,enc_dec,4,33.6234
lattigo,5,15,60,42,12,3,5,300,228,10,rot1,4,30.0828
lattigo,5,15,60,42,12,3,5,300,228,9,enc_dec,4,33.6342
lattigo,5,15,60,42,12,3,5,300,228,9,rot1,4,30.0691
lattigo,5,15,60,42,12,3,5,300,228,8,enc_dec,4,33.6211
lattigo,5,15,60,42,12,3,5,300,228,8,rot1,4,30.0770
lattigo,5,15,60,42,12,3,5,300,228,7,enc_dec,4,33.6445
lattigo,5,15,60,42,12,3,5,300,228,7,rot1,4,30.0809
lattigo,5,15,60,42,12,3,5,300,228,6,enc_dec,4,33.6326
lattigo,5,15,60,42,12,3,5,300,228,6,rot1,4,30.0731
lattigo,5,15,60,42,12,3,5,300,228,5,enc_dec,4,33.6204
lattigo,5,15,60,42,12,3,5,300,228,5,rot1,4,30.0761
