library,exp,logN,q0,delta,depth,dnum,PCount,logP,maxDigitBits,level,path,rep,bits
openfhe,7,14,60,42,6,4,2,120,102,6,enc_dec,0,31.3214
openfhe,7,14,60,42,6,4,2,120,102,6,rot1,0,29.3002
openfhe,7,14,60,42,6,4,2,120,102,5,enc_dec,0,31.3092
openfhe,7,14,60,42,6,4,2,120,102,5,rot1,0,29.3418
openfhe,7,14,60,42,6,4,2,120,102,4,enc_dec,0,31.3114
openfhe,7,14,60,42,6,4,2,120,102,4,rot1,0,29.3217
openfhe,7,14,60,42,6,4,2,120,102,3,enc_dec,0,31.3299
openfhe,7,14,60,42,6,4,2,120,102,3,rot1,0,29.3411
openfhe,7,14,60,42,6,4,2,120,102,2,enc_dec,0,31.2996
openfhe,7,14,60,42,6,4,2,120,102,2,rot1,0,29.3342
openfhe,7,14,60,42,6,4,2,120,102,1,enc_dec,0,31.3188
openfhe,7,14,60,42,6,4,2,120,102,1,rot1,0,29.3133
openfhe,7,14,60,42,6,4,2,120,102,6,enc_dec,1,31.3077
openfhe,7,14,60,42,6,4,2,120,102,6,rot1,1,29.0946
openfhe,7,14,60,42,6,4,2,120,102,5,enc_dec,1,31.3180
openfhe,7,14,60,42,6,4,2,120,102,5,rot1,1,29.0927
openfhe,7,14,60,42,6,4,2,120,102,4,enc_dec,1,31.3219
openfhe,7,14,60,42,6,4,2,120,102,4,rot1,1,29.1104
openfhe,7,14,60,42,6,4,2,120,102,3,enc_dec,1,31.2860
openfhe,7,14,60,42,6,4,2,120,102,3,rot1,1,29.1081
openfhe,7,14,60,42,6,4,2,120,102,2,enc_dec,1,31.3339
openfhe,7,14,60,42,6,4,2,120,102,2,rot1,1,29.0905
openfhe,7,14,60,42,6,4,2,120,102,1,enc_dec,1,31.3241
openfhe,7,14,60,42,6,4,2,120,102,1,rot1,1,29.1147
openfhe,7,14,60,42,6,4,2,120,102,6,enc_dec,2,31.3106
openfhe,7,14,60,42,6,4,2,120,102,6,rot1,2,29.1554
openfhe,7,14,60,42,6,4,2,120,102,5,enc_dec,2,31.2949
openfhe,7,14,60,42,6,4,2,120,102,5,rot1,2,29.1910
openfhe,7,14,60,42,6,4,2,120,102,4,enc_dec,2,31.3048
openfhe,7,14,60,42,6,4,2,120,102,4,rot1,2,29.1326
openfhe,7,14,60,42,6,4,2,120,102,3,enc_dec,2,31.3267
openfhe,7,14,60,42,6,4,2,120,102,3,rot1,2,29.1590
openfhe,7,14,60,42,6,4,2,120,102,2,enc_dec,2,31.3059
openfhe,7,14,60,42,6,4,2,120,102,2,rot1,2,29.1500
openfhe,7,14,60,42,6,4,2,120,102,1,enc_dec,2,31.3149
openfhe,7,14,60,42,6,4,2,120,102,1,rot1,2,29.1472
openfhe,7,14,60,42,6,4,2,120,102,6,enc_dec,3,31.3176
openfhe,7,14,60,42,6,4,2,120,102,6,rot1,3,28.9462
openfhe,7,14,60,42,6,4,2,120,102,5,enc_dec,3,31.2995
openfhe,7,14,60,42,6,4,2,120,102,5,rot1,3,28.9598
openfhe,7,14,60,42,6,4,2,120,102,4,enc_dec,3,31.2989
openfhe,7,14,60,42,6,4,2,120,102,4,rot1,3,28.9574
openfhe,7,14,60,42,6,4,2,120,102,3,enc_dec,3,31.3047
openfhe,7,14,60,42,6,4,2,120,102,3,rot1,3,28.9581
openfhe,7,14,60,42,6,4,2,120,102,2,enc_dec,3,31.3236
openfhe,7,14,60,42,6,4,2,120,102,2,rot1,3,28.9610
openfhe,7,14,60,42,6,4,2,120,102,1,enc_dec,3,31.3250
openfhe,7,14,60,42,6,4,2,120,102,1,rot1,3,28.9497
openfhe,7,14,60,42,6,4,2,120,102,6,enc_dec,4,31.3114
openfhe,7,14,60,42,6,4,2,120,102,6,rot1,4,28.5882
openfhe,7,14,60,42,6,4,2,120,102,5,enc_dec,4,31.3009
openfhe,7,14,60,42,6,4,2,120,102,5,rot1,4,28.5596
openfhe,7,14,60,42,6,4,2,120,102,4,enc_dec,4,31.3163
openfhe,7,14,60,42,6,4,2,120,102,4,rot1,4,28.5627
openfhe,7,14,60,42,6,4,2,120,102,3,enc_dec,4,31.3177
openfhe,7,14,60,42,6,4,2,120,102,3,rot1,4,28.5878
openfhe,7,14,60,42,6,4,2,120,102,2,enc_dec,4,31.3174
openfhe,7,14,60,42,6,4,2,120,102,2,rot1,4,28.5813
