library,exp,logN,q0,delta,depth,dnum,PCount,logP,maxDigitBits,level,path,rep,bits
openfhe,7,14,60,42,6,4,2,120,102,6,enc_dec,0,31.3159
openfhe,7,14,60,42,6,4,2,120,102,6,rot1,0,28.9246
openfhe,7,14,60,42,6,4,2,120,102,5,enc_dec,0,31.3171
openfhe,7,14,60,42,6,4,2,120,102,5,rot1,0,28.9297
openfhe,7,14,60,42,6,4,2,120,102,4,enc_dec,0,31.3027
openfhe,7,14,60,42,6,4,2,120,102,4,rot1,0,28.9043
openfhe,7,14,60,42,6,4,2,120,102,3,enc_dec,0,31.3186
openfhe,7,14,60,42,6,4,2,120,102,3,rot1,0,28.9194
openfhe,7,14,60,42,6,4,2,120,102,2,enc_dec,0,31.3178
openfhe,7,14,60,42,6,4,2,120,102,2,rot1,0,28.9334
openfhe,7,14,60,42,6,4,2,120,102,1,enc_dec,0,31.3120
openfhe,7,14,60,42,6,4,2,120,102,1,rot1,0,28.9003
openfhe,7,14,60,42,6,4,2,120,102,6,enc_dec,1,31.3015
openfhe,7,14,60,42,6,4,2,120,102,6,rot1,1,29.3509
openfhe,7,14,60,42,6,4,2,120,102,5,enc_dec,1,31.2851
openfhe,7,14,60,42,6,4,2,120,102,5,rot1,1,29.3794
openfhe,7,14,60,42,6,4,2,120,102,4,enc_dec,1,31.3267
openfhe,7,14,60,42,6,4,2,120,102,4,rot1,1,29.3669
openfhe,7,14,60,42,6,4,2,120,102,3,enc_dec,1,31.3147
openfhe,7,14,60,42,6,4,2,120,102,3,rot1,1,29.3677
openfhe,7,14,60,42,6,4,2,120,102,2,enc_dec,1,31.2992
openfhe,7,14,60,42,6,4,2,120,102,2,rot1,1,29.3658
openfhe,7,14,60,42,6,4,2,120,102,1,enc_dec,1,31.2919
openfhe,7,14,60,42,6,4,2,120,102,1,rot1,1,29.3942
openfhe,7,14,60,42,6,4,2,120,102,6,enc_dec,2,31.3228
openfhe,7,14,60,42,6,4,2,120,102,6,rot1,2,28.4860
openfhe,7,14,60,42,6,4,2,120,102,5,enc_dec,2,31.2936
openfhe,7,14,60,42,6,4,2,120,102,5,rot1,2,28.5090
openfhe,7,14,60,42,6,4,2,120,102,4,enc_dec,2,31.3087
openfhe,7,14,60,42,6,4,2,120,102,4,rot1,2,28.5074
openfhe,7,14,60,42,6,4,2,120,102,3,enc_dec,2,31.3222
openfhe,7,14,60,42,6,4,2,120,102,3,rot1,2,28.4980
openfhe,7,14,60,42,6,4,2,120,102,2,enc_dec,2,31.3161
openfhe,7,14,60,42,6,4,2,120,102,2,rot1,2,28.5062
openfhe,7,14,60,42,6,4,2,120,102,1,enc_dec,2,31.3032
openfhe,7,14,60,42,6,4,2,120,102,1,rot1,2,28.4924
openfhe,7,14,60,42,6,4,2,120,102,6,enc_dec,3,31.3247
openfhe,7,14,60,42,6,4,2,120,102,6,rot1,3,28.5178
openfhe,7,14,60,42,6,4,2,120,102,5,enc_dec,3,31.3007
openfhe,7,14,60,42,6,4,2,120,102,5,rot1,3,28.5258
openfhe,7,14,60,42,6,4,2,120,102,4,enc_dec,3,31.3038
openfhe,7,14,60,42,6,4,2,120,102,4,rot1,3,28.5050
openfhe,7,14,60,42,6,4,2,120,102,3,enc_dec,3,31.3200
openfhe,7,14,60,42,6,4,2,120,102,3,rot1,3,28.5253
openfhe,7,14,60,42,6,4,2,120,102,2,enc_dec,3,31.3179
openfhe,7,14,60,42,6,4,2,120,102,2,rot1,3,28.5020
openfhe,7,14,60,42,6,4,2,120,102,1,enc_dec,3,31.3096
