library,exp,logN,q0,delta,depth,dnum,PCount,logP,logQ,logQP,bound,margin,maxLevel,level,op,mean_us,std_us,reps,digits,ok,err
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,6,add_cc,349.634,7.449,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,6,add_cp,286.313,5.975,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,6,mul_cp,713.743,13.328,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,6,mul_cc,2136.421,17.780,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,6,mul_cc_rlk,24817.847,1013.404,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,6,relin,23529.906,999.521,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,6,rescale,3763.944,22.750,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,6,rot1,23077.780,921.040,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,5,add_cc,296.059,6.323,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,5,add_cp,232.745,6.131,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,5,mul_cp,605.206,11.867,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,5,mul_cc,1826.155,34.181,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,5,mul_cc_rlk,18268.861,121.675,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,5,relin,17228.992,65.924,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,5,rescale,3119.749,14.720,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,5,rot1,16877.628,80.679,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,4,add_cc,241.610,6.565,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,4,add_cp,187.836,4.967,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,4,mul_cp,497.189,9.165,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,4,mul_cc,1511.183,18.486,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,4,mul_cc_rlk,15798.932,59.424,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,4,relin,14988.611,74.970,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,4,rescale,2621.063,14.473,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,4,rot1,14724.314,102.825,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,3,add_cc,186.422,5.767,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,3,add_cp,147.613,4.210,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,3,mul_cp,390.956,8.756,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,3,mul_cc,1197.040,16.228,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,3,mul_cc_rlk,10908.722,62.092,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,3,relin,10267.084,78.322,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,3,rescale,1995.601,12.670,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,3,rot1,9992.070,21.082,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,2,add_cc,128.066,3.590,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,2,add_cp,108.748,3.100,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,2,mul_cp,283.715,8.194,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,2,mul_cc,785.263,12.749,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
