library,exp,logN,q0,delta,depth,dnum,PCount,logP,maxDigitBits,level,path,rep,bits
openfhe,7,15,60,48,10,2,5,300,300,10,enc_dec,0,36.3188
openfhe,7,15,60,48,10,2,5,300,300,10,rot1,0,32.8374
openfhe,7,15,60,48,10,2,5,300,300,9,enc_dec,0,36.3206
openfhe,7,15,60,48,10,2,5,300,300,9,rot1,0,32.8372
openfhe,7,15,60,48,10,2,5,300,300,8,enc_dec,0,36.3075
openfhe,7,15,60,48,10,2,5,300,300,8,rot1,0,32.8423
openfhe,7,15,60,48,10,2,5,300,300,7,enc_dec,0,36.3259
openfhe,7,15,60,48,10,2,5,300,300,7,rot1,0,32.8438
openfhe,7,15,60,48,10,2,5,300,300,6,enc_dec,0,36.3097
openfhe,7,15,60,48,10,2,5,300,300,6,rot1,0,32.8278
openfhe,7,15,60,48,10,2,5,300,300,5,enc_dec,0,36.3217
openfhe,7,15,60,48,10,2,5,300,300,5,rot1,0,32.8530
openfhe,7,15,60,48,10,2,5,300,300,4,enc_dec,0,36.3063
openfhe,7,15,60,48,10,2,5,300,300,4,rot1,0,33.1667
openfhe,7,15,60,48,10,2,5,300,300,3,enc_dec,0,36.3108
openfhe,7,15,60,48,10,2,5,300,300,3,rot1,0,33.1680
openfhe,7,15,60,48,10,2,5,300,300,2,enc_dec,0,36.3201
openfhe,7,15,60,48,10,2,5,300,300,2,rot1,0,33.1716
openfhe,7,15,60,48,10,2,5,300,300,1,enc_dec,0,36.3156
openfhe,7,15,60,48,10,2,5,300,300,1,rot1,0,33.1654
openfhe,7,15,60,48,10,2,5,300,300,10,enc_dec,1,36.3113
openfhe,7,15,60,48,10,2,5,300,300,10,rot1,1,32.8067
openfhe,7,15,60,48,10,2,5,300,300,9,enc_dec,1,36.3198
openfhe,7,15,60,48,10,2,5,300,300,9,rot1,1,32.8055
openfhe,7,15,60,48,10,2,5,300,300,8,enc_dec,1,36.3310
openfhe,7,15,60,48,10,2,5,300,300,8,rot1,1,32.8193
openfhe,7,15,60,48,10,2,5,300,300,7,enc_dec,1,36.3286
openfhe,7,15,60,48,10,2,5,300,300,7,rot1,1,32.8342
openfhe,7,15,60,48,10,2,5,300,300,6,enc_dec,1,36.3277
openfhe,7,15,60,48,10,2,5,300,300,6,rot1,1,32.8243
openfhe,7,15,60,48,10,2,5,300,300,5,enc_dec,1,36.3185
openfhe,7,15,60,48,10,2,5,300,300,5,rot1,1,32.8284
openfhe,7,15,60,48,10,2,5,300,300,4,enc_dec,1,36.3222
openfhe,7,15,60,48,10,2,5,300,300,4,rot1,1,31.9396
openfhe,7,15,60,48,10,2,5,300,300,3,enc_dec,1,36.3308
openfhe,7,15,60,48,10,2,5,300,300,3,rot1,1,31.9582
openfhe,7,15,60,48,10,2,5,300,300,2,enc_dec,1,36.3155
openfhe,7,15,60,48,10,2,5,300,300,2,rot1,1,31.9518
openfhe,7,15,60,48,10,2,5,300,300,1,enc_dec,1,36.3210
openfhe,7,15,60,48,10,2,5,300,300,1,rot1,1,31.9484
openfhe,7,15,60,48,10,2,5,300,300,10,enc_dec,2,36.3246
openfhe,7,15,60,48,10,2,5,300,300,10,rot1,2,31.9622
openfhe,7,15,60,48,10,2,5,300,300,9,enc_dec,2,36.3175
openfhe,7,15,60,48,10,2,5,300,300,9,rot1,2,31.9603
openfhe,7,15,60,48,10,2,5,300,300,8,enc_dec,2,36.3124
openfhe,7,15,60,48,10,2,5,300,300,8,rot1,2,31.9405
openfhe,7,15,60,48,10,2,5,300,300,7,enc_dec,2,36.3134
openfhe,7,15,60,48,10,2,5,300,300,7,rot1,2,31.9454
openfhe,7,15,60,48,10,2,5,300,300,6,enc_dec,2,36.3260
openfhe,7,15,60,48,10,2,5,300,300,6,rot1,2,31.9464
openfhe,7,15,60,48,10,2,5,300,300,5,enc_dec,2,36.3248
openfhe,7,15,60,48,10,2,5,300,300,5,rot1,2,31.9613
openfhe,7,15,60,48,10,2,5,300,300,4,enc_dec,2,36.3205
openfhe,7,15,60,48,10,2,5,300,300,4,rot1,2,32.6801
openfhe,7,15,60,48,10,2,5,300,300,3,enc_dec,2,36.3205
openfhe,7,15,60,48,10,2,5,300,300,3,rot1,2,32.6792
openfhe,7,15,60,48,10,2,5,300,300,2,enc_dec,2,36.3104
openfhe,7,15,60,48,10,2,5,300,300,2,rot1,2,32.6772
openfhe,7,15,60,48,10,2,5,300,300,1,enc_dec,2,36.3020
openfhe,7,15,60,48,10,2,5,300,300,1,rot1,2,32.6729
openfhe,7,15,60,48,10,2,5,300,300,10,enc_dec,3,36.3186
openfhe,7,15,60,48,10,2,5,300,300,10,rot1,3,31.3278
openfhe,7,15,60,48,10,2,5,300,300,9,enc_dec,3,36.3152
openfhe,7,15,60,48,10,2,5,300,300,9,rot1,3,31.3353
openfhe,7,15,60,48,10,2,5,300,300,8,enc_dec,3,36.3052
openfhe,7,15,60,48,10,2,5,300,300,8,rot1,3,31.3277
openfhe,7,15,60,48,10,2,5,300,300,7,enc_dec,3,36.3281
