library,exp,logN,q0,delta,depth,dnum,PCount,logP,maxDigitBits,level,path,rep,bits
openfhe,7,15,60,48,10,2,5,300,300,10,enc_dec,0,36.3240
openfhe,7,15,60,48,10,2,5,300,300,10,rot1,0,31.5658
openfhe,7,15,60,48,10,2,5,300,300,9,enc_dec,0,36.3315
openfhe,7,15,60,48,10,2,5,300,300,9,rot1,0,31.5384
openfhe,7,15,60,48,10,2,5,300,300,8,enc_dec,0,36.3263
openfhe,7,15,60,48,10,2,5,300,300,8,rot1,0,31.5615
openfhe,7,15,60,48,10,2,5,300,300,7,enc_dec,0,36.3196
openfhe,7,15,60,48,10,2,5,300,300,7,rot1,0,31.5570
openfhe,7,15,60,48,10,2,5,300,300,6,enc_dec,0,36.3235
openfhe,7,15,60,48,10,2,5,300,300,6,rot1,0,31.5370
openfhe,7,15,60,48,10,2,5,300,300,5,enc_dec,0,36.3266
openfhe,7,15,60,48,10,2,5,300,300,5,rot1,0,31.5383
openfhe,7,15,60,48,10,2,5,300,300,4,enc_dec,0,36.3161
openfhe,7,15,60,48,10,2,5,300,300,4,rot1,0,33.6937
openfhe,7,15,60,48,10,2,5,300,300,3,enc_dec,0,36.3082
openfhe,7,15,60,48,10,2,5,300,300,3,rot1,0,33.6923
openfhe,7,15,60,48,10,2,5,300,300,2,enc_dec,0,36.3080
openfhe,7,15,60,48,10,2,5,300,300,2,rot1,0,33.6718
openfhe,7,15,60,48,10,2,5,300,300,1,enc_dec,0,36.3117
openfhe,7,15,60,48,10,2,5,300,300,1,rot1,0,33.6912
openfhe,7,15,60,48,10,2,5,300,300,10,enc_dec,1,36.3072
openfhe,7,15,60,48,10,2,5,300,300,10,rot1,1,33.0482
openfhe,7,15,60,48,10,2,5,300,300,9,enc_dec,1,36.3241
openfhe,7,15,60,48,10,2,5,300,300,9,rot1,1,33.0614
openfhe,7,15,60,48,10,2,5,300,300,8,enc_dec,1,36.3266
openfhe,7,15,60,48,10,2,5,300,300,8,rot1,1,33.0658
openfhe,7,15,60,48,10,2,5,300,300,7,enc_dec,1,36.3092
openfhe,7,15,60,48,10,2,5,300,300,7,rot1,1,33.0659
openfhe,7,15,60,48,10,2,5,300,300,6,enc_dec,1,36.3113
openfhe,7,15,60,48,10,2,5,300,300,6,rot1,1,33.0528
openfhe,7,15,60,48,10,2,5,300,300,5,enc_dec,1,36.3176
openfhe,7,15,60,48,10,2,5,300,300,5,rot1,1,33.0612
openfhe,7,15,60,48,10,2,5,300,300,4,enc_dec,1,36.3119
openfhe,7,15,60,48,10,2,5,300,300,4,rot1,1,33.3198
openfhe,7,15,60,48,10,2,5,300,300,3,enc_dec,1,36.3120
openfhe,7,15,60,48,10,2,5,300,300,3,rot1,1,33.3346
openfhe,7,15,60,48,10,2,5,300,300,2,enc_dec,1,36.3290
openfhe,7,15,60,48,10,2,5,300,300,2,rot1,1,33.3191
openfhe,7,15,60,48,10,2,5,300,300,1,enc_dec,1,36.3188
openfhe,7,15,60,48,10,2,5,300,300,1,rot1,1,33.3192
openfhe,7,15,60,48,10,2,5,300,300,10,enc_dec,2,36.3052
openfhe,7,15,60,48,10,2,5,300,300,10,rot1,2,31.6390
openfhe,7,15,60,48,10,2,5,300,300,9,enc_dec,2,36.3109
openfhe,7,15,60,48,10,2,5,300,300,9,rot1,2,31.6607
openfhe,7,15,60,48,10,2,5,300,300,8,enc_dec,2,36.3140
openfhe,7,15,60,48,10,2,5,300,300,8,rot1,2,31.6503
openfhe,7,15,60,48,10,2,5,300,300,7,enc_dec,2,36.3274
openfhe,7,15,60,48,10,2,5,300,300,7,rot1,2,31.6458
openfhe,7,15,60,48,10,2,5,300,300,6,enc_dec,2,36.3206
openfhe,7,15,60,48,10,2,5,300,300,6,rot1,2,31.6401
openfhe,7,15,60,48,10,2,5,300,300,5,enc_dec,2,36.3247
openfhe,7,15,60,48,10,2,5,300,300,5,rot1,2,31.6548
openfhe,7,15,60,48,10,2,5,300,300,4,enc_dec,2,36.3224
openfhe,7,15,60,48,10,2,5,300,300,4,rot1,2,32.3725
openfhe,7,15,60,48,10,2,5,300,300,3,enc_dec,2,36.3135
openfhe,7,15,60,48,10,2,5,300,300,3,rot1,2,32.3666
openfhe,7,15,60,48,10,2,5,300,300,2,enc_dec,2,36.3148
openfhe,7,15,60,48,10,2,5,300,300,2,rot1,2,32.3533
openfhe,7,15,60,48,10,2,5,300,300,1,enc_dec,2,36.3153
openfhe,7,15,60,48,10,2,5,300,300,1,rot1,2,32.3720
openfhe,7,15,60,48,10,2,5,300,300,10,enc_dec,3,36.3186
openfhe,7,15,60,48,10,2,5,300,300,10,rot1,3,32.5486
openfhe,7,15,60,48,10,2,5,300,300,9,enc_dec,3,36.3143
openfhe,7,15,60,48,10,2,5,300,300,9,rot1,3,32.5443
openfhe,7,15,60,48,10,2,5,300,300,8,enc_dec,3,36.3234
openfhe,7,15,60,48,10,2,5,300,300,8,rot1,3,32.5511
openfhe,7,15,60,48,10,2,5,300,300,7,enc_dec,3,36.3214
openfhe,7,15,60,48,10,2,5,300,300,7,rot1,3,32.5470
openfhe,7,15,60,48,10,2,5,300,300,6,enc_dec,3,36.3281
openfhe,7,15,60,48,10,2,5,300,300,6,rot1,3,32.5549
openfhe,7,15,60,48,10,2,5,300,300,5,enc_dec,3,36.3024
openfhe,7,15,60,48,10,2,5,300,300,5,rot1,3,32.5470
openfhe,7,15,60,48,10,2,5,300,300,4,enc_dec,3,36.3264
openfhe,7,15,60,48,10,2,5,300,300,4,rot1,3,33.3314
openfhe,7,15,60,48,10,2,5,300,300,3,enc_dec,3,36.3162
openfhe,7,15,60,48,10,2,5,300,300,3,rot1,3,33.3376
openfhe,7,15,60,48,10,2,5,300,300,2,enc_dec,3,36.3281
openfhe,7,15,60,48,10,2,5,300,300,2,rot1,3,33.3201
openfhe,7,15,60,48,10,2,5,300,300,1,enc_dec,3,36.3196
openfhe,7,15,60,48,10,2,5,300,300,1,rot1,3,33.3270
openfhe,7,15,60,48,10,2,5,300,300,10,enc_dec,4,36.3195
openfhe,7,15,60,48,10,2,5,300,300,10,rot1,4,32.2918
openfhe,7,15,60,48,10,2,5,300,300,9,enc_dec,4,36.3059
openfhe,7,15,60,48,10,2,5,300,300,9,rot1,4,32.3019
openfhe,7,15,60,48,10,2,5,300,300,8,enc_dec,4,36.3200
openfhe,7,15,60,48,10,2,5,300,300,8,rot1,4,32.3058
openfhe,7,15,60,48,10,2,5,300,300,7,enc_dec,4,36.3211
openfhe,7,15,60,48,10,2,5,300,300,7,rot1,4,32.3042
openfhe,7,15,60,48,10,2,5,300,300,6,enc_dec,4,36.3017
openfhe,7,15,60,48,10,2,5,300,300,6,rot1,4,32.2972
openfhe,7,15,60,48,10,2,5,300,300,5,enc_dec,4,36.3214
openfhe,7,15,60,48,10,2,5,300,300,5,rot1,4,32.2917
openfhe,7,15,60,48,10,2,5,300,300,4,enc_dec,4,36.3275
openfhe,7,15,60,48,10,2,5,300,300,4,rot1,4,33.1881
openfhe,7,15,60,48,10,2,5,300,300,3,enc_dec,4,36.3157
openfhe,7,15,60,48,10,2,5,300,300,3,rot1,4,33.1787
openfhe,7,15,60,48,10,2,5,300,300,2,enc_dec,4,36.3192
openfhe,7,15,60,48,10,2,5,300,300,2,rot1,4,33.1875
openfhe,7,15,60,48,10,2,5,300,300,1,enc_dec,4,36.3197
openfhe,7,15,60,48,10,2,5,300,300,1,rot1,4,33.1769
openfhe,7,15,60,48,10,2,5,300,300,10,enc_dec,5,36.3154
openfhe,7,15,60,48,10,2,5,300,300,10,rot1,5,32.4951
openfhe,7,15,60,48,10,2,5,300,300,9,enc_dec,5,36.3255
openfhe,7,15,60,48,10,2,5,300,300,9,rot1,5,32.4970
openfhe,7,15,60,48,10,2,5,300,300,8,enc_dec,5,36.3269
openfhe,7,15,60,48,10,2,5,300,300,8,rot1,5,32.5015
openfhe,7,15,60,48,10,2,5,300,300,7,enc_dec,5,36.3279
openfhe,7,15,60,48,10,2,5,300,300,7,rot1,5,32.5035
openfhe,7,15,60,48,10,2,5,300,300,6,enc_dec,5,36.3181
openfhe,7,15,60,48,10,2,5,300,300,6,rot1,5,32.5062
openfhe,7,15,60,48,10,2,5,300,300,5,enc_dec,5,36.3256
openfhe,7,15,60,48,10,2,5,300,300,5,rot1,5,32.4936
openfhe,7,15,60,48,10,2,5,300,300,4,enc_dec,5,36.3386
openfhe,7,15,60,48,10,2,5,300,300,4,rot1,5,33.1446
openfhe,7,15,60,48,10,2,5,300,300,3,enc_dec,5,36.3226
openfhe,7,15,60,48,10,2,5,300,300,3,rot1,5,33.1343
openfhe,7,15,60,48,10,2,5,300,300,2,enc_dec,5,36.3156
openfhe,7,15,60,48,10,2,5,300,300,2,rot1,5,33.1368
openfhe,7,15,60,48,10,2,5,300,300,1,enc_dec,5,36.3179
openfhe,7,15,60,48,10,2,5,300,300,1,rot1,5,33.1345
openfhe,7,15,60,48,10,2,5,300,300,10,enc_dec,6,36.3186
openfhe,7,15,60,48,10,2,5,300,300,10,rot1,6,32.1252
openfhe,7,15,60,48,10,2,5,300,300,9,enc_dec,6,36.3040
openfhe,7,15,60,48,10,2,5,300,300,9,rot1,6,32.1005
openfhe,7,15,60,48,10,2,5,300,300,8,enc_dec,6,36.3110
openfhe,7,15,60,48,10,2,5,300,300,8,rot1,6,32.0990
openfhe,7,15,60,48,10,2,5,300,300,7,enc_dec,6,36.3135
openfhe,7,15,60,48,10,2,5,300,300,7,rot1,6,32.1229
openfhe,7,15,60,48,10,2,5,300,300,6,enc_dec,6,36.3146
openfhe,7,15,60,48,10,2,5,300,300,6,rot1,6,32.0958
openfhe,7,15,60,48,10,2,5,300,300,5,enc_dec,6,36.3226
openfhe,7,15,60,48,10,2,5,300,300,5,rot1,6,32.1107
openfhe,7,15,60,48,10,2,5,300,300,4,enc_dec,6,36.3180
openfhe,7,15,60,48,10,2,5,300,300,4,rot1,6,32.7193
