library,exp,logN,q0,delta,depth,dnum,PCount,logP,logQ,logQP,bound,margin,maxLevel,level,op,mean_us,std_us,reps,digits,threads,nthreads,ok,err
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,4,add_cc,243.757,5.564,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,4,add_cp,189.403,4.112,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,4,mul_cp,499.511,7.541,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,4,mul_cc,1505.726,12.989,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,4,mul_cc_rlk,14409.472,107.044,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,4,relin,13567.017,75.511,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,4,rescale,2629.856,18.295,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,4,rot1,13217.810,91.045,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,3,add_cc,182.568,3.603,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,3,add_cp,148.485,3.634,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,3,mul_cp,387.529,6.592,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,3,mul_cc,1189.707,13.489,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,3,mul_cc_rlk,12327.836,54.336,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,3,relin,11892.229,352.895,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,3,rescale,1998.528,12.719,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,3,rot1,11507.490,128.924,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,2,add_cc,128.905,3.602,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,2,add_cp,107.207,4.871,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,2,mul_cp,283.330,4.977,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,2,mul_cc,877.950,14.917,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,2,mul_cc_rlk,7890.855,29.286,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,2,relin,7399.274,62.943,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,2,rescale,1500.794,11.636,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,2,rot1,7215.203,21.444,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,1,add_cc,76.273,2.699,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,1,add_cp,59.110,2.552,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,1,mul_cp,185.328,9.610,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,1,mul_cc,451.489,22.705,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,1,mul_cc_rlk,6167.775,12.245,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,1,relin,5992.852,28.711,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,1,rescale,875.406,14.342,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,1,rot1,5795.185,78.361,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
lattigo,7,14,60,42,4,2,3,180,228,408,438,30,4,4,add_cc,113.908,5.021,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
lattigo,7,14,60,42,4,2,3,180,228,408,438,30,4,4,add_cp,93.445,4.735,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
