library,preset,logN,numSlots,in_level,out_level,op,mean_us,std_us,reps,key_bytes,peak_rss_mb,limbs_q,limbs_p,thread_mechanism,source,group
lattigo,boot16,16,32768,1,9,bootstrap,23910291.561,47137.132,10,10383174413,20716.1,28,5,GOMAXPROCS=4,results_boot2_lattigo_mt.csv,main
lattigo,boot16,16,32768,1,9,btp_keygen,57854568.084,0.0,1,10383174413,20716.1,28,5,GOMAXPROCS=4,results_boot2_lattigo_mt.csv,main
lattigo,boot16,16,32768,1,9,us_per_level,2988786.445,5892.142,10,10383174413,20716.1,28,5,GOMAXPROCS=4,results_boot2_lattigo_mt.csv,main
lattigo,boot16,16,32768,1,9,precision_bits,29.735,27.342,1,10383174413,20716.1,28,5,GOMAXPROCS=4,results_boot2_lattigo_mt.csv,main
lattigo,boot16,16,32768,1,9,bootstrap,23872366.212,40703.748,10,10383174413,21087.9,28,5,GOMAXPROCS=1,results_boot2_lattigo_1core.csv,main
lattigo,boot16,16,32768,1,9,btp_keygen,58375488.178,0.0,1,10383174413,21087.9,28,5,GOMAXPROCS=1,results_boot2_lattigo_1core.csv,main
lattigo,boot16,16,32768,1,9,us_per_level,2984045.777,5087.968,10,10383174413,21087.9,28,5,GOMAXPROCS=1,results_boot2_lattigo_1core.csv,main
lattigo,boot16,16,32768,1,9,precision_bits,29.743,27.314,1,10383174413,21087.9,28,5,GOMAXPROCS=1,results_boot2_lattigo_1core.csv,main
openfhe,boot16,16,32768,1,9,bootstrap,38097832.09,263233.632,10,12106465280,16653.7,30,10,OMP_NUM_THREADS=4,results_boot2_openfhe_mt.csv,main
openfhe,boot16,16,32768,1,9,btp_setup,6621994.57,0.0,1,12106465280,16653.7,30,10,OMP_NUM_THREADS=4,results_boot2_openfhe_mt.csv,main
openfhe,boot16,16,32768,1,9,btp_keygen,31105316.796,0.0,1,12106465280,16653.7,30,10,OMP_NUM_THREADS=4,results_boot2_openfhe_mt.csv,main
openfhe,boot16,16,32768,1,9,us_per_level,4762229.011,32904.204,10,12106465280,16653.7,30,10,OMP_NUM_THREADS=4,results_boot2_openfhe_mt.csv,main
openfhe,boot16,16,32768,1,9,precision_bits,12.337,9.387,1,12106465280,16653.7,30,10,OMP_NUM_THREADS=4,results_boot2_openfhe_mt.csv,main
openfhe,boot16,16,32768,1,9,bootstrap,60372893.056,187847.324,10,12007112704,16649.8,30,10,OMP_NUM_THREADS=1,results_boot2_openfhe_1core.csv,main
openfhe,boot16,16,32768,1,9,btp_setup,14582587.387,0.0,1,12007112704,16649.8,30,10,OMP_NUM_THREADS=1,results_boot2_openfhe_1core.csv,main
openfhe,boot16,16,32768,1,9,btp_keygen,74488362.298,0.0,1,12007112704,16649.8,30,10,OMP_NUM_THREADS=1,results_boot2_openfhe_1core.csv,main
openfhe,boot16,16,32768,1,9,us_per_level,7546611.632,23480.915,10,12007112704,16649.8,30,10,OMP_NUM_THREADS=1,results_boot2_openfhe_1core.csv,main
openfhe,boot16,16,32768,1,9,precision_bits,12.333,9.452,1,12007112704,16649.8,30,10,OMP_NUM_THREADS=1,results_boot2_openfhe_1core.csv,main
lattigo,boot16-sparse,16,32768,1,9,bootstrap,18240086.27,38853.073,5,7866551213,16376.7,25,5,GOMAXPROCS=4,results_boot_lattigo_sparse_robustness.csv,robustness
lattigo,boot16-sparse,16,32768,1,9,btp_keygen,40562222.104,0.0,1,7866551213,16376.7,25,5,GOMAXPROCS=4,results_boot_lattigo_sparse_robustness.csv,robustness
lattigo,boot16-sparse,16,32768,1,9,us_per_level,2280010.784,4856.634,5,7866551213,16376.7,25,5,GOMAXPROCS=4,results_boot_lattigo_sparse_robustness.csv,robustness
lattigo,boot16-sparse,16,32768,1,9,precision_bits,27.331,24.884,1,7866551213,16376.7,25,5,GOMAXPROCS=4,results_boot_lattigo_sparse_robustness.csv,robustness
openfhe,boot16-sparse-rc,16,32768,1,9,bootstrap,25165523.867,1137000.318,5,10587078656,14724.1,26,9,OMP_NUM_THREADS=4,results_boot_openfhe_sparse_robustness.csv,robustness
openfhe,boot16-sparse-rc,16,32768,1,9,btp_setup,6125055.308,0.0,1,10587078656,14724.1,26,9,OMP_NUM_THREADS=4,results_boot_openfhe_sparse_robustness.csv,robustness
openfhe,boot16-sparse-rc,16,32768,1,9,btp_keygen,27135835.165,0.0,1,10587078656,14724.1,26,9,OMP_NUM_THREADS=4,results_boot_openfhe_sparse_robustness.csv,robustness
openfhe,boot16-sparse-rc,16,32768,1,9,us_per_level,3145690.483,142125.04,5,10587078656,14724.1,26,9,OMP_NUM_THREADS=4,results_boot_openfhe_sparse_robustness.csv,robustness
openfhe,boot16-sparse-rc,16,32768,1,9,precision_bits,18.686,16.1,1,10587078656,14724.1,26,9,OMP_NUM_THREADS=4,results_boot_openfhe_sparse_robustness.csv,robustness
