library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
lattigo,small,13,5,5,add_cc,59.942,11.651,30
lattigo,small,13,5,5,add_cp,41.036,3.748,30
lattigo,small,13,5,5,mul_cp,169.382,11.985,30
lattigo,small,13,5,5,mul_cc,365.361,18.771,30
lattigo,small,13,5,5,mul_cc_rlk,8853.200,242.995,30
lattigo,small,13,5,5,relin,8487.839,0.000,30
lattigo,small,13,5,5,rescale,1212.685,28.092,30
lattigo,small,13,5,5,rot1,8558.675,203.792,30
lattigo,small,13,5,4,add_cc,43.926,3.479,30
lattigo,small,13,5,4,add_cp,34.638,3.130,30
lattigo,small,13,5,4,mul_cp,150.623,7.015,30
lattigo,small,13,5,4,mul_cc,298.754,10.580,30
lattigo,small,13,5,4,mul_cc_rlk,6806.417,216.392,30
lattigo,small,13,5,4,relin,6507.663,0.000,30
lattigo,small,13,5,4,rescale,1010.316,18.741,30
lattigo,small,13,5,4,rot1,6556.356,234.045,30
lattigo,small,13,5,3,add_cc,35.427,2.927,30
lattigo,small,13,5,3,add_cp,27.703,3.025,30
lattigo,small,13,5,3,mul_cp,116.232,10.543,30
lattigo,small,13,5,3,mul_cc,253.306,21.907,30
lattigo,small,13,5,3,mul_cc_rlk,4965.939,210.188,30
lattigo,small,13,5,3,relin,4712.633,0.000,30
lattigo,small,13,5,3,rescale,959.121,194.722,30
lattigo,small,13,5,3,rot1,4797.631,320.468,30
lattigo,small,13,5,2,add_cc,26.438,1.949,30
lattigo,small,13,5,2,add_cp,20.392,0.431,30
lattigo,small,13,5,2,mul_cp,81.797,3.301,30
lattigo,small,13,5,2,mul_cc,209.149,44.934,30
lattigo,small,13,5,2,mul_cc_rlk,3502.125,396.568,30
lattigo,small,13,5,2,relin,3292.975,0.000,30
lattigo,small,13,5,2,rescale,599.094,13.766,30
lattigo,small,13,5,2,rot1,3252.915,241.330,30
lattigo,small,13,5,1,add_cc,18.531,2.223,30
lattigo,small,13,5,1,add_cp,13.954,4.010,30
lattigo,small,13,5,1,mul_cp,55.629,4.124,30
lattigo,small,13,5,1,mul_cc,132.831,23.082,30
lattigo,small,13,5,1,mul_cc_rlk,2087.961,79.709,30
lattigo,small,13,5,1,relin,1955.130,0.000,30
lattigo,small,13,5,1,rescale,400.909,14.964,30
lattigo,small,13,5,1,rot1,1951.495,81.153,30
