library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
lattigo,large,15,15,15,add_cc,595.417,32.067,30
lattigo,large,15,15,15,add_cp,445.047,10.561,30
lattigo,large,15,15,15,mul_cp,1906.230,200.556,30
lattigo,large,15,15,15,mul_cc,4003.158,191.126,30
lattigo,large,15,15,15,mul_cc_rlk,120917.765,3028.837,30
lattigo,large,15,15,15,relin,116914.607,0.000,30
lattigo,large,15,15,15,rescale,15372.667,1143.816,30
lattigo,large,15,15,15,rot1,117989.390,2377.158,30
lattigo,large,15,15,14,add_cc,586.232,60.258,30
lattigo,large,15,15,14,add_cp,422.610,19.327,30
lattigo,large,15,15,14,mul_cp,1708.072,50.467,30
lattigo,large,15,15,14,mul_cc,3703.858,129.578,30
lattigo,large,15,15,14,mul_cc_rlk,117088.553,3606.123,30
lattigo,large,15,15,14,relin,113384.695,0.000,30
lattigo,large,15,15,14,rescale,14202.765,497.537,30
lattigo,large,15,15,14,rot1,112546.597,2746.881,30
lattigo,large,15,15,13,add_cc,529.976,13.814,30
lattigo,large,15,15,13,add_cp,395.835,62.925,30
lattigo,large,15,15,13,mul_cp,1551.028,33.306,30
lattigo,large,15,15,13,mul_cc,3438.305,120.453,30
lattigo,large,15,15,13,mul_cc_rlk,96862.785,2694.105,30
lattigo,large,15,15,13,relin,93424.480,0.000,30
lattigo,large,15,15,13,rescale,13143.839,453.032,30
lattigo,large,15,15,13,rot1,94124.016,3412.639,30
lattigo,large,15,15,12,add_cc,440.612,14.548,30
lattigo,large,15,15,12,add_cp,326.615,10.896,30
lattigo,large,15,15,12,mul_cp,1565.945,129.045,30
lattigo,large,15,15,12,mul_cc,3352.467,316.265,30
lattigo,large,15,15,12,mul_cc_rlk,91892.887,4306.133,30
lattigo,large,15,15,12,relin,88540.420,0.000,30
lattigo,large,15,15,12,rescale,12283.107,671.557,30
lattigo,large,15,15,12,rot1,90093.509,2922.437,30
lattigo,large,15,15,11,add_cc,444.982,24.210,30
lattigo,large,15,15,11,add_cp,353.798,28.592,30
lattigo,large,15,15,11,mul_cp,1410.694,89.226,30
lattigo,large,15,15,11,mul_cc,3088.974,316.716,30
lattigo,large,15,15,11,mul_cc_rlk,74470.418,1702.497,30
lattigo,large,15,15,11,relin,71381.444,0.000,30
lattigo,large,15,15,11,rescale,11022.727,185.041,30
lattigo,large,15,15,11,rot1,71991.132,3690.351,30
lattigo,large,15,15,10,add_cc,370.282,12.362,30
lattigo,large,15,15,10,add_cp,298.328,30.779,30
lattigo,large,15,15,10,mul_cp,1293.507,94.394,30
lattigo,large,15,15,10,mul_cc,2833.557,335.930,30
lattigo,large,15,15,10,mul_cc_rlk,69437.516,2604.029,30
lattigo,large,15,15,10,relin,66603.959,0.000,30
lattigo,large,15,15,10,rescale,10360.299,1068.127,30
lattigo,large,15,15,10,rot1,66249.836,1489.901,30
lattigo,large,15,15,9,add_cc,342.365,19.543,30
lattigo,large,15,15,9,add_cp,270.262,34.419,30
lattigo,large,15,15,9,mul_cp,1105.927,35.564,30
lattigo,large,15,15,9,mul_cc,2476.357,98.920,30
lattigo,large,15,15,9,mul_cc_rlk,56009.769,2649.844,30
lattigo,large,15,15,9,relin,53533.412,0.000,30
lattigo,large,15,15,9,rescale,9067.046,75.036,30
lattigo,large,15,15,9,rot1,53304.686,784.358,30
lattigo,large,15,15,8,add_cc,313.414,19.108,30
lattigo,large,15,15,8,add_cp,271.190,50.667,30
lattigo,large,15,15,8,mul_cp,1017.546,15.656,30
lattigo,large,15,15,8,mul_cc,2214.365,86.650,30
lattigo,large,15,15,8,mul_cc_rlk,51252.240,1705.456,30
lattigo,large,15,15,8,relin,49037.875,0.000,30
lattigo,large,15,15,8,rescale,8428.951,521.501,30
lattigo,large,15,15,8,rot1,49418.342,1116.197,30
lattigo,large,15,15,7,add_cc,272.868,17.285,30
lattigo,large,15,15,7,add_cp,207.934,5.571,30
lattigo,large,15,15,7,mul_cp,891.858,29.704,30
lattigo,large,15,15,7,mul_cc,1908.111,54.737,30
lattigo,large,15,15,7,mul_cc_rlk,39553.352,869.743,30
lattigo,large,15,15,7,relin,37645.240,0.000,30
lattigo,large,15,15,7,rescale,7254.682,83.977,30
lattigo,large,15,15,7,rot1,37651.808,379.008,30
