library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
lattigo,large,15,15,15,add_cc,785.890,18.685,30
lattigo,large,15,15,15,add_cp,627.993,9.965,30
lattigo,large,15,15,15,mul_cp,1562.264,19.199,30
lattigo,large,15,15,15,mul_cc,3835.884,73.021,30
lattigo,large,15,15,15,mul_cc_rlk,101209.886,727.554,30
lattigo,large,15,15,15,relin,95023.413,602.051,30
lattigo,large,15,15,15,rescale,10811.892,26.430,30
lattigo,large,15,15,15,rot1,94027.105,379.380,30
lattigo,large,15,15,14,add_cc,730.904,17.270,30
lattigo,large,15,15,14,add_cp,596.045,13.817,30
lattigo,large,15,15,14,mul_cp,1476.338,24.954,30
lattigo,large,15,15,14,mul_cc,3305.460,37.397,30
lattigo,large,15,15,14,mul_cc_rlk,97648.338,965.154,30
lattigo,large,15,15,14,relin,92071.923,516.660,30
lattigo,large,15,15,14,rescale,10184.597,31.596,30
lattigo,large,15,15,14,rot1,91638.391,837.383,30
lattigo,large,15,15,13,add_cc,655.963,14.349,30
lattigo,large,15,15,13,add_cp,541.069,11.226,30
lattigo,large,15,15,13,mul_cp,1342.806,16.980,30
lattigo,large,15,15,13,mul_cc,3063.460,78.359,30
lattigo,large,15,15,13,mul_cc_rlk,81018.556,586.297,30
lattigo,large,15,15,13,relin,75834.159,599.890,30
lattigo,large,15,15,13,rescale,9480.073,60.484,30
lattigo,large,15,15,13,rot1,75214.658,456.007,30
lattigo,large,15,15,12,add_cc,627.730,15.144,30
lattigo,large,15,15,12,add_cp,510.394,13.540,30
lattigo,large,15,15,12,mul_cp,1246.394,20.107,30
lattigo,large,15,15,12,mul_cc,2775.677,52.400,30
lattigo,large,15,15,12,mul_cc_rlk,77100.304,575.387,30
lattigo,large,15,15,12,relin,72770.491,424.558,30
lattigo,large,15,15,12,rescale,8818.584,161.863,30
lattigo,large,15,15,12,rot1,72209.603,631.923,30
lattigo,large,15,15,11,add_cc,574.033,13.455,30
lattigo,large,15,15,11,add_cp,474.566,11.213,30
lattigo,large,15,15,11,mul_cp,1159.056,19.056,30
lattigo,large,15,15,11,mul_cc,2510.450,21.897,30
lattigo,large,15,15,11,mul_cc_rlk,62632.078,1065.771,30
lattigo,large,15,15,11,relin,58789.210,417.999,30
lattigo,large,15,15,11,rescale,8163.641,171.710,30
lattigo,large,15,15,11,rot1,57808.965,317.975,30
lattigo,large,15,15,10,add_cc,536.014,23.230,30
lattigo,large,15,15,10,add_cp,433.747,10.985,30
lattigo,large,15,15,10,mul_cp,1056.590,9.668,30
lattigo,large,15,15,10,mul_cc,2336.058,21.914,30
lattigo,large,15,15,10,mul_cc_rlk,59108.552,650.120,30
lattigo,large,15,15,10,relin,55587.689,671.294,30
lattigo,large,15,15,10,rescale,7503.055,125.987,30
lattigo,large,15,15,10,rot1,54760.661,505.429,30
lattigo,large,15,15,9,add_cc,465.444,11.983,30
lattigo,large,15,15,9,add_cp,384.236,9.949,30
lattigo,large,15,15,9,mul_cp,939.423,11.334,30
lattigo,large,15,15,9,mul_cc,2098.414,50.165,30
lattigo,large,15,15,9,mul_cc_rlk,46505.917,545.388,30
lattigo,large,15,15,9,relin,43655.840,465.345,30
lattigo,large,15,15,9,rescale,6782.736,97.700,30
lattigo,large,15,15,9,rot1,43030.797,346.244,30
lattigo,large,15,15,8,add_cc,420.902,9.344,30
lattigo,large,15,15,8,add_cp,357.949,18.829,30
lattigo,large,15,15,8,mul_cp,848.883,19.098,30
lattigo,large,15,15,8,mul_cc,1847.846,16.485,30
lattigo,large,15,15,8,mul_cc_rlk,42464.894,544.760,30
lattigo,large,15,15,8,relin,40068.276,531.584,30
lattigo,large,15,15,8,rescale,6086.132,31.730,30
lattigo,large,15,15,8,rot1,39518.685,452.384,30
lattigo,large,15,15,7,add_cc,385.011,10.119,30
lattigo,large,15,15,7,add_cp,317.560,10.034,30
lattigo,large,15,15,7,mul_cp,754.177,13.403,30
lattigo,large,15,15,7,mul_cc,1673.874,18.971,30
lattigo,large,15,15,7,mul_cc_rlk,33069.217,601.025,30
lattigo,large,15,15,7,relin,30682.890,381.167,30
lattigo,large,15,15,7,rescale,5423.396,44.230,30
lattigo,large,15,15,7,rot1,30261.924,363.540,30
lattigo,large,15,15,6,add_cc,337.201,11.368,30
lattigo,large,15,15,6,add_cp,276.932,8.079,30
lattigo,large,15,15,6,mul_cp,668.518,20.830,30
lattigo,large,15,15,6,mul_cc,1439.902,13.839,30
lattigo,large,15,15,6,mul_cc_rlk,29240.652,428.047,30
lattigo,large,15,15,6,relin,27422.568,195.389,30
lattigo,large,15,15,6,rescale,4735.646,19.990,30
lattigo,large,15,15,6,rot1,27160.474,396.994,30
lattigo,large,15,15,5,add_cc,289.889,8.206,30
lattigo,large,15,15,5,add_cp,235.248,7.561,30
lattigo,large,15,15,5,mul_cp,562.014,10.879,30
lattigo,large,15,15,5,mul_cc,1218.630,13.468,30
lattigo,large,15,15,5,mul_cc_rlk,21344.122,164.484,30
lattigo,large,15,15,5,relin,19932.232,428.227,30
lattigo,large,15,15,5,rescale,4086.240,162.146,30
lattigo,large,15,15,5,rot1,19692.407,260.599,30
lattigo,large,15,15,4,add_cc,233.246,6.240,30
lattigo,large,15,15,4,add_cp,189.722,5.249,30
lattigo,large,15,15,4,mul_cp,460.565,10.160,30
lattigo,large,15,15,4,mul_cc,990.034,12.321,30
lattigo,large,15,15,4,mul_cc_rlk,18398.830,318.247,30
lattigo,large,15,15,4,relin,17506.040,215.350,30
lattigo,large,15,15,4,rescale,3405.131,44.834,30
lattigo,large,15,15,4,rot1,17172.633,324.527,30
lattigo,large,15,15,3,add_cc,186.656,5.901,30
lattigo,large,15,15,3,add_cp,151.181,5.018,30
lattigo,large,15,15,3,mul_cp,368.269,9.132,30
lattigo,large,15,15,3,mul_cc,788.611,12.247,30
lattigo,large,15,15,3,mul_cc_rlk,12375.168,118.113,30
lattigo,large,15,15,3,relin,11631.315,61.994,30
lattigo,large,15,15,3,rescale,2711.701,19.279,30
lattigo,large,15,15,3,rot1,11529.024,99.030,30
lattigo,large,15,15,2,add_cc,135.732,4.395,30
lattigo,large,15,15,2,add_cp,115.228,5.501,30
lattigo,large,15,15,2,mul_cp,278.432,14.410,30
lattigo,large,15,15,2,mul_cc,584.434,10.867,30
lattigo,large,15,15,2,mul_cc_rlk,10401.167,200.732,30
lattigo,large,15,15,2,relin,9861.774,48.385,30
lattigo,large,15,15,2,rescale,2036.563,15.059,30
lattigo,large,15,15,2,rot1,9695.351,63.084,30
lattigo,large,15,15,1,add_cc,86.271,3.728,30
lattigo,large,15,15,1,add_cp,64.782,4.912,30
lattigo,large,15,15,1,mul_cp,186.041,10.742,30
lattigo,large,15,15,1,mul_cc,383.489,7.584,30
lattigo,large,15,15,1,mul_cc_rlk,6024.767,28.296,30
lattigo,large,15,15,1,relin,5768.819,96.823,30
lattigo,large,15,15,1,rescale,1365.348,17.263,30
lattigo,large,15,15,1,rot1,5636.848,24.800,30
