library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
lattigo,large,15,15,15,add_cc,585.480,40.045,30
lattigo,large,15,15,15,add_cp,423.693,13.782,30
lattigo,large,15,15,15,mul_cp,1777.022,21.654,30
lattigo,large,15,15,15,mul_cc,4142.864,408.953,30
lattigo,large,15,15,15,mul_cc_rlk,116636.629,3284.411,30
lattigo,large,15,15,15,relin,112493.766,0.000,30
lattigo,large,15,15,15,rescale,14694.189,555.281,30
lattigo,large,15,15,15,rot1,113161.650,1692.179,30
lattigo,large,15,15,14,add_cc,524.588,13.193,30
lattigo,large,15,15,14,add_cp,403.889,14.191,30
lattigo,large,15,15,14,mul_cp,1656.072,51.981,30
lattigo,large,15,15,14,mul_cc,3682.644,178.909,30
lattigo,large,15,15,14,mul_cc_rlk,111560.259,4900.815,30
lattigo,large,15,15,14,relin,107877.615,0.000,30
lattigo,large,15,15,14,rescale,13665.349,528.678,30
lattigo,large,15,15,14,rot1,108430.539,2572.682,30
lattigo,large,15,15,13,add_cc,495.011,50.484,30
lattigo,large,15,15,13,add_cp,381.861,34.161,30
lattigo,large,15,15,13,mul_cp,1547.691,37.192,30
lattigo,large,15,15,13,mul_cc,3380.244,40.572,30
lattigo,large,15,15,13,mul_cc_rlk,92217.262,2114.282,30
lattigo,large,15,15,13,relin,88837.018,0.000,30
lattigo,large,15,15,13,rescale,12402.423,187.285,30
lattigo,large,15,15,13,rot1,89247.923,1461.114,30
lattigo,large,15,15,12,add_cc,452.681,17.886,30
lattigo,large,15,15,12,add_cp,341.409,13.659,30
lattigo,large,15,15,12,mul_cp,1447.596,42.536,30
lattigo,large,15,15,12,mul_cc,3208.129,66.970,30
lattigo,large,15,15,12,mul_cc_rlk,86379.721,1204.366,30
lattigo,large,15,15,12,relin,83171.591,0.000,30
lattigo,large,15,15,12,rescale,11449.081,102.043,30
lattigo,large,15,15,12,rot1,84105.490,1858.638,30
lattigo,large,15,15,11,add_cc,412.939,29.498,30
lattigo,large,15,15,11,add_cp,311.669,13.056,30
lattigo,large,15,15,11,mul_cp,1354.584,16.710,30
lattigo,large,15,15,11,mul_cc,2941.303,95.941,30
lattigo,large,15,15,11,mul_cc_rlk,72694.122,3589.366,30
lattigo,large,15,15,11,relin,69752.820,0.000,30
lattigo,large,15,15,11,rescale,11178.304,939.264,30
lattigo,large,15,15,11,rot1,69057.098,1139.003,30
lattigo,large,15,15,10,add_cc,370.096,12.784,30
lattigo,large,15,15,10,add_cp,279.205,10.147,30
lattigo,large,15,15,10,mul_cp,1314.054,86.599,30
lattigo,large,15,15,10,mul_cc,2669.854,39.845,30
lattigo,large,15,15,10,mul_cc_rlk,66338.627,1297.313,30
lattigo,large,15,15,10,relin,63668.774,0.000,30
