library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
lattigo,large,15,15,15,add_cc,770.871,14.627,30
lattigo,large,15,15,15,add_cp,624.491,10.157,30
lattigo,large,15,15,15,mul_cp,1540.008,19.900,30
lattigo,large,15,15,15,mul_cc,3547.588,50.818,30
lattigo,large,15,15,15,mul_cc_rlk,99132.605,660.644,30
lattigo,large,15,15,15,relin,95585.016,0.000,30
lattigo,large,15,15,15,rescale,10816.649,43.833,30
lattigo,large,15,15,15,rot1,92814.508,682.206,30
lattigo,large,15,15,14,add_cc,722.274,12.787,30
lattigo,large,15,15,14,add_cp,590.197,11.246,30
lattigo,large,15,15,14,mul_cp,1472.469,21.939,30
lattigo,large,15,15,14,mul_cc,3234.677,31.051,30
lattigo,large,15,15,14,mul_cc_rlk,95495.796,615.697,30
lattigo,large,15,15,14,relin,92261.119,0.000,30
lattigo,large,15,15,14,rescale,10121.243,20.133,30
lattigo,large,15,15,14,rot1,89262.700,707.422,30
lattigo,large,15,15,13,add_cc,665.799,14.501,30
lattigo,large,15,15,13,add_cp,545.282,11.061,30
lattigo,large,15,15,13,mul_cp,1335.414,14.074,30
lattigo,large,15,15,13,mul_cc,3024.499,28.595,30
lattigo,large,15,15,13,mul_cc_rlk,79557.977,739.222,30
lattigo,large,15,15,13,relin,76533.478,0.000,30
lattigo,large,15,15,13,rescale,9458.241,31.351,30
lattigo,large,15,15,13,rot1,73636.056,279.069,30
lattigo,large,15,15,12,add_cc,614.966,15.660,30
lattigo,large,15,15,12,add_cp,505.029,15.347,30
lattigo,large,15,15,12,mul_cp,1247.120,13.123,30
lattigo,large,15,15,12,mul_cc,2724.852,26.269,30
lattigo,large,15,15,12,mul_cc_rlk,76092.715,700.328,30
lattigo,large,15,15,12,relin,73367.863,0.000,30
lattigo,large,15,15,12,rescale,8771.055,23.772,30
lattigo,large,15,15,12,rot1,71100.823,453.379,30
lattigo,large,15,15,11,add_cc,572.449,13.839,30
lattigo,large,15,15,11,add_cp,468.617,10.456,30
lattigo,large,15,15,11,mul_cp,1149.370,19.565,30
lattigo,large,15,15,11,mul_cc,2501.202,35.122,30
lattigo,large,15,15,11,mul_cc_rlk,61648.305,418.512,30
lattigo,large,15,15,11,relin,59147.103,0.000,30
lattigo,large,15,15,11,rescale,8136.594,34.450,30
lattigo,large,15,15,11,rot1,57053.083,304.927,30
lattigo,large,15,15,10,add_cc,529.854,11.550,30
lattigo,large,15,15,10,add_cp,432.986,9.476,30
lattigo,large,15,15,10,mul_cp,1052.342,14.933,30
lattigo,large,15,15,10,mul_cc,2277.212,28.431,30
lattigo,large,15,15,10,mul_cc_rlk,57802.687,402.175,30
lattigo,large,15,15,10,relin,55525.476,0.000,30
lattigo,large,15,15,10,rescale,7432.881,28.471,30
lattigo,large,15,15,10,rot1,54290.330,465.568,30
lattigo,large,15,15,9,add_cc,472.861,13.201,30
lattigo,large,15,15,9,add_cp,390.953,9.277,30
lattigo,large,15,15,9,mul_cp,946.987,17.933,30
lattigo,large,15,15,9,mul_cc,2093.694,27.373,30
lattigo,large,15,15,9,mul_cc_rlk,45723.764,400.583,30
lattigo,large,15,15,9,relin,43630.070,0.000,30
lattigo,large,15,15,9,rescale,6758.909,29.730,30
lattigo,large,15,15,9,rot1,42336.725,208.571,30
lattigo,large,15,15,8,add_cc,433.675,10.639,30
lattigo,large,15,15,8,add_cp,354.298,8.611,30
lattigo,large,15,15,8,mul_cp,849.871,11.439,30
lattigo,large,15,15,8,mul_cc,1845.551,14.564,30
lattigo,large,15,15,8,mul_cc_rlk,42301.428,452.052,30
lattigo,large,15,15,8,relin,40455.877,0.000,30
lattigo,large,15,15,8,rescale,6090.996,48.160,30
lattigo,large,15,15,8,rot1,38960.826,339.043,30
lattigo,large,15,15,7,add_cc,377.348,8.953,30
lattigo,large,15,15,7,add_cp,312.661,8.370,30
lattigo,large,15,15,7,mul_cp,758.358,11.219,30
lattigo,large,15,15,7,mul_cc,1627.610,19.582,30
lattigo,large,15,15,7,mul_cc_rlk,31996.775,144.187,30
lattigo,large,15,15,7,relin,30369.165,0.000,30
lattigo,large,15,15,7,rescale,5406.200,17.673,30
lattigo,large,15,15,7,rot1,30182.369,454.837,30
lattigo,large,15,15,6,add_cc,337.938,16.800,30
lattigo,large,15,15,6,add_cp,273.202,9.310,30
lattigo,large,15,15,6,mul_cp,655.800,10.909,30
lattigo,large,15,15,6,mul_cc,1421.142,16.090,30
lattigo,large,15,15,6,mul_cc_rlk,28595.551,203.220,30
lattigo,large,15,15,6,relin,27174.409,0.000,30
lattigo,large,15,15,6,rescale,4746.765,16.734,30
lattigo,large,15,15,6,rot1,26635.250,224.161,30
lattigo,large,15,15,5,add_cc,283.537,9.420,30
lattigo,large,15,15,5,add_cp,232.107,7.938,30
lattigo,large,15,15,5,mul_cp,561.853,11.716,30
lattigo,large,15,15,5,mul_cc,1221.890,17.378,30
lattigo,large,15,15,5,mul_cc_rlk,20821.497,172.669,30
lattigo,large,15,15,5,relin,19599.607,0.000,30
lattigo,large,15,15,5,rescale,4068.637,13.375,30
lattigo,large,15,15,5,rot1,19577.408,288.984,30
lattigo,large,15,15,4,add_cc,236.863,7.502,30
lattigo,large,15,15,4,add_cp,192.531,6.129,30
lattigo,large,15,15,4,mul_cp,466.566,12.361,30
