library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
lattigo,medium,14,10,10,add_cc,279.228,13.911,30
lattigo,medium,14,10,10,add_cp,226.268,11.934,30
lattigo,medium,14,10,10,mul_cp,550.884,23.905,30
lattigo,medium,14,10,10,mul_cc,1199.067,19.883,30
lattigo,medium,14,10,10,mul_cc_rlk,27299.224,399.161,30
lattigo,medium,14,10,10,relin,26100.157,0.000,30
lattigo,medium,14,10,10,rescale,3551.206,20.245,30
lattigo,medium,14,10,10,rot1,25788.242,337.597,30
lattigo,medium,14,10,9,add_cc,253.283,13.358,30
lattigo,medium,14,10,9,add_cp,207.187,9.297,30
lattigo,medium,14,10,9,mul_cp,494.581,17.759,30
lattigo,medium,14,10,9,mul_cc,1051.163,16.236,30
lattigo,medium,14,10,9,mul_cc_rlk,21885.594,394.104,30
lattigo,medium,14,10,9,relin,20834.432,0.000,30
lattigo,medium,14,10,9,rescale,3237.570,45.166,30
lattigo,medium,14,10,9,rot1,19945.986,157.292,30
lattigo,medium,14,10,8,add_cc,225.030,13.526,30
lattigo,medium,14,10,8,add_cp,184.561,11.378,30
lattigo,medium,14,10,8,mul_cp,448.840,22.416,30
lattigo,medium,14,10,8,mul_cc,954.119,16.350,30
lattigo,medium,14,10,8,mul_cc_rlk,19775.031,283.813,30
lattigo,medium,14,10,8,relin,18820.912,0.000,30
lattigo,medium,14,10,8,rescale,2967.748,17.726,30
lattigo,medium,14,10,8,rot1,18511.084,128.636,30
lattigo,medium,14,10,7,add_cc,198.896,11.679,30
lattigo,medium,14,10,7,add_cp,162.130,7.666,30
lattigo,medium,14,10,7,mul_cp,395.249,17.569,30
lattigo,medium,14,10,7,mul_cc,835.656,19.161,30
lattigo,medium,14,10,7,mul_cc_rlk,15209.631,286.188,30
lattigo,medium,14,10,7,relin,14373.976,0.000,30
lattigo,medium,14,10,7,rescale,2582.853,23.874,30
lattigo,medium,14,10,7,rot1,14317.263,168.852,30
lattigo,medium,14,10,6,add_cc,174.602,10.153,30
lattigo,medium,14,10,6,add_cp,141.233,5.740,30
lattigo,medium,14,10,6,mul_cp,350.929,20.738,30
lattigo,medium,14,10,6,mul_cc,749.471,23.397,30
lattigo,medium,14,10,6,mul_cc_rlk,13809.032,179.629,30
lattigo,medium,14,10,6,relin,13059.561,0.000,30
lattigo,medium,14,10,6,rescale,2304.255,23.229,30
lattigo,medium,14,10,6,rot1,12896.148,111.744,30
lattigo,medium,14,10,5,add_cc,147.696,10.445,30
lattigo,medium,14,10,5,add_cp,120.842,5.370,30
lattigo,medium,14,10,5,mul_cp,287.000,17.414,30
lattigo,medium,14,10,5,mul_cc,632.336,22.772,30
lattigo,medium,14,10,5,mul_cc_rlk,10082.596,87.394,30
lattigo,medium,14,10,5,relin,9450.260,0.000,30
lattigo,medium,14,10,5,rescale,1984.988,28.236,30
lattigo,medium,14,10,5,rot1,9464.900,52.902,30
lattigo,medium,14,10,4,add_cc,122.016,8.523,30
lattigo,medium,14,10,4,add_cp,98.458,10.856,30
lattigo,medium,14,10,4,mul_cp,238.928,16.031,30
lattigo,medium,14,10,4,mul_cc,507.506,16.790,30
lattigo,medium,14,10,4,mul_cc_rlk,8827.914,51.105,30
lattigo,medium,14,10,4,relin,8320.408,0.000,30
lattigo,medium,14,10,4,rescale,1649.408,25.139,30
lattigo,medium,14,10,4,rot1,8348.104,31.251,30
lattigo,medium,14,10,3,add_cc,93.744,6.815,30
lattigo,medium,14,10,3,add_cp,65.941,5.593,30
lattigo,medium,14,10,3,mul_cp,190.233,14.925,30
lattigo,medium,14,10,3,mul_cc,406.830,16.603,30
lattigo,medium,14,10,3,mul_cc_rlk,6030.798,51.302,30
lattigo,medium,14,10,3,relin,5623.968,0.000,30
lattigo,medium,14,10,3,rescale,1320.157,27.142,30
lattigo,medium,14,10,3,rot1,5612.228,33.897,30
lattigo,medium,14,10,2,add_cc,62.844,5.544,30
lattigo,medium,14,10,2,add_cp,40.007,4.234,30
lattigo,medium,14,10,2,mul_cp,138.579,10.046,30
lattigo,medium,14,10,2,mul_cc,300.791,14.404,30
lattigo,medium,14,10,2,mul_cc_rlk,5069.986,36.214,30
lattigo,medium,14,10,2,relin,4769.195,0.000,30
lattigo,medium,14,10,2,rescale,987.241,18.715,30
lattigo,medium,14,10,2,rot1,4677.243,21.640,30
lattigo,medium,14,10,1,add_cc,33.150,2.601,30
lattigo,medium,14,10,1,add_cp,21.080,2.012,30
lattigo,medium,14,10,1,mul_cp,87.644,3.653,30
lattigo,medium,14,10,1,mul_cc,190.247,6.554,30
lattigo,medium,14,10,1,mul_cc_rlk,2906.682,21.138,30
lattigo,medium,14,10,1,relin,2716.435,0.000,30
lattigo,medium,14,10,1,rescale,648.048,11.952,30
lattigo,medium,14,10,1,rot1,2719.702,27.550,30
