library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
lattigo,medium,14,10,10,add_cc,283.832,11.041,30
lattigo,medium,14,10,10,add_cp,236.752,10.425,30
lattigo,medium,14,10,10,mul_cp,578.730,85.362,30
lattigo,medium,14,10,10,mul_cc,1196.610,19.323,30
lattigo,medium,14,10,10,mul_cc_rlk,27532.334,346.057,30
lattigo,medium,14,10,10,relin,26335.724,0.000,30
lattigo,medium,14,10,10,rescale,3670.897,107.776,30
lattigo,medium,14,10,10,rot1,26313.749,710.452,30
lattigo,medium,14,10,9,add_cc,253.553,8.312,30
lattigo,medium,14,10,9,add_cp,206.430,10.145,30
lattigo,medium,14,10,9,mul_cp,495.432,16.895,30
lattigo,medium,14,10,9,mul_cc,1057.722,18.828,30
lattigo,medium,14,10,9,mul_cc_rlk,21639.743,178.917,30
lattigo,medium,14,10,9,relin,20582.021,0.000,30
lattigo,medium,14,10,9,rescale,3292.693,26.354,30
lattigo,medium,14,10,9,rot1,19908.538,268.392,30
lattigo,medium,14,10,8,add_cc,220.034,5.091,30
lattigo,medium,14,10,8,add_cp,182.918,6.087,30
lattigo,medium,14,10,8,mul_cp,430.608,7.136,30
lattigo,medium,14,10,8,mul_cc,924.382,15.620,30
lattigo,medium,14,10,8,mul_cc_rlk,19360.001,271.532,30
lattigo,medium,14,10,8,relin,18435.619,0.000,30
lattigo,medium,14,10,8,rescale,2915.050,28.992,30
lattigo,medium,14,10,8,rot1,18224.646,165.142,30
lattigo,medium,14,10,7,add_cc,193.798,7.722,30
lattigo,medium,14,10,7,add_cp,161.054,5.834,30
lattigo,medium,14,10,7,mul_cp,377.752,7.700,30
lattigo,medium,14,10,7,mul_cc,815.240,14.906,30
lattigo,medium,14,10,7,mul_cc_rlk,15480.759,464.091,30
lattigo,medium,14,10,7,relin,14665.520,0.000,30
lattigo,medium,14,10,7,rescale,2644.164,22.000,30
lattigo,medium,14,10,7,rot1,14354.182,133.604,30
lattigo,medium,14,10,6,add_cc,173.550,6.741,30
lattigo,medium,14,10,6,add_cp,144.558,9.755,30
lattigo,medium,14,10,6,mul_cp,345.152,12.410,30
lattigo,medium,14,10,6,mul_cc,745.846,18.033,30
lattigo,medium,14,10,6,mul_cc_rlk,13661.926,141.357,30
lattigo,medium,14,10,6,relin,12916.080,0.000,30
lattigo,medium,14,10,6,rescale,2315.253,32.302,30
lattigo,medium,14,10,6,rot1,12867.400,79.940,30
lattigo,medium,14,10,5,add_cc,146.687,6.975,30
lattigo,medium,14,10,5,add_cp,121.082,4.604,30
lattigo,medium,14,10,5,mul_cp,288.890,10.866,30
lattigo,medium,14,10,5,mul_cc,630.919,14.590,30
lattigo,medium,14,10,5,mul_cc_rlk,10274.588,258.639,30
lattigo,medium,14,10,5,relin,9643.668,0.000,30
lattigo,medium,14,10,5,rescale,1976.589,31.411,30
lattigo,medium,14,10,5,rot1,9514.136,224.868,30
lattigo,medium,14,10,4,add_cc,121.620,5.711,30
lattigo,medium,14,10,4,add_cp,99.236,6.459,30
lattigo,medium,14,10,4,mul_cp,239.771,11.741,30
lattigo,medium,14,10,4,mul_cc,516.635,13.463,30
lattigo,medium,14,10,4,mul_cc_rlk,8897.589,123.206,30
lattigo,medium,14,10,4,relin,8380.954,0.000,30
lattigo,medium,14,10,4,rescale,1671.768,97.096,30
lattigo,medium,14,10,4,rot1,8449.802,275.608,30
lattigo,medium,14,10,3,add_cc,93.454,5.774,30
lattigo,medium,14,10,3,add_cp,69.069,6.184,30
lattigo,medium,14,10,3,mul_cp,187.432,11.374,30
lattigo,medium,14,10,3,mul_cc,405.649,12.544,30
lattigo,medium,14,10,3,mul_cc_rlk,6079.561,188.794,30
lattigo,medium,14,10,3,relin,5673.912,0.000,30
lattigo,medium,14,10,3,rescale,1300.787,22.652,30
lattigo,medium,14,10,3,rot1,5512.186,36.364,30
lattigo,medium,14,10,2,add_cc,59.086,4.277,30
lattigo,medium,14,10,2,add_cp,38.957,2.098,30
lattigo,medium,14,10,2,mul_cp,135.187,4.577,30
lattigo,medium,14,10,2,mul_cc,295.160,10.192,30
lattigo,medium,14,10,2,mul_cc_rlk,5053.589,209.630,30
lattigo,medium,14,10,2,relin,4758.429,0.000,30
lattigo,medium,14,10,2,rescale,967.649,15.993,30
lattigo,medium,14,10,2,rot1,4675.890,30.960,30
lattigo,medium,14,10,1,add_cc,31.788,1.844,30
lattigo,medium,14,10,1,add_cp,21.729,3.924,30
lattigo,medium,14,10,1,mul_cp,86.306,2.216,30
lattigo,medium,14,10,1,mul_cc,193.630,7.074,30
lattigo,medium,14,10,1,mul_cc_rlk,2899.993,20.040,30
lattigo,medium,14,10,1,relin,2706.363,0.000,30
lattigo,medium,14,10,1,rescale,643.715,11.564,30
lattigo,medium,14,10,1,rot1,2719.114,19.816,30
