library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
lattigo,small,13,5,5,add_cc,72.191,4.610,30
lattigo,small,13,5,5,add_cp,41.037,1.795,30
lattigo,small,13,5,5,mul_cp,139.674,7.235,30
lattigo,small,13,5,5,mul_cc,299.979,13.771,30
lattigo,small,13,5,5,mul_cc_rlk,6803.202,33.839,30
lattigo,small,13,5,5,relin,6503.223,0.000,30
lattigo,small,13,5,5,rescale,910.794,15.720,30
lattigo,small,13,5,5,rot1,6491.846,27.078,30
lattigo,small,13,5,4,add_cc,43.688,3.852,30
lattigo,small,13,5,4,add_cp,30.839,2.431,30
lattigo,small,13,5,4,mul_cp,112.537,3.797,30
lattigo,small,13,5,4,mul_cc,244.522,5.846,30
lattigo,small,13,5,4,mul_cc_rlk,5215.282,73.712,30
lattigo,small,13,5,4,relin,4970.760,0.000,30
lattigo,small,13,5,4,rescale,759.030,14.220,30
lattigo,small,13,5,4,rot1,4948.552,20.796,30
lattigo,small,13,5,3,add_cc,32.824,2.339,30
lattigo,small,13,5,3,add_cp,22.034,1.326,30
lattigo,small,13,5,3,mul_cp,88.997,4.088,30
lattigo,small,13,5,3,mul_cc,201.411,23.868,30
lattigo,small,13,5,3,mul_cc_rlk,3793.423,14.579,30
lattigo,small,13,5,3,relin,3592.012,0.000,30
lattigo,small,13,5,3,rescale,608.411,14.132,30
lattigo,small,13,5,3,rot1,3599.209,27.449,30
lattigo,small,13,5,2,add_cc,24.388,0.762,30
lattigo,small,13,5,2,add_cp,15.735,0.975,30
lattigo,small,13,5,2,mul_cp,65.991,2.715,30
lattigo,small,13,5,2,mul_cc,142.278,3.790,30
lattigo,small,13,5,2,mul_cc_rlk,2605.522,29.422,30
lattigo,small,13,5,2,relin,2463.243,0.000,30
lattigo,small,13,5,2,rescale,458.540,16.070,30
lattigo,small,13,5,2,rot1,2457.667,24.523,30
lattigo,small,13,5,1,add_cc,15.788,1.684,30
lattigo,small,13,5,1,add_cp,10.768,1.162,30
lattigo,small,13,5,1,mul_cp,43.904,3.796,30
lattigo,small,13,5,1,mul_cc,93.171,3.048,30
lattigo,small,13,5,1,mul_cc_rlk,1607.363,21.017,30
lattigo,small,13,5,1,relin,1514.192,0.000,30
lattigo,small,13,5,1,rescale,308.578,9.757,30
lattigo,small,13,5,1,rot1,1532.209,86.557,30
