library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
lattigo,small,13,5,5,add_cc,62.981,8.749,30
lattigo,small,13,5,5,add_cp,38.450,4.440,30
lattigo,small,13,5,5,mul_cp,143.940,13.887,30
lattigo,small,13,5,5,mul_cc,312.936,16.327,30
lattigo,small,13,5,5,mul_cc_rlk,6976.770,50.245,30
lattigo,small,13,5,5,relin,6520.573,47.740,30
lattigo,small,13,5,5,rescale,933.694,15.847,30
lattigo,small,13,5,5,rot1,6555.774,88.204,30
lattigo,small,13,5,4,add_cc,44.884,2.712,30
lattigo,small,13,5,4,add_cp,29.378,2.965,30
lattigo,small,13,5,4,mul_cp,111.540,3.998,30
lattigo,small,13,5,4,mul_cc,250.902,7.792,30
lattigo,small,13,5,4,mul_cc_rlk,5202.354,24.125,30
lattigo,small,13,5,4,relin,4962.068,29.976,30
lattigo,small,13,5,4,rescale,761.423,21.549,30
lattigo,small,13,5,4,rot1,4964.453,35.036,30
lattigo,small,13,5,3,add_cc,34.801,9.676,30
lattigo,small,13,5,3,add_cp,21.043,1.041,30
lattigo,small,13,5,3,mul_cp,87.337,2.603,30
lattigo,small,13,5,3,mul_cc,195.135,8.320,30
lattigo,small,13,5,3,mul_cc_rlk,3795.984,22.006,30
lattigo,small,13,5,3,relin,3605.195,25.750,30
lattigo,small,13,5,3,rescale,608.089,12.299,30
lattigo,small,13,5,3,rot1,3610.444,24.409,30
lattigo,small,13,5,2,add_cc,23.285,1.912,30
lattigo,small,13,5,2,add_cp,15.425,0.214,30
lattigo,small,13,5,2,mul_cp,69.008,2.571,30
lattigo,small,13,5,2,mul_cc,142.264,5.395,30
lattigo,small,13,5,2,mul_cc_rlk,2600.101,29.824,30
lattigo,small,13,5,2,relin,2453.984,24.254,30
lattigo,small,13,5,2,rescale,457.045,9.667,30
lattigo,small,13,5,2,rot1,2461.315,20.451,30
lattigo,small,13,5,1,add_cc,15.689,1.387,30
lattigo,small,13,5,1,add_cp,10.398,0.114,30
lattigo,small,13,5,1,mul_cp,44.497,1.607,30
lattigo,small,13,5,1,mul_cc,91.847,2.089,30
lattigo,small,13,5,1,mul_cc_rlk,1603.570,19.657,30
lattigo,small,13,5,1,relin,1513.236,39.064,30
lattigo,small,13,5,1,rescale,306.203,6.632,30
lattigo,small,13,5,1,rot1,1515.667,20.469,30
