library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
openfhe,large,15,15,15,add_cc,1569.797,143.968,30
openfhe,large,15,15,15,add_cp,1244.418,64.566,30
openfhe,large,15,15,15,mul_cp,4007.238,276.756,30
openfhe,large,15,15,15,mul_cc,13171.140,412.239,30
openfhe,large,15,15,15,mul_cc_rlk,135474.368,6411.570,30
openfhe,large,15,15,15,relin,122303.228,0.000,30
openfhe,large,15,15,15,rescale,24384.992,554.834,30
openfhe,large,15,15,15,rot1,125242.908,4271.756,30
openfhe,large,15,15,14,add_cc,1357.059,65.943,30
openfhe,large,15,15,14,add_cp,1146.812,94.419,30
openfhe,large,15,15,14,mul_cp,3700.623,212.390,30
openfhe,large,15,15,14,mul_cc,12223.571,386.494,30
openfhe,large,15,15,14,mul_cc_rlk,127988.158,2347.405,30
openfhe,large,15,15,14,relin,115764.587,0.000,30
openfhe,large,15,15,14,rescale,22596.889,474.088,30
openfhe,large,15,15,14,rot1,117104.493,1922.253,30
openfhe,large,15,15,13,add_cc,1224.246,42.438,30
openfhe,large,15,15,13,add_cp,1030.400,45.674,30
openfhe,large,15,15,13,mul_cp,3462.675,156.899,30
openfhe,large,15,15,13,mul_cc,11519.869,512.213,30
openfhe,large,15,15,13,mul_cc_rlk,119911.372,1990.108,30
openfhe,large,15,15,13,relin,108391.502,0.000,30
openfhe,large,15,15,13,rescale,20990.046,288.912,30
openfhe,large,15,15,13,rot1,111624.835,3135.023,30
openfhe,large,15,15,12,add_cc,1103.115,27.629,30
openfhe,large,15,15,12,add_cp,904.016,76.312,30
openfhe,large,15,15,12,mul_cp,3155.899,135.013,30
openfhe,large,15,15,12,mul_cc,10500.386,242.657,30
openfhe,large,15,15,12,mul_cc_rlk,113361.869,2740.556,30
openfhe,large,15,15,12,relin,102861.484,0.000,30
openfhe,large,15,15,12,rescale,19424.050,395.390,30
openfhe,large,15,15,12,rot1,109810.454,8418.009,30
openfhe,large,15,15,11,add_cc,982.817,23.716,30
openfhe,large,15,15,11,add_cp,889.924,78.264,30
openfhe,large,15,15,11,mul_cp,2822.550,57.411,30
openfhe,large,15,15,11,mul_cc,9699.591,290.538,30
openfhe,large,15,15,11,mul_cc_rlk,86876.029,2118.255,30
openfhe,large,15,15,11,relin,77176.438,0.000,30
openfhe,large,15,15,11,rescale,18679.166,1843.313,30
openfhe,large,15,15,11,rot1,79621.335,2230.562,30
openfhe,large,15,15,10,add_cc,948.834,18.672,30
openfhe,large,15,15,10,add_cp,738.490,31.983,30
openfhe,large,15,15,10,mul_cp,2577.320,71.992,30
openfhe,large,15,15,10,mul_cc,8753.723,240.848,30
openfhe,large,15,15,10,mul_cc_rlk,82438.047,5228.920,30
openfhe,large,15,15,10,relin,73684.324,0.000,30
openfhe,large,15,15,10,rescale,16505.914,398.157,30
openfhe,large,15,15,10,rot1,77453.922,5470.577,30
openfhe,large,15,15,9,add_cc,1110.196,102.138,30
openfhe,large,15,15,9,add_cp,814.596,76.193,30
openfhe,large,15,15,9,mul_cp,2719.000,299.206,30
openfhe,large,15,15,9,mul_cc,8386.579,527.471,30
openfhe,large,15,15,9,mul_cc_rlk,75992.682,3122.372,30
openfhe,large,15,15,9,relin,67606.103,0.000,30
openfhe,large,15,15,9,rescale,14833.890,245.275,30
openfhe,large,15,15,9,rot1,68231.129,1638.630,30
openfhe,large,15,15,8,add_cc,732.544,29.134,30
openfhe,large,15,15,8,add_cp,593.909,65.948,30
openfhe,large,15,15,8,mul_cp,2128.397,90.508,30
openfhe,large,15,15,8,mul_cc,6965.521,228.795,30
openfhe,large,15,15,8,mul_cc_rlk,68476.334,1475.042,30
openfhe,large,15,15,8,relin,61510.813,0.000,30
openfhe,large,15,15,8,rescale,13105.692,268.184,30
openfhe,large,15,15,8,rot1,62888.999,1137.619,30
openfhe,large,15,15,7,add_cc,710.647,68.333,30
openfhe,large,15,15,7,add_cp,537.329,52.565,30
openfhe,large,15,15,7,mul_cp,1847.661,25.394,30
openfhe,large,15,15,7,mul_cc,6074.768,134.021,30
openfhe,large,15,15,7,mul_cc_rlk,62542.903,747.727,30
openfhe,large,15,15,7,relin,56468.134,0.000,30
openfhe,large,15,15,7,rescale,11839.887,607.323,30
openfhe,large,15,15,7,rot1,57886.016,859.586,30
openfhe,large,15,15,6,add_cc,596.172,53.512,30
openfhe,large,15,15,6,add_cp,502.086,40.711,30
openfhe,large,15,15,6,mul_cp,1655.537,83.625,30
openfhe,large,15,15,6,mul_cc,5109.885,583.081,30
openfhe,large,15,15,6,mul_cc_rlk,56684.076,1054.075,30
openfhe,large,15,15,6,relin,51574.191,0.000,30
openfhe,large,15,15,6,rescale,10147.713,276.739,30
openfhe,large,15,15,6,rot1,52459.758,888.733,30
openfhe,large,15,15,5,add_cc,514.446,32.416,30
openfhe,large,15,15,5,add_cp,441.863,33.196,30
openfhe,large,15,15,5,mul_cp,1412.819,27.352,30
openfhe,large,15,15,5,mul_cc,2988.086,67.380,30
openfhe,large,15,15,5,mul_cc_rlk,37033.937,1334.342,30
openfhe,large,15,15,5,relin,34045.852,0.000,30
openfhe,large,15,15,5,rescale,8717.345,193.894,30
openfhe,large,15,15,5,rot1,33181.170,389.132,30
openfhe,large,15,15,4,add_cc,403.808,14.907,30
openfhe,large,15,15,4,add_cp,345.098,16.065,30
openfhe,large,15,15,4,mul_cp,1194.716,51.493,30
openfhe,large,15,15,4,mul_cc,2495.867,76.799,30
openfhe,large,15,15,4,mul_cc_rlk,31392.614,734.278,30
openfhe,large,15,15,4,relin,28896.747,0.000,30
