library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
openfhe,large,15,15,15,add_cc,1949.061,191.300,30
openfhe,large,15,15,15,add_cp,1603.553,22.971,30
openfhe,large,15,15,15,mul_cp,3451.686,143.318,30
openfhe,large,15,15,15,mul_cc,11260.138,349.135,30
openfhe,large,15,15,15,mul_cc_rlk,111608.566,1820.704,30
openfhe,large,15,15,15,relin,100348.427,0.000,30
openfhe,large,15,15,15,rescale,18601.725,318.779,30
openfhe,large,15,15,15,rot1,103454.537,2061.866,30
openfhe,large,15,15,14,add_cc,1689.009,103.049,30
openfhe,large,15,15,14,add_cp,1495.459,42.052,30
openfhe,large,15,15,14,mul_cp,3150.335,20.748,30
openfhe,large,15,15,14,mul_cc,10385.039,329.648,30
openfhe,large,15,15,14,mul_cc_rlk,106236.247,1634.819,30
openfhe,large,15,15,14,relin,95851.208,0.000,30
openfhe,large,15,15,14,rescale,17264.986,228.035,30
openfhe,large,15,15,14,rot1,97879.450,1460.821,30
openfhe,large,15,15,13,add_cc,1505.947,27.005,30
openfhe,large,15,15,13,add_cp,1414.206,58.794,30
openfhe,large,15,15,13,mul_cp,2968.074,128.842,30
openfhe,large,15,15,13,mul_cc,9472.397,292.882,30
openfhe,large,15,15,13,mul_cc_rlk,98497.949,1161.976,30
openfhe,large,15,15,13,relin,89025.552,0.000,30
openfhe,large,15,15,13,rescale,16108.054,101.736,30
openfhe,large,15,15,13,rot1,90950.931,1196.795,30
openfhe,large,15,15,12,add_cc,1367.166,52.928,30
openfhe,large,15,15,12,add_cp,1285.072,15.685,30
openfhe,large,15,15,12,mul_cp,2723.140,19.442,30
openfhe,large,15,15,12,mul_cc,8808.587,325.323,30
openfhe,large,15,15,12,mul_cc_rlk,92049.955,609.341,30
openfhe,large,15,15,12,relin,83241.368,0.000,30
openfhe,large,15,15,12,rescale,14864.448,84.565,30
openfhe,large,15,15,12,rot1,84999.234,1017.908,30
openfhe,large,15,15,11,add_cc,1259.900,24.844,30
openfhe,large,15,15,11,add_cp,1179.340,17.387,30
openfhe,large,15,15,11,mul_cp,2515.319,30.647,30
openfhe,large,15,15,11,mul_cc,7852.303,89.669,30
openfhe,large,15,15,11,mul_cc_rlk,69928.388,1186.468,30
openfhe,large,15,15,11,relin,62076.085,0.000,30
openfhe,large,15,15,11,rescale,13700.837,39.269,30
openfhe,large,15,15,11,rot1,63385.016,745.046,30
openfhe,large,15,15,10,add_cc,1148.313,32.378,30
openfhe,large,15,15,10,add_cp,1077.744,17.979,30
openfhe,large,15,15,10,mul_cp,2297.088,20.105,30
openfhe,large,15,15,10,mul_cc,7100.219,123.797,30
openfhe,large,15,15,10,mul_cc_rlk,64660.651,638.623,30
openfhe,large,15,15,10,relin,57560.432,0.000,30
openfhe,large,15,15,10,rescale,12367.634,28.577,30
openfhe,large,15,15,10,rot1,59575.977,1064.931,30
openfhe,large,15,15,9,add_cc,1028.998,17.718,30
openfhe,large,15,15,9,add_cp,977.818,25.876,30
openfhe,large,15,15,9,mul_cp,2090.428,27.028,30
openfhe,large,15,15,9,mul_cc,6422.181,191.597,30
openfhe,large,15,15,9,mul_cc_rlk,60086.160,664.978,30
openfhe,large,15,15,9,relin,53663.980,0.000,30
openfhe,large,15,15,9,rescale,11312.863,21.453,30
openfhe,large,15,15,9,rot1,55155.469,1014.094,30
openfhe,large,15,15,8,add_cc,925.050,14.015,30
openfhe,large,15,15,8,add_cp,867.746,16.098,30
openfhe,large,15,15,8,mul_cp,1882.422,21.378,30
openfhe,large,15,15,8,mul_cc,5650.194,87.215,30
openfhe,large,15,15,8,mul_cc_rlk,55483.230,680.975,30
openfhe,large,15,15,8,relin,49833.036,0.000,30
openfhe,large,15,15,8,rescale,10055.232,105.291,30
openfhe,large,15,15,8,rot1,51172.895,1235.046,30
openfhe,large,15,15,7,add_cc,812.419,9.302,30
openfhe,large,15,15,7,add_cp,767.108,11.773,30
openfhe,large,15,15,7,mul_cp,1669.090,33.555,30
openfhe,large,15,15,7,mul_cc,4942.318,37.288,30
openfhe,large,15,15,7,mul_cc_rlk,50094.801,612.750,30
openfhe,large,15,15,7,relin,45152.483,0.000,30
openfhe,large,15,15,7,rescale,9045.988,144.142,30
openfhe,large,15,15,7,rot1,46106.718,440.162,30
openfhe,large,15,15,6,add_cc,712.052,11.058,30
openfhe,large,15,15,6,add_cp,674.589,13.820,30
openfhe,large,15,15,6,mul_cp,1455.081,18.404,30
openfhe,large,15,15,6,mul_cc,4182.017,125.534,30
openfhe,large,15,15,6,mul_cc_rlk,45155.957,318.292,30
openfhe,large,15,15,6,relin,40973.940,0.000,30
openfhe,large,15,15,6,rescale,7653.428,24.400,30
openfhe,large,15,15,6,rot1,42441.067,1090.010,30
openfhe,large,15,15,5,add_cc,608.067,12.367,30
openfhe,large,15,15,5,add_cp,562.584,22.056,30
openfhe,large,15,15,5,mul_cp,1253.436,25.574,30
openfhe,large,15,15,5,mul_cc,2940.833,27.861,30
openfhe,large,15,15,5,mul_cc_rlk,29783.635,192.674,30
openfhe,large,15,15,5,relin,26842.802,0.000,30
openfhe,large,15,15,5,rescale,6629.841,63.254,30
openfhe,large,15,15,5,rot1,26673.860,586.788,30
openfhe,large,15,15,4,add_cc,507.370,11.083,30
openfhe,large,15,15,4,add_cp,456.284,12.675,30
