library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
openfhe,large,15,15,15,add_cc,1968.728,323.354,30
openfhe,large,15,15,15,add_cp,1752.688,622.545,30
openfhe,large,15,15,15,mul_cp,2824.227,178.771,30
openfhe,large,15,15,15,mul_cc,15852.022,1062.612,30
openfhe,large,15,15,15,mul_cc_rlk,98985.977,21429.928,30
openfhe,large,15,15,15,relin,83133.955,0.000,30
openfhe,large,15,15,15,rescale,13851.844,1326.559,30
openfhe,large,15,15,15,rot1,81564.203,7894.655,30
openfhe,large,15,15,14,add_cc,1696.729,112.005,30
openfhe,large,15,15,14,add_cp,1405.923,85.123,30
openfhe,large,15,15,14,mul_cp,2773.331,572.628,30
openfhe,large,15,15,14,mul_cc,14896.836,676.565,30
openfhe,large,15,15,14,mul_cc_rlk,95304.242,12045.604,30
openfhe,large,15,15,14,relin,80407.406,0.000,30
openfhe,large,15,15,14,rescale,16782.564,5608.736,30
openfhe,large,15,15,14,rot1,78927.748,6575.863,30
openfhe,large,15,15,13,add_cc,1984.211,566.869,30
openfhe,large,15,15,13,add_cp,1290.884,60.052,30
openfhe,large,15,15,13,mul_cp,2569.986,156.763,30
openfhe,large,15,15,13,mul_cc,14712.071,1297.179,30
openfhe,large,15,15,13,mul_cc_rlk,83608.184,5891.037,30
openfhe,large,15,15,13,relin,68896.113,0.000,30
openfhe,large,15,15,13,rescale,13368.235,1823.847,30
openfhe,large,15,15,13,rot1,77556.555,15074.864,30
openfhe,large,15,15,12,add_cc,1513.728,200.386,30
openfhe,large,15,15,12,add_cp,1267.676,190.485,30
openfhe,large,15,15,12,mul_cp,2493.988,166.291,30
openfhe,large,15,15,12,mul_cc,13221.779,334.947,30
openfhe,large,15,15,12,mul_cc_rlk,81821.461,7639.096,30
openfhe,large,15,15,12,relin,68599.682,0.000,30
openfhe,large,15,15,12,rescale,12263.252,2840.767,30
openfhe,large,15,15,12,rot1,70990.499,6699.412,30
openfhe,large,15,15,11,add_cc,1537.855,506.449,30
openfhe,large,15,15,11,add_cp,1179.289,247.292,30
openfhe,large,15,15,11,mul_cp,3145.777,1165.375,30
openfhe,large,15,15,11,mul_cc,12563.993,517.959,30
openfhe,large,15,15,11,mul_cc_rlk,65773.637,7671.265,30
openfhe,large,15,15,11,relin,53209.644,0.000,30
openfhe,large,15,15,11,rescale,14879.761,5634.627,30
openfhe,large,15,15,11,rot1,57957.655,6325.342,30
openfhe,large,15,15,10,add_cc,1214.073,208.474,30
