library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
openfhe,large,15,15,15,add_cc,2156.117,333.664,30
openfhe,large,15,15,15,add_cp,2232.393,1252.777,30
openfhe,large,15,15,15,mul_cp,2800.410,1368.202,30
openfhe,large,15,15,15,mul_cc,14770.356,2675.921,30
openfhe,large,15,15,15,mul_cc_rlk,52384.851,7644.729,30
openfhe,large,15,15,15,relin,37614.494,0.000,30
openfhe,large,15,15,15,rescale,3551.839,361.840,30
openfhe,large,15,15,15,rot1,41600.473,17709.751,30
openfhe,large,15,15,14,add_cc,2351.969,48.324,30
openfhe,large,15,15,14,add_cp,2216.148,27.315,30
openfhe,large,15,15,14,mul_cp,2089.884,12.523,30
openfhe,large,15,15,14,mul_cc,14695.702,2364.559,30
openfhe,large,15,15,14,mul_cc_rlk,57179.189,11962.851,30
openfhe,large,15,15,14,relin,42483.486,0.000,30
openfhe,large,15,15,14,rescale,3141.012,88.366,30
openfhe,large,15,15,14,rot1,44405.529,10342.961,30
openfhe,large,15,15,13,add_cc,1976.349,82.988,30
openfhe,large,15,15,13,add_cp,1623.722,50.392,30
openfhe,large,15,15,13,mul_cp,1654.496,49.849,30
openfhe,large,15,15,13,mul_cc,10181.796,233.871,30
openfhe,large,15,15,13,mul_cc_rlk,46319.793,8203.208,30
openfhe,large,15,15,13,relin,36137.997,0.000,30
openfhe,large,15,15,13,rescale,3139.055,179.848,30
openfhe,large,15,15,13,rot1,41416.637,12410.485,30
openfhe,large,15,15,12,add_cc,1713.457,9.465,30
openfhe,large,15,15,12,add_cp,1564.550,44.219,30
openfhe,large,15,15,12,mul_cp,1555.608,12.786,30
openfhe,large,15,15,12,mul_cc,9203.131,123.942,30
openfhe,large,15,15,12,mul_cc_rlk,41002.109,8590.646,30
openfhe,large,15,15,12,relin,31798.978,0.000,30
openfhe,large,15,15,12,rescale,3401.997,24.951,30
openfhe,large,15,15,12,rot1,34523.245,9645.610,30
openfhe,large,15,15,11,add_cc,1566.122,15.346,30
openfhe,large,15,15,11,add_cp,1365.777,29.168,30
openfhe,large,15,15,11,mul_cp,1418.451,14.045,30
openfhe,large,15,15,11,mul_cc,8230.381,222.632,30
openfhe,large,15,15,11,mul_cc_rlk,33936.403,6364.653,30
openfhe,large,15,15,11,relin,25706.022,0.000,30
openfhe,large,15,15,11,rescale,3496.030,652.633,30
openfhe,large,15,15,11,rot1,24402.352,4425.517,30
openfhe,large,15,15,10,add_cc,1295.111,14.756,30
openfhe,large,15,15,10,add_cp,1222.476,35.543,30
openfhe,large,15,15,10,mul_cp,1249.462,11.568,30
openfhe,large,15,15,10,mul_cc,9760.284,1851.716,30
openfhe,large,15,15,10,mul_cc_rlk,45495.425,14122.338,30
openfhe,large,15,15,10,relin,35735.142,0.000,30
openfhe,large,15,15,10,rescale,3253.466,29.041,30
openfhe,large,15,15,10,rot1,28311.699,6784.033,30
openfhe,large,15,15,9,add_cc,1542.870,10.877,30
openfhe,large,15,15,9,add_cp,1462.176,15.421,30
openfhe,large,15,15,9,mul_cp,1476.523,14.641,30
openfhe,large,15,15,9,mul_cc,10264.795,93.525,30
openfhe,large,15,15,9,mul_cc_rlk,33211.914,6012.609,30
openfhe,large,15,15,9,relin,22947.119,0.000,30
openfhe,large,15,15,9,rescale,3812.538,56.752,30
openfhe,large,15,15,9,rot1,25243.372,5138.445,30
openfhe,large,15,15,8,add_cc,1351.464,11.999,30
openfhe,large,15,15,8,add_cp,1302.881,8.386,30
openfhe,large,15,15,8,mul_cp,1330.820,8.146,30
openfhe,large,15,15,8,mul_cc,9233.913,147.764,30
openfhe,large,15,15,8,mul_cc_rlk,33032.719,6552.034,30
openfhe,large,15,15,8,relin,23798.806,0.000,30
openfhe,large,15,15,8,rescale,3781.229,11.233,30
openfhe,large,15,15,8,rot1,24152.355,10395.713,30
openfhe,large,15,15,7,add_cc,972.134,12.503,30
openfhe,large,15,15,7,add_cp,822.806,11.187,30
openfhe,large,15,15,7,mul_cp,944.020,35.560,30
openfhe,large,15,15,7,mul_cc,5184.125,74.068,30
