library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
openfhe,medium,14,10,10,add_cc,439.817,10.853,30
openfhe,medium,14,10,10,add_cp,374.511,24.860,30
openfhe,medium,14,10,10,mul_cp,1335.718,157.737,30
openfhe,medium,14,10,10,mul_cc,4192.734,228.195,30
openfhe,medium,14,10,10,mul_cc_rlk,44777.985,1198.487,30
openfhe,medium,14,10,10,relin,40585.252,0.000,30
openfhe,medium,14,10,10,rescale,7784.048,136.458,30
openfhe,medium,14,10,10,rot1,41419.796,1142.934,30
openfhe,medium,14,10,9,add_cc,399.236,8.619,30
openfhe,medium,14,10,9,add_cp,340.644,29.442,30
openfhe,medium,14,10,9,mul_cp,1216.711,85.921,30
openfhe,medium,14,10,9,mul_cc,3746.326,120.512,30
openfhe,medium,14,10,9,mul_cc_rlk,41202.242,723.885,30
openfhe,medium,14,10,9,relin,37455.916,0.000,30
openfhe,medium,14,10,9,rescale,7093.475,216.166,30
openfhe,medium,14,10,9,rot1,38516.235,1267.375,30
openfhe,medium,14,10,8,add_cc,385.352,36.843,30
openfhe,medium,14,10,8,add_cp,329.537,6.951,30
openfhe,medium,14,10,8,mul_cp,1108.732,54.584,30
openfhe,medium,14,10,8,mul_cc,3407.324,136.508,30
openfhe,medium,14,10,8,mul_cc_rlk,38022.663,865.904,30
openfhe,medium,14,10,8,relin,34615.339,0.000,30
openfhe,medium,14,10,8,rescale,6493.688,248.557,30
openfhe,medium,14,10,8,rot1,35745.072,1192.381,30
openfhe,medium,14,10,7,add_cc,325.121,20.285,30
openfhe,medium,14,10,7,add_cp,284.562,23.136,30
openfhe,medium,14,10,7,mul_cp,966.138,50.325,30
openfhe,medium,14,10,7,mul_cc,3018.896,212.520,30
openfhe,medium,14,10,7,mul_cc_rlk,28007.299,603.312,30
openfhe,medium,14,10,7,relin,24988.403,0.000,30
openfhe,medium,14,10,7,rescale,5838.370,476.568,30
openfhe,medium,14,10,7,rot1,25682.991,978.930,30
openfhe,medium,14,10,6,add_cc,288.760,28.388,30
openfhe,medium,14,10,6,add_cp,240.721,6.486,30
openfhe,medium,14,10,6,mul_cp,833.024,27.808,30
openfhe,medium,14,10,6,mul_cc,2619.282,107.591,30
openfhe,medium,14,10,6,mul_cc_rlk,25366.607,1058.176,30
openfhe,medium,14,10,6,relin,22747.324,0.000,30
openfhe,medium,14,10,6,rescale,4956.976,141.410,30
openfhe,medium,14,10,6,rot1,23071.380,288.462,30
openfhe,medium,14,10,5,add_cc,243.737,15.155,30
openfhe,medium,14,10,5,add_cp,262.166,14.123,30
openfhe,medium,14,10,5,mul_cp,746.896,112.566,30
openfhe,medium,14,10,5,mul_cc,2285.891,179.983,30
openfhe,medium,14,10,5,mul_cc_rlk,22695.726,330.478,30
openfhe,medium,14,10,5,relin,20409.836,0.000,30
openfhe,medium,14,10,5,rescale,4333.462,427.531,30
openfhe,medium,14,10,5,rot1,20973.744,305.857,30
openfhe,medium,14,10,4,add_cc,201.600,5.105,30
openfhe,medium,14,10,4,add_cp,173.040,6.582,30
openfhe,medium,14,10,4,mul_cp,594.658,26.635,30
openfhe,medium,14,10,4,mul_cc,1956.631,260.985,30
openfhe,medium,14,10,4,mul_cc_rlk,20698.238,985.564,30
openfhe,medium,14,10,4,relin,18741.608,0.000,30
openfhe,medium,14,10,4,rescale,3479.446,70.654,30
openfhe,medium,14,10,4,rot1,19133.723,1405.789,30
openfhe,medium,14,10,3,add_cc,162.677,8.256,30
openfhe,medium,14,10,3,add_cp,140.251,9.269,30
openfhe,medium,14,10,3,mul_cp,495.888,61.316,30
openfhe,medium,14,10,3,mul_cc,1057.749,136.814,30
openfhe,medium,14,10,3,mul_cc_rlk,12537.656,317.422,30
openfhe,medium,14,10,3,relin,11479.907,0.000,30
openfhe,medium,14,10,3,rescale,2679.109,42.249,30
openfhe,medium,14,10,3,rot1,11595.261,669.015,30
openfhe,medium,14,10,2,add_cc,121.453,4.597,30
openfhe,medium,14,10,2,add_cp,104.361,6.084,30
openfhe,medium,14,10,2,mul_cp,394.115,81.445,30
openfhe,medium,14,10,2,mul_cc,819.532,130.537,30
openfhe,medium,14,10,2,mul_cc_rlk,10234.500,441.485,30
openfhe,medium,14,10,2,relin,9414.967,0.000,30
openfhe,medium,14,10,2,rescale,2074.155,186.662,30
openfhe,medium,14,10,2,rot1,9439.280,605.837,30
openfhe,medium,14,10,1,add_cc,83.737,3.861,30
openfhe,medium,14,10,1,add_cp,65.582,4.157,30
openfhe,medium,14,10,1,mul_cp,246.311,31.717,30
openfhe,medium,14,10,1,mul_cc,515.198,26.858,30
openfhe,medium,14,10,1,mul_cc_rlk,8187.897,329.492,30
openfhe,medium,14,10,1,relin,7672.699,0.000,30
openfhe,medium,14,10,1,rescale,1244.359,67.800,30
openfhe,medium,14,10,1,rot1,7662.459,199.158,30
