library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
openfhe,medium,14,10,10,add_cc,576.339,14.654,30
openfhe,medium,14,10,10,add_cp,534.318,12.227,30
openfhe,medium,14,10,10,mul_cp,1159.760,17.744,30
openfhe,medium,14,10,10,mul_cc,3377.216,17.022,30
openfhe,medium,14,10,10,mul_cc_rlk,35265.431,408.864,30
openfhe,medium,14,10,10,relin,31888.215,0.000,30
openfhe,medium,14,10,10,rescale,6078.137,134.447,30
openfhe,medium,14,10,10,rot1,32231.923,216.377,30
openfhe,medium,14,10,9,add_cc,518.605,11.268,30
openfhe,medium,14,10,9,add_cp,468.148,11.036,30
openfhe,medium,14,10,9,mul_cp,1042.887,17.367,30
openfhe,medium,14,10,9,mul_cc,3058.879,18.496,30
openfhe,medium,14,10,9,mul_cc_rlk,32305.501,262.460,30
openfhe,medium,14,10,9,relin,29246.622,0.000,30
openfhe,medium,14,10,9,rescale,5386.108,24.742,30
openfhe,medium,14,10,9,rot1,29976.795,242.349,30
openfhe,medium,14,10,8,add_cc,462.265,11.365,30
openfhe,medium,14,10,8,add_cp,409.843,10.191,30
openfhe,medium,14,10,8,mul_cp,936.215,16.480,30
openfhe,medium,14,10,8,mul_cc,2755.005,22.427,30
openfhe,medium,14,10,8,mul_cc_rlk,30200.474,429.893,30
openfhe,medium,14,10,8,relin,27445.470,0.000,30
openfhe,medium,14,10,8,rescale,4916.657,40.571,30
openfhe,medium,14,10,8,rot1,27711.653,356.211,30
openfhe,medium,14,10,7,add_cc,414.057,13.416,30
openfhe,medium,14,10,7,add_cp,348.618,9.838,30
openfhe,medium,14,10,7,mul_cp,829.641,14.447,30
openfhe,medium,14,10,7,mul_cc,2450.557,23.195,30
openfhe,medium,14,10,7,mul_cc_rlk,22053.389,223.823,30
openfhe,medium,14,10,7,relin,19602.832,0.000,30
openfhe,medium,14,10,7,rescale,4274.476,22.195,30
openfhe,medium,14,10,7,rot1,19958.538,55.402,30
openfhe,medium,14,10,6,add_cc,353.273,9.465,30
openfhe,medium,14,10,6,add_cp,290.309,8.912,30
openfhe,medium,14,10,6,mul_cp,722.036,16.741,30
openfhe,medium,14,10,6,mul_cc,2130.859,26.706,30
openfhe,medium,14,10,6,mul_cc_rlk,19869.990,67.723,30
openfhe,medium,14,10,6,relin,17739.131,0.000,30
openfhe,medium,14,10,6,rescale,3773.555,26.416,30
openfhe,medium,14,10,6,rot1,18497.046,160.502,30
openfhe,medium,14,10,5,add_cc,299.106,8.097,30
openfhe,medium,14,10,5,add_cp,241.708,7.982,30
openfhe,medium,14,10,5,mul_cp,609.040,12.185,30
openfhe,medium,14,10,5,mul_cc,1820.599,18.169,30
openfhe,medium,14,10,5,mul_cc_rlk,17895.403,68.886,30
openfhe,medium,14,10,5,relin,16074.804,0.000,30
openfhe,medium,14,10,5,rescale,3114.636,15.918,30
openfhe,medium,14,10,5,rot1,16461.198,38.056,30
openfhe,medium,14,10,4,add_cc,246.854,8.494,30
openfhe,medium,14,10,4,add_cp,195.443,9.627,30
openfhe,medium,14,10,4,mul_cp,502.055,10.138,30
openfhe,medium,14,10,4,mul_cc,1514.394,23.274,30
openfhe,medium,14,10,4,mul_cc_rlk,15757.984,36.242,30
openfhe,medium,14,10,4,relin,14243.590,0.000,30
openfhe,medium,14,10,4,rescale,2628.490,24.764,30
openfhe,medium,14,10,4,rot1,14636.267,65.379,30
openfhe,medium,14,10,3,add_cc,186.787,6.375,30
openfhe,medium,14,10,3,add_cp,152.842,6.460,30
openfhe,medium,14,10,3,mul_cp,395.877,13.447,30
openfhe,medium,14,10,3,mul_cc,969.726,15.625,30
openfhe,medium,14,10,3,mul_cc_rlk,10000.229,39.423,30
openfhe,medium,14,10,3,relin,9030.503,0.000,30
openfhe,medium,14,10,3,rescale,1989.505,12.401,30
openfhe,medium,14,10,3,rot1,9064.581,57.954,30
openfhe,medium,14,10,2,add_cc,132.432,9.076,30
openfhe,medium,14,10,2,add_cp,100.675,3.610,30
openfhe,medium,14,10,2,mul_cp,283.202,8.014,30
openfhe,medium,14,10,2,mul_cc,702.557,11.603,30
openfhe,medium,14,10,2,mul_cc_rlk,8087.078,44.448,30
openfhe,medium,14,10,2,relin,7384.520,0.000,30
openfhe,medium,14,10,2,rescale,1502.760,13.827,30
openfhe,medium,14,10,2,rot1,7428.189,31.567,30
openfhe,medium,14,10,1,add_cc,77.182,5.574,30
openfhe,medium,14,10,1,add_cp,57.222,3.067,30
openfhe,medium,14,10,1,mul_cp,182.174,9.505,30
openfhe,medium,14,10,1,mul_cc,454.275,16.185,30
openfhe,medium,14,10,1,mul_cc_rlk,6620.102,48.330,30
openfhe,medium,14,10,1,relin,6165.827,0.000,30
openfhe,medium,14,10,1,rescale,874.586,14.943,30
openfhe,medium,14,10,1,rot1,6318.962,91.817,30
