library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
openfhe,medium,14,10,10,add_cc,572.720,8.294,30
openfhe,medium,14,10,10,add_cp,524.108,8.824,30
openfhe,medium,14,10,10,mul_cc,3374.633,20.369,30
openfhe,medium,14,10,10,mul_cc_rlk,34851.961,194.941,30
openfhe,medium,14,10,10,mul_cp,1146.468,10.524,30
openfhe,medium,14,10,10,relin,29980.038,0.000,30
openfhe,medium,14,10,10,rescale,6011.227,12.446,30
openfhe,medium,14,10,10,rot1,32251.421,269.687,30
openfhe,medium,14,10,9,add_cc,509.673,12.397,30
openfhe,medium,14,10,9,add_cp,461.931,9.922,30
openfhe,medium,14,10,9,mul_cc,3047.915,16.952,30
openfhe,medium,14,10,9,mul_cc_rlk,31977.473,71.085,30
openfhe,medium,14,10,9,mul_cp,1035.820,15.264,30
openfhe,medium,14,10,9,relin,28929.559,0.000,30
openfhe,medium,14,10,9,rescale,5375.356,10.639,30
openfhe,medium,14,10,9,rot1,29629.214,201.553,30
openfhe,medium,14,10,8,add_cc,453.920,10.229,30
openfhe,medium,14,10,8,add_cp,401.928,8.231,30
openfhe,medium,14,10,8,mul_cc,2739.578,28.913,30
openfhe,medium,14,10,8,mul_cc_rlk,29482.477,118.638,30
openfhe,medium,14,10,8,mul_cp,927.770,17.505,30
openfhe,medium,14,10,8,relin,26742.899,0.000,30
openfhe,medium,14,10,8,rescale,4890.431,9.760,30
openfhe,medium,14,10,8,rot1,27291.998,58.649,30
openfhe,medium,14,10,7,add_cc,402.362,9.021,30
openfhe,medium,14,10,7,add_cp,341.023,8.415,30
openfhe,medium,14,10,7,mul_cc,2436.119,23.779,30
openfhe,medium,14,10,7,mul_cc_rlk,21676.405,37.173,30
openfhe,medium,14,10,7,mul_cp,821.648,14.542,30
openfhe,medium,14,10,7,relin,19240.286,0.000,30
openfhe,medium,14,10,7,rescale,4263.909,20.758,30
openfhe,medium,14,10,7,rot1,19862.201,36.014,30
openfhe,medium,14,10,6,add_cc,345.184,6.780,30
openfhe,medium,14,10,6,add_cp,286.724,6.589,30
openfhe,medium,14,10,6,mul_cc,2119.159,21.766,30
openfhe,medium,14,10,6,mul_cc_rlk,19840.972,88.601,30
openfhe,medium,14,10,6,mul_cp,713.523,10.722,30
openfhe,medium,14,10,6,relin,17697.765,0.000,30
openfhe,medium,14,10,6,rescale,3767.202,29.431,30
openfhe,medium,14,10,6,rot1,18200.613,86.143,30
openfhe,medium,14,10,5,add_cc,292.815,6.289,30
openfhe,medium,14,10,5,add_cp,233.181,6.205,30
openfhe,medium,14,10,5,mul_cc,1816.901,12.380,30
openfhe,medium,14,10,5,mul_cc_rlk,17775.558,50.125,30
openfhe,medium,14,10,5,mul_cp,605.568,11.672,30
openfhe,medium,14,10,5,relin,15931.860,0.000,30
openfhe,medium,14,10,5,rescale,3115.704,14.140,30
openfhe,medium,14,10,5,rot1,16440.730,67.949,30
openfhe,medium,14,10,4,add_cc,240.694,6.546,30
openfhe,medium,14,10,4,add_cp,189.229,4.507,30
openfhe,medium,14,10,4,mul_cc,1507.119,21.450,30
openfhe,medium,14,10,4,mul_cc_rlk,15732.806,102.667,30
openfhe,medium,14,10,4,mul_cp,496.509,8.976,30
openfhe,medium,14,10,4,relin,14213.602,0.000,30
openfhe,medium,14,10,4,rescale,2613.823,12.331,30
openfhe,medium,14,10,4,rot1,14581.300,26.459,30
openfhe,medium,14,10,3,add_cc,181.529,4.216,30
openfhe,medium,14,10,3,add_cp,148.627,3.609,30
openfhe,medium,14,10,3,mul_cc,957.896,15.936,30
openfhe,medium,14,10,3,mul_cc_rlk,9942.786,42.271,30
openfhe,medium,14,10,3,mul_cp,388.346,7.511,30
openfhe,medium,14,10,3,relin,8984.890,0.000,30
openfhe,medium,14,10,3,rescale,1988.004,13.518,30
openfhe,medium,14,10,3,rot1,8988.590,16.824,30
openfhe,medium,14,10,2,add_cc,126.620,3.415,30
openfhe,medium,14,10,2,add_cp,99.757,3.198,30
openfhe,medium,14,10,2,mul_cc,697.700,12.317,30
openfhe,medium,14,10,2,mul_cc_rlk,8028.024,18.935,30
openfhe,medium,14,10,2,mul_cp,280.813,7.200,30
openfhe,medium,14,10,2,relin,7328.171,0.000,30
openfhe,medium,14,10,2,rescale,1498.042,10.380,30
openfhe,medium,14,10,2,rot1,7402.849,25.012,30
openfhe,medium,14,10,1,add_cc,75.493,2.234,30
openfhe,medium,14,10,1,add_cp,56.123,2.200,30
openfhe,medium,14,10,1,mul_cc,444.302,8.686,30
openfhe,medium,14,10,1,mul_cc_rlk,6608.939,52.244,30
openfhe,medium,14,10,1,mul_cp,178.860,3.303,30
openfhe,medium,14,10,1,relin,6164.637,0.000,30
openfhe,medium,14,10,1,rescale,873.092,15.391,30
openfhe,medium,14,10,1,rot1,6252.533,68.005,30
