library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
openfhe,medium,14,10,10,add_cc,829.120,635.473,30
openfhe,medium,14,10,10,add_cp,492.665,9.779,30
openfhe,medium,14,10,10,mul_cp,1062.228,369.213,30
openfhe,medium,14,10,10,mul_cc,7029.628,1962.535,30
openfhe,medium,14,10,10,mul_cc_rlk,35816.805,6935.063,30
openfhe,medium,14,10,10,relin,28787.177,0.000,30
openfhe,medium,14,10,10,rescale,4687.249,544.566,30
openfhe,medium,14,10,10,rot1,29258.356,6839.557,30
openfhe,medium,14,10,9,add_cc,600.308,65.239,30
openfhe,medium,14,10,9,add_cp,468.397,13.151,30
openfhe,medium,14,10,9,mul_cp,1427.251,1143.567,30
openfhe,medium,14,10,9,mul_cc,8873.821,1937.681,30
openfhe,medium,14,10,9,mul_cc_rlk,47565.423,29090.179,30
openfhe,medium,14,10,9,relin,38691.602,0.000,30
openfhe,medium,14,10,9,rescale,5239.750,1302.123,30
openfhe,medium,14,10,9,rot1,26460.966,2278.291,30
openfhe,medium,14,10,8,add_cc,729.515,667.602,30
openfhe,medium,14,10,8,add_cp,466.642,331.841,30
openfhe,medium,14,10,8,mul_cp,1054.506,581.603,30
openfhe,medium,14,10,8,mul_cc,5329.682,882.515,30
openfhe,medium,14,10,8,mul_cc_rlk,35525.286,16955.154,30
openfhe,medium,14,10,8,relin,30195.604,0.000,30
openfhe,medium,14,10,8,rescale,3848.372,636.487,30
openfhe,medium,14,10,8,rot1,25054.457,3023.742,30
openfhe,medium,14,10,7,add_cc,504.040,109.235,30
openfhe,medium,14,10,7,add_cp,375.894,36.344,30
openfhe,medium,14,10,7,mul_cp,723.991,179.258,30
openfhe,medium,14,10,7,mul_cc,4787.811,777.858,30
openfhe,medium,14,10,7,mul_cc_rlk,21972.097,3921.407,30
openfhe,medium,14,10,7,relin,17184.287,0.000,30
openfhe,medium,14,10,7,rescale,3947.514,752.868,30
openfhe,medium,14,10,7,rot1,18051.410,3961.119,30
openfhe,medium,14,10,6,add_cc,396.607,12.881,30
openfhe,medium,14,10,6,add_cp,325.313,23.413,30
openfhe,medium,14,10,6,mul_cp,814.590,574.115,30
openfhe,medium,14,10,6,mul_cc,4043.027,553.067,30
openfhe,medium,14,10,6,mul_cc_rlk,22932.036,8455.600,30
openfhe,medium,14,10,6,relin,18889.009,0.000,30
openfhe,medium,14,10,6,rescale,3430.199,809.912,30
openfhe,medium,14,10,6,rot1,16072.611,2472.613,30
openfhe,medium,14,10,5,add_cc,385.810,57.536,30
openfhe,medium,14,10,5,add_cp,289.089,10.517,30
openfhe,medium,14,10,5,mul_cp,634.247,122.644,30
openfhe,medium,14,10,5,mul_cc,3521.516,469.577,30
openfhe,medium,14,10,5,mul_cc_rlk,24153.975,20574.652,30
openfhe,medium,14,10,5,relin,20632.459,0.000,30
openfhe,medium,14,10,5,rescale,3422.335,710.795,30
openfhe,medium,14,10,5,rot1,16423.210,5364.277,30
openfhe,medium,14,10,4,add_cc,307.135,61.145,30
openfhe,medium,14,10,4,add_cp,229.373,13.048,30
openfhe,medium,14,10,4,mul_cp,560.625,161.042,30
openfhe,medium,14,10,4,mul_cc,2992.887,680.752,30
openfhe,medium,14,10,4,mul_cc_rlk,17463.879,3532.395,30
openfhe,medium,14,10,4,relin,14470.993,0.000,30
openfhe,medium,14,10,4,rescale,2352.855,553.907,30
openfhe,medium,14,10,4,rot1,15287.377,2897.446,30
openfhe,medium,14,10,3,add_cc,246.055,25.165,30
openfhe,medium,14,10,3,add_cp,191.983,15.655,30
openfhe,medium,14,10,3,mul_cp,380.542,104.347,30
openfhe,medium,14,10,3,mul_cc,2266.036,326.415,30
openfhe,medium,14,10,3,mul_cc_rlk,10058.901,2326.577,30
openfhe,medium,14,10,3,relin,7792.865,0.000,30
openfhe,medium,14,10,3,rescale,2145.479,303.949,30
openfhe,medium,14,10,3,rot1,8769.150,2113.423,30
openfhe,medium,14,10,2,add_cc,162.163,9.658,30
openfhe,medium,14,10,2,add_cp,140.475,26.514,30
openfhe,medium,14,10,2,mul_cp,301.209,26.885,30
openfhe,medium,14,10,2,mul_cc,1609.061,73.848,30
openfhe,medium,14,10,2,mul_cc_rlk,8254.356,816.425,30
openfhe,medium,14,10,2,relin,6645.295,0.000,30
openfhe,medium,14,10,2,rescale,1821.185,274.715,30
openfhe,medium,14,10,2,rot1,6976.572,968.489,30
openfhe,medium,14,10,1,add_cc,136.496,37.142,30
openfhe,medium,14,10,1,add_cp,84.703,6.543,30
openfhe,medium,14,10,1,mul_cp,171.623,13.332,30
openfhe,medium,14,10,1,mul_cc,548.082,47.283,30
openfhe,medium,14,10,1,mul_cc_rlk,5796.504,937.022,30
openfhe,medium,14,10,1,relin,5248.422,0.000,30
openfhe,medium,14,10,1,rescale,1251.512,51.679,30
openfhe,medium,14,10,1,rot1,5123.267,798.400,30
