library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
openfhe,medium,14,10,10,add_cc,612.514,11.224,30
openfhe,medium,14,10,10,add_cp,570.375,7.594,30
openfhe,medium,14,10,10,mul_cp,566.410,4.361,30
openfhe,medium,14,10,10,mul_cc,3425.877,18.484,30
openfhe,medium,14,10,10,mul_cc_rlk,18402.684,9184.543,30
openfhe,medium,14,10,10,relin,14976.807,0.000,30
openfhe,medium,14,10,10,rescale,1534.281,12.463,30
openfhe,medium,14,10,10,rot1,19237.780,13249.652,30
openfhe,medium,14,10,9,add_cc,687.117,8.211,30
openfhe,medium,14,10,9,add_cp,595.367,6.634,30
openfhe,medium,14,10,9,mul_cp,664.095,11.095,30
openfhe,medium,14,10,9,mul_cc,3299.295,91.231,30
openfhe,medium,14,10,9,mul_cc_rlk,19941.030,8665.246,30
openfhe,medium,14,10,9,relin,16641.735,0.000,30
openfhe,medium,14,10,9,rescale,1530.079,5.689,30
openfhe,medium,14,10,9,rot1,13809.502,7742.833,30
openfhe,medium,14,10,8,add_cc,543.267,9.767,30
openfhe,medium,14,10,8,add_cp,461.852,6.916,30
openfhe,medium,14,10,8,mul_cp,509.748,7.111,30
openfhe,medium,14,10,8,mul_cc,2795.348,27.124,30
openfhe,medium,14,10,8,mul_cc_rlk,16568.153,7542.376,30
openfhe,medium,14,10,8,relin,13772.805,0.000,30
openfhe,medium,14,10,8,rescale,1302.210,17.174,30
openfhe,medium,14,10,8,rot1,11539.883,3801.339,30
openfhe,medium,14,10,7,add_cc,510.080,9.111,30
openfhe,medium,14,10,7,add_cp,417.132,5.397,30
openfhe,medium,14,10,7,mul_cp,471.661,16.303,30
openfhe,medium,14,10,7,mul_cc,2495.211,40.628,30
openfhe,medium,14,10,7,mul_cc_rlk,12716.045,8324.306,30
openfhe,medium,14,10,7,relin,10220.834,0.000,30
openfhe,medium,14,10,7,rescale,1628.383,22.610,30
openfhe,medium,14,10,7,rot1,9689.504,3281.967,30
openfhe,medium,14,10,6,add_cc,416.205,9.161,30
openfhe,medium,14,10,6,add_cp,361.918,12.353,30
openfhe,medium,14,10,6,mul_cp,444.454,5.583,30
openfhe,medium,14,10,6,mul_cc,2191.332,25.318,30
openfhe,medium,14,10,6,mul_cc_rlk,10334.876,2271.103,30
openfhe,medium,14,10,6,relin,8143.544,0.000,30
openfhe,medium,14,10,6,rescale,1614.145,11.418,30
openfhe,medium,14,10,6,rot1,8197.520,931.929,30
openfhe,medium,14,10,5,add_cc,388.885,5.545,30
openfhe,medium,14,10,5,add_cp,305.089,7.114,30
openfhe,medium,14,10,5,mul_cp,404.773,8.609,30
openfhe,medium,14,10,5,mul_cc,1869.034,21.484,30
openfhe,medium,14,10,5,mul_cc_rlk,11855.482,5470.066,30
openfhe,medium,14,10,5,relin,9986.447,0.000,30
openfhe,medium,14,10,5,rescale,1566.070,9.166,30
openfhe,medium,14,10,5,rot1,8747.654,3098.359,30
openfhe,medium,14,10,4,add_cc,310.301,10.211,30
openfhe,medium,14,10,4,add_cp,230.881,6.883,30
openfhe,medium,14,10,4,mul_cp,342.249,5.134,30
openfhe,medium,14,10,4,mul_cc,1578.191,24.073,30
openfhe,medium,14,10,4,mul_cc_rlk,10906.697,6241.493,30
openfhe,medium,14,10,4,relin,9328.506,0.000,30
openfhe,medium,14,10,4,rescale,1546.225,9.117,30
openfhe,medium,14,10,4,rot1,8032.268,952.974,30
openfhe,medium,14,10,3,add_cc,220.677,6.100,30
openfhe,medium,14,10,3,add_cp,180.211,5.589,30
openfhe,medium,14,10,3,mul_cp,273.537,4.981,30
openfhe,medium,14,10,3,mul_cc,1216.936,11.493,30
openfhe,medium,14,10,3,mul_cc_rlk,6826.561,1536.459,30
openfhe,medium,14,10,3,relin,5609.625,0.000,30
openfhe,medium,14,10,3,rescale,1115.684,9.420,30
openfhe,medium,14,10,3,rot1,6889.143,5050.269,30
openfhe,medium,14,10,2,add_cc,172.391,4.925,30
openfhe,medium,14,10,2,add_cp,122.890,4.661,30
openfhe,medium,14,10,2,mul_cp,182.032,3.751,30
openfhe,medium,14,10,2,mul_cc,901.517,8.870,30
openfhe,medium,14,10,2,mul_cc_rlk,7280.582,4214.040,30
openfhe,medium,14,10,2,relin,6379.065,0.000,30
openfhe,medium,14,10,2,rescale,1085.523,10.225,30
openfhe,medium,14,10,2,rot1,5747.799,1913.945,30
openfhe,medium,14,10,1,add_cc,132.259,3.284,30
openfhe,medium,14,10,1,add_cp,87.108,3.516,30
openfhe,medium,14,10,1,mul_cp,160.924,9.163,30
openfhe,medium,14,10,1,mul_cc,478.700,5.554,30
openfhe,medium,14,10,1,mul_cc_rlk,5194.233,2166.587,30
openfhe,medium,14,10,1,relin,4715.533,0.000,30
openfhe,medium,14,10,1,rescale,873.160,11.392,30
openfhe,medium,14,10,1,rot1,6090.647,4246.650,30
