library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
openfhe,small,13,5,5,add_cc,125.577,6.087,30
openfhe,small,13,5,5,add_cp,106.847,6.395,30
openfhe,small,13,5,5,mul_cp,376.656,39.529,30
openfhe,small,13,5,5,mul_cc,1106.320,40.638,30
openfhe,small,13,5,5,mul_cc_rlk,11205.683,362.529,30
openfhe,small,13,5,5,relin,10099.363,0.000,30
openfhe,small,13,5,5,rescale,1991.017,110.478,30
openfhe,small,13,5,5,rot1,10349.302,257.702,30
openfhe,small,13,5,4,add_cc,111.445,16.978,30
openfhe,small,13,5,4,add_cp,111.439,16.455,30
openfhe,small,13,5,4,mul_cp,397.866,79.449,30
openfhe,small,13,5,4,mul_cc,929.495,51.916,30
openfhe,small,13,5,4,mul_cc_rlk,11084.024,1207.611,30
openfhe,small,13,5,4,relin,10154.528,0.000,30
openfhe,small,13,5,4,rescale,1763.125,282.185,30
openfhe,small,13,5,4,rot1,9161.249,706.997,30
openfhe,small,13,5,3,add_cc,85.694,8.524,30
openfhe,small,13,5,3,add_cp,75.168,14.204,30
openfhe,small,13,5,3,mul_cp,401.491,19.774,30
openfhe,small,13,5,3,mul_cc,785.437,141.614,30
openfhe,small,13,5,3,mul_cc_rlk,6614.175,286.596,30
openfhe,small,13,5,3,relin,5828.738,0.000,30
openfhe,small,13,5,3,rescale,1362.426,145.245,30
openfhe,small,13,5,3,rot1,5989.760,130.819,30
openfhe,small,13,5,2,add_cc,89.130,8.832,30
openfhe,small,13,5,2,add_cp,74.268,6.553,30
openfhe,small,13,5,2,mul_cp,258.846,42.620,30
openfhe,small,13,5,2,mul_cc,531.515,15.378,30
openfhe,small,13,5,2,mul_cc_rlk,5633.711,349.648,30
openfhe,small,13,5,2,relin,5102.196,0.000,30
openfhe,small,13,5,2,rescale,905.375,54.901,30
openfhe,small,13,5,2,rot1,5126.589,261.808,30
openfhe,small,13,5,1,add_cc,40.989,2.324,30
openfhe,small,13,5,1,add_cp,33.578,6.531,30
openfhe,small,13,5,1,mul_cp,125.923,17.319,30
openfhe,small,13,5,1,mul_cc,272.780,43.616,30
openfhe,small,13,5,1,mul_cc_rlk,3082.885,347.563,30
openfhe,small,13,5,1,relin,2810.105,0.000,30
openfhe,small,13,5,1,rescale,601.294,56.048,30
openfhe,small,13,5,1,rot1,2598.030,44.593,30
