library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
openfhe,small,13,5,5,add_cc,139.031,5.024,30
openfhe,small,13,5,5,add_cp,107.146,3.587,30
openfhe,small,13,5,5,mul_cp,290.345,7.553,30
openfhe,small,13,5,5,mul_cc,906.007,11.481,30
openfhe,small,13,5,5,mul_cc_rlk,8859.067,36.002,30
openfhe,small,13,5,5,relin,7953.060,0.000,30
openfhe,small,13,5,5,rescale,1469.862,11.303,30
openfhe,small,13,5,5,rot1,8135.337,23.940,30
openfhe,small,13,5,4,add_cc,105.388,3.613,30
openfhe,small,13,5,4,add_cp,82.990,4.337,30
openfhe,small,13,5,4,mul_cp,234.248,6.170,30
openfhe,small,13,5,4,mul_cc,740.615,12.574,30
openfhe,small,13,5,4,mul_cc_rlk,7706.789,67.170,30
openfhe,small,13,5,4,relin,6966.174,0.000,30
openfhe,small,13,5,4,rescale,1171.929,8.854,30
openfhe,small,13,5,4,rot1,7094.888,34.860,30
openfhe,small,13,5,3,add_cc,80.046,3.745,30
openfhe,small,13,5,3,add_cp,59.899,2.893,30
openfhe,small,13,5,3,mul_cp,181.679,4.419,30
openfhe,small,13,5,3,mul_cc,576.894,12.507,30
openfhe,small,13,5,3,mul_cc_rlk,5337.822,80.127,30
openfhe,small,13,5,3,relin,4760.928,0.000,30
openfhe,small,13,5,3,rescale,940.141,10.443,30
openfhe,small,13,5,3,rot1,4857.498,37.923,30
openfhe,small,13,5,2,add_cc,57.536,2.455,30
openfhe,small,13,5,2,add_cp,44.337,2.621,30
openfhe,small,13,5,2,mul_cp,134.178,3.831,30
openfhe,small,13,5,2,mul_cc,411.939,8.249,30
openfhe,small,13,5,2,mul_cc_rlk,4318.586,50.068,30
openfhe,small,13,5,2,relin,3906.646,0.000,30
openfhe,small,13,5,2,rescale,641.510,7.366,30
openfhe,small,13,5,2,rot1,3967.271,24.170,30
openfhe,small,13,5,1,add_cc,44.425,2.503,30
openfhe,small,13,5,1,add_cp,32.821,1.783,30
openfhe,small,13,5,1,mul_cp,94.031,7.050,30
openfhe,small,13,5,1,mul_cc,230.086,15.311,30
openfhe,small,13,5,1,mul_cc_rlk,2420.656,16.592,30
openfhe,small,13,5,1,relin,2190.570,0.000,30
openfhe,small,13,5,1,rescale,413.357,9.710,30
openfhe,small,13,5,1,rot1,2181.480,16.089,30
