library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
openfhe,small,13,5,5,add_cc,191.443,10.519,30
openfhe,small,13,5,5,add_cp,149.827,5.944,30
openfhe,small,13,5,5,mul_cp,300.838,9.546,30
openfhe,small,13,5,5,mul_cc,1663.201,172.881,30
openfhe,small,13,5,5,mul_cc_rlk,8601.388,814.965,30
openfhe,small,13,5,5,relin,6938.187,0.000,30
openfhe,small,13,5,5,rescale,1589.615,496.600,30
openfhe,small,13,5,5,rot1,8501.441,4253.755,30
openfhe,small,13,5,4,add_cc,150.570,7.218,30
openfhe,small,13,5,4,add_cp,138.447,90.192,30
openfhe,small,13,5,4,mul_cp,273.745,7.389,30
openfhe,small,13,5,4,mul_cc,1375.341,123.874,30
openfhe,small,13,5,4,mul_cc_rlk,9661.745,3738.703,30
openfhe,small,13,5,4,relin,8286.404,0.000,30
openfhe,small,13,5,4,rescale,1240.119,229.868,30
openfhe,small,13,5,4,rot1,7928.364,1081.598,30
openfhe,small,13,5,3,add_cc,222.415,346.748,30
openfhe,small,13,5,3,add_cp,109.808,32.651,30
openfhe,small,13,5,3,mul_cp,232.932,46.613,30
openfhe,small,13,5,3,mul_cc,1166.366,341.254,30
openfhe,small,13,5,3,mul_cc_rlk,29119.838,32081.549,30
openfhe,small,13,5,3,relin,27953.472,0.000,30
openfhe,small,13,5,3,rescale,996.710,5.726,30
openfhe,small,13,5,3,rot1,5067.398,2984.850,30
openfhe,small,13,5,2,add_cc,87.605,5.081,30
openfhe,small,13,5,2,add_cp,69.971,5.179,30
openfhe,small,13,5,2,mul_cp,158.736,9.121,30
openfhe,small,13,5,2,mul_cc,958.259,403.561,30
openfhe,small,13,5,2,mul_cc_rlk,5602.830,2706.082,30
openfhe,small,13,5,2,relin,4644.571,0.000,30
openfhe,small,13,5,2,rescale,718.202,70.319,30
openfhe,small,13,5,2,rot1,4582.962,1374.896,30
openfhe,small,13,5,1,add_cc,65.827,6.881,30
openfhe,small,13,5,1,add_cp,44.910,5.823,30
openfhe,small,13,5,1,mul_cp,89.489,9.086,30
openfhe,small,13,5,1,mul_cc,378.518,44.667,30
openfhe,small,13,5,1,mul_cc_rlk,2728.680,686.535,30
openfhe,small,13,5,1,relin,2350.161,0.000,30
openfhe,small,13,5,1,rescale,584.510,24.748,30
openfhe,small,13,5,1,rot1,2296.326,325.653,30
