library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
openfhe,small,13,5,5,add_cc,197.662,6.728,30
openfhe,small,13,5,5,add_cp,161.744,4.835,30
openfhe,small,13,5,5,mul_cp,290.097,121.082,30
openfhe,small,13,5,5,mul_cc,958.166,12.824,30
openfhe,small,13,5,5,mul_cc_rlk,7258.426,6695.225,30
openfhe,small,13,5,5,relin,6462.823,4223.873,30
openfhe,small,13,5,5,rescale,617.110,34.487,30
openfhe,small,13,5,5,rot1,4965.399,2076.084,30
openfhe,small,13,5,4,add_cc,163.600,5.242,30
openfhe,small,13,5,4,add_cp,137.094,6.738,30
openfhe,small,13,5,4,mul_cp,291.861,96.996,30
openfhe,small,13,5,4,mul_cc,829.832,71.380,30
openfhe,small,13,5,4,mul_cc_rlk,8698.286,10322.228,30
openfhe,small,13,5,4,relin,5711.307,3459.074,30
openfhe,small,13,5,4,rescale,554.564,23.325,30
openfhe,small,13,5,4,rot1,7140.431,8036.819,30
openfhe,small,13,5,3,add_cc,120.424,3.324,30
openfhe,small,13,5,3,add_cp,108.456,2.925,30
openfhe,small,13,5,3,mul_cp,304.430,65.717,30
openfhe,small,13,5,3,mul_cc,625.130,8.017,30
openfhe,small,13,5,3,mul_cc_rlk,4517.262,3320.557,30
openfhe,small,13,5,3,relin,4043.903,2860.340,30
openfhe,small,13,5,3,rescale,527.891,8.352,30
openfhe,small,13,5,3,rot1,5574.168,5265.052,30
openfhe,small,13,5,2,add_cc,83.120,5.255,30
openfhe,small,13,5,2,add_cp,73.010,2.652,30
openfhe,small,13,5,2,mul_cp,147.122,32.249,30
openfhe,small,13,5,2,mul_cc,434.939,8.197,30
openfhe,small,13,5,2,mul_cc_rlk,3987.849,1980.591,30
openfhe,small,13,5,2,relin,9087.950,11814.543,30
openfhe,small,13,5,2,rescale,443.474,23.795,30
openfhe,small,13,5,2,rot1,9223.282,11059.492,30
openfhe,small,13,5,1,add_cc,107.826,10.764,30
openfhe,small,13,5,1,add_cp,58.462,9.133,30
openfhe,small,13,5,1,mul_cp,131.051,18.308,30
openfhe,small,13,5,1,mul_cc,300.474,13.577,30
openfhe,small,13,5,1,mul_cc_rlk,4152.634,3308.643,30
openfhe,small,13,5,1,relin,3529.873,2754.921,30
openfhe,small,13,5,1,rescale,445.037,14.789,30
openfhe,small,13,5,1,rot1,3715.913,2703.894,30
