library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
seal,large,15,15,15,add_cc,1866.765,21.095,30
seal,large,15,15,15,add_cp,1162.152,12.829,30
seal,large,15,15,15,mul_cp,3783.080,32.668,30
seal,large,15,15,15,mul_cc,7694.587,48.352,30
seal,large,15,15,15,mul_cc_rlk,140926.975,1397.067,30
seal,large,15,15,15,relin,132718.005,1084.819,30
seal,large,15,15,15,rescale,13686.795,78.973,30
seal,large,15,15,15,rot1,134798.769,1159.223,30
seal,large,15,15,14,add_cc,1195.386,21.044,30
seal,large,15,15,14,add_cp,816.952,19.762,30
seal,large,15,15,14,mul_cp,3467.443,13.319,30
seal,large,15,15,14,mul_cc,7097.737,13.978,30
seal,large,15,15,14,mul_cc_rlk,126007.711,1120.218,30
seal,large,15,15,14,relin,117904.387,945.958,30
seal,large,15,15,14,rescale,11975.346,60.171,30
seal,large,15,15,14,rot1,119407.985,873.122,30
seal,large,15,15,13,add_cc,1102.169,21.430,30
seal,large,15,15,13,add_cp,752.192,13.754,30
seal,large,15,15,13,mul_cp,3246.379,25.588,30
seal,large,15,15,13,mul_cc,6673.102,21.342,30
seal,large,15,15,13,mul_cc_rlk,111977.225,1092.381,30
seal,large,15,15,13,relin,103836.402,701.866,30
seal,large,15,15,13,rescale,11108.686,38.500,30
seal,large,15,15,13,rot1,105693.845,1401.425,30
seal,large,15,15,12,add_cc,1030.982,19.597,30
seal,large,15,15,12,add_cp,719.808,17.209,30
seal,large,15,15,12,mul_cp,3014.078,14.203,30
seal,large,15,15,12,mul_cc,6190.721,22.175,30
seal,large,15,15,12,mul_cc_rlk,97583.093,1331.247,30
seal,large,15,15,12,relin,90784.948,915.632,30
seal,large,15,15,12,rescale,10297.723,27.826,30
seal,large,15,15,12,rot1,92235.193,1421.948,30
seal,large,15,15,11,add_cc,947.287,21.305,30
seal,large,15,15,11,add_cp,649.897,12.790,30
seal,large,15,15,11,mul_cp,2790.549,20.060,30
seal,large,15,15,11,mul_cc,5710.549,10.707,30
seal,large,15,15,11,mul_cc_rlk,84289.488,629.524,30
seal,large,15,15,11,relin,79544.249,1044.471,30
seal,large,15,15,11,rescale,9515.829,91.476,30
seal,large,15,15,11,rot1,79241.703,756.827,30
seal,large,15,15,10,add_cc,865.821,18.151,30
seal,large,15,15,10,add_cp,591.041,11.462,30
seal,large,15,15,10,mul_cp,2557.941,14.174,30
seal,large,15,15,10,mul_cc,5236.851,13.819,30
seal,large,15,15,10,mul_cc_rlk,72706.251,933.717,30
seal,large,15,15,10,relin,67462.668,314.661,30
seal,large,15,15,10,rescale,8667.076,32.486,30
seal,large,15,15,10,rot1,68945.521,807.195,30
seal,large,15,15,9,add_cc,800.723,23.537,30
seal,large,15,15,9,add_cp,546.760,14.156,30
seal,large,15,15,9,mul_cp,2324.788,15.865,30
seal,large,15,15,9,mul_cc,4764.787,10.257,30
seal,large,15,15,9,mul_cc_rlk,61483.769,575.589,30
seal,large,15,15,9,relin,56914.219,505.410,30
seal,large,15,15,9,rescale,7862.795,17.331,30
seal,large,15,15,9,rot1,57734.892,617.145,30
seal,large,15,15,8,add_cc,732.540,23.096,30
seal,large,15,15,8,add_cp,497.399,16.627,30
seal,large,15,15,8,mul_cp,2093.065,13.534,30
seal,large,15,15,8,mul_cc,4291.770,16.305,30
seal,large,15,15,8,mul_cc_rlk,52028.072,837.821,30
seal,large,15,15,8,relin,47328.250,204.760,30
seal,large,15,15,8,rescale,7052.580,18.985,30
seal,large,15,15,8,rot1,47785.808,618.415,30
seal,large,15,15,7,add_cc,631.627,23.778,30
