library,machine,threads,preset,logN,level,operation,reps,mean_us,std_us
seal,dku16c,mt,large,15,15,add_cc,30,2094.558,17.063
seal,dku16c,mt,large,15,15,add_cp,30,1270.780,9.772
seal,dku16c,mt,large,15,15,mul_cp,30,3912.978,198.257
seal,dku16c,mt,large,15,15,mul_cc,30,7659.231,32.371
seal,dku16c,mt,large,15,15,mul_cc_rlk,30,140387.703,1474.331
seal,dku16c,mt,large,15,15,relin,30,133728.023,1263.907
seal,dku16c,mt,large,15,15,rescale,30,13775.072,111.842
seal,dku16c,mt,large,15,15,rot1,30,136136.643,1343.072
seal,dku16c,mt,large,15,14,add_cc,30,1209.101,36.593
seal,dku16c,mt,large,15,14,add_cp,30,816.366,18.215
seal,dku16c,mt,large,15,14,mul_cp,30,3488.536,14.169
seal,dku16c,mt,large,15,14,mul_cc,30,7160.968,23.842
seal,dku16c,mt,large,15,14,mul_cc_rlk,30,125849.485,1411.013
seal,dku16c,mt,large,15,14,relin,30,118137.831,1024.453
seal,dku16c,mt,large,15,14,rescale,30,12061.406,112.811
seal,dku16c,mt,large,15,14,rot1,30,119923.812,947.234
seal,dku16c,mt,large,15,13,add_cc,30,1100.120,29.657
seal,dku16c,mt,large,15,13,add_cp,30,760.330,14.569
seal,dku16c,mt,large,15,13,mul_cp,30,3253.680,13.686
seal,dku16c,mt,large,15,13,mul_cc,30,6685.466,23.022
seal,dku16c,mt,large,15,13,mul_cc_rlk,30,111204.478,1546.213
seal,dku16c,mt,large,15,13,relin,30,103779.737,998.009
seal,dku16c,mt,large,15,13,rescale,30,11112.177,27.844
seal,dku16c,mt,large,15,13,rot1,30,105478.417,1224.747
seal,dku16c,mt,large,15,12,add_cc,30,1030.543,15.341
seal,dku16c,mt,large,15,12,add_cp,30,707.292,11.679
seal,dku16c,mt,large,15,12,mul_cp,30,3019.488,13.146
seal,dku16c,mt,large,15,12,mul_cc,30,6194.198,20.899
seal,dku16c,mt,large,15,12,mul_cc_rlk,30,96986.812,1288.198
seal,dku16c,mt,large,15,12,relin,30,91158.331,822.167
seal,dku16c,mt,large,15,12,rescale,30,10342.288,23.875
seal,dku16c,mt,large,15,12,rot1,30,92164.406,1217.451
seal,dku16c,mt,large,15,11,add_cc,30,937.890,14.449
seal,dku16c,mt,large,15,11,add_cp,30,647.943,12.704
seal,dku16c,mt,large,15,11,mul_cp,30,2791.261,15.985
seal,dku16c,mt,large,15,11,mul_cc,30,5704.208,9.489
seal,dku16c,mt,large,15,11,mul_cc_rlk,30,84764.561,640.546
seal,dku16c,mt,large,15,11,relin,30,78570.263,374.127
seal,dku16c,mt,large,15,11,rescale,30,9529.032,51.438
seal,dku16c,mt,large,15,11,rot1,30,80297.650,1205.068
seal,dku16c,mt,large,15,10,add_cc,30,855.943,12.907
seal,dku16c,mt,large,15,10,add_cp,30,591.244,9.470
seal,dku16c,mt,large,15,10,mul_cp,30,2564.780,25.403
seal,dku16c,mt,large,15,10,mul_cc,30,5251.841,47.432
seal,dku16c,mt,large,15,10,mul_cc_rlk,30,72527.349,687.358
seal,dku16c,mt,large,15,10,relin,30,67176.639,275.919
seal,dku16c,mt,large,15,10,rescale,30,8701.557,19.626
seal,dku16c,mt,large,15,10,rot1,30,68172.803,706.117
seal,dku16c,mt,large,15,9,add_cc,30,779.967,16.561
seal,dku16c,mt,large,15,9,add_cp,30,537.219,9.322
seal,dku16c,mt,large,15,9,mul_cp,30,2327.636,14.893
seal,dku16c,mt,large,15,9,mul_cc,30,4763.531,13.259
seal,dku16c,mt,large,15,9,mul_cc_rlk,30,61476.656,645.191
seal,dku16c,mt,large,15,9,relin,30,56815.308,429.543
seal,dku16c,mt,large,15,9,rescale,30,7893.000,34.979
seal,dku16c,mt,large,15,9,rot1,30,57419.088,744.915
seal,dku16c,mt,large,15,8,add_cc,30,702.780,12.463
seal,dku16c,mt,large,15,8,add_cp,30,482.971,8.387
seal,dku16c,mt,large,15,8,mul_cp,30,2097.087,18.363
seal,dku16c,mt,large,15,8,mul_cc,30,4293.667,15.245
seal,dku16c,mt,large,15,8,mul_cc_rlk,30,51493.931,642.978
seal,dku16c,mt,large,15,8,relin,30,47370.530,423.279
seal,dku16c,mt,large,15,8,rescale,30,7065.710,14.673
seal,dku16c,mt,large,15,8,rot1,30,47567.497,302.314
seal,dku16c,mt,large,15,7,add_cc,30,629.625,12.579
seal,dku16c,mt,large,15,7,add_cp,30,432.605,8.826
seal,dku16c,mt,large,15,7,mul_cp,30,1869.929,22.386
seal,dku16c,mt,large,15,7,mul_cc,30,3810.514,10.062
seal,dku16c,mt,large,15,7,mul_cc_rlk,30,41994.980,199.990
seal,dku16c,mt,large,15,7,relin,30,38521.561,342.674
seal,dku16c,mt,large,15,7,rescale,30,6280.762,64.966
seal,dku16c,mt,large,15,7,rot1,30,39504.354,772.621
seal,dku16c,mt,large,15,6,add_cc,30,544.426,11.687
seal,dku16c,mt,large,15,6,add_cp,30,378.202,11.792
seal,dku16c,mt,large,15,6,mul_cp,30,1634.749,14.819
seal,dku16c,mt,large,15,6,mul_cc,30,3337.371,21.870
seal,dku16c,mt,large,15,6,mul_cc_rlk,30,33809.747,236.833
seal,dku16c,mt,large,15,6,relin,30,30694.708,211.602
seal,dku16c,mt,large,15,6,rescale,30,5457.515,8.050
seal,dku16c,mt,large,15,6,rot1,30,31438.739,614.286
seal,dku16c,mt,large,15,5,add_cc,30,461.083,7.253
seal,dku16c,mt,large,15,5,add_cp,30,320.846,9.627
seal,dku16c,mt,large,15,5,mul_cp,30,1401.558,16.991
seal,dku16c,mt,large,15,5,mul_cc,30,2857.139,11.365
seal,dku16c,mt,large,15,5,mul_cc_rlk,30,26443.745,227.644
seal,dku16c,mt,large,15,5,relin,30,23710.694,216.372
seal,dku16c,mt,large,15,5,rescale,30,4657.143,22.935
