library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
seal,medium,14,10,10,add_cc,464.735,10.882,30
seal,medium,14,10,10,add_cp,311.312,9.098,30
seal,medium,14,10,10,mul_cp,1322.912,24.239,30
seal,medium,14,10,10,mul_cc,2684.767,21.960,30
seal,medium,14,10,10,mul_cc_rlk,34638.893,273.205,30
seal,medium,14,10,10,relin,32414.707,420.820,30
seal,medium,14,10,10,rescale,4293.276,35.869,30
seal,medium,14,10,10,rot1,32184.831,278.195,30
seal,medium,14,10,9,add_cc,420.203,12.374,30
seal,medium,14,10,9,add_cp,277.206,8.799,30
seal,medium,14,10,9,mul_cp,1200.208,20.661,30
seal,medium,14,10,9,mul_cc,2440.285,15.595,30
seal,medium,14,10,9,mul_cc_rlk,29290.518,572.160,30
seal,medium,14,10,9,relin,26654.521,181.801,30
seal,medium,14,10,9,rescale,3799.153,21.574,30
seal,medium,14,10,9,rot1,26906.904,442.687,30
seal,medium,14,10,8,add_cc,372.493,15.835,30
seal,medium,14,10,8,add_cp,241.841,11.873,30
seal,medium,14,10,8,mul_cp,1081.238,24.737,30
seal,medium,14,10,8,mul_cc,2208.032,31.366,30
seal,medium,14,10,8,mul_cc_rlk,24403.074,393.000,30
seal,medium,14,10,8,relin,22793.721,741.526,30
seal,medium,14,10,8,rescale,3534.494,122.207,30
seal,medium,14,10,8,rot1,22329.656,180.691,30
seal,medium,14,10,7,add_cc,331.285,10.399,30
seal,medium,14,10,7,add_cp,210.326,9.167,30
seal,medium,14,10,7,mul_cp,959.032,14.964,30
seal,medium,14,10,7,mul_cc,1948.960,31.120,30
seal,medium,14,10,7,mul_cc_rlk,19836.768,140.942,30
seal,medium,14,10,7,relin,18065.877,180.139,30
seal,medium,14,10,7,rescale,3059.960,21.625,30
seal,medium,14,10,7,rot1,18112.157,162.346,30
seal,medium,14,10,6,add_cc,290.309,13.236,30
seal,medium,14,10,6,add_cp,179.639,9.335,30
seal,medium,14,10,6,mul_cp,838.649,18.769,30
seal,medium,14,10,6,mul_cc,1710.731,37.630,30
seal,medium,14,10,6,mul_cc_rlk,16295.249,268.088,30
seal,medium,14,10,6,relin,14491.680,110.981,30
seal,medium,14,10,6,rescale,2659.085,26.534,30
seal,medium,14,10,6,rot1,14476.283,97.840,30
seal,medium,14,10,5,add_cc,246.402,11.369,30
seal,medium,14,10,5,add_cp,155.172,7.290,30
seal,medium,14,10,5,mul_cp,708.600,18.403,30
seal,medium,14,10,5,mul_cc,1450.193,15.625,30
seal,medium,14,10,5,mul_cc_rlk,12596.312,194.591,30
seal,medium,14,10,5,relin,11127.133,48.462,30
seal,medium,14,10,5,rescale,2245.452,20.686,30
seal,medium,14,10,5,rot1,11232.000,59.799,30
seal,medium,14,10,4,add_cc,196.847,11.584,30
seal,medium,14,10,4,add_cp,122.501,5.392,30
seal,medium,14,10,4,mul_cp,580.270,14.573,30
seal,medium,14,10,4,mul_cc,1211.708,19.707,30
seal,medium,14,10,4,mul_cc_rlk,9605.720,129.001,30
seal,medium,14,10,4,relin,8383.096,26.587,30
seal,medium,14,10,4,rescale,1840.321,23.846,30
seal,medium,14,10,4,rot1,8428.109,33.510,30
seal,medium,14,10,3,add_cc,144.481,9.025,30
seal,medium,14,10,3,add_cp,89.327,5.492,30
seal,medium,14,10,3,mul_cp,452.010,14.475,30
seal,medium,14,10,3,mul_cc,961.086,11.442,30
seal,medium,14,10,3,mul_cc_rlk,6957.441,61.777,30
seal,medium,14,10,3,relin,6115.200,50.606,30
seal,medium,14,10,3,rescale,1436.640,17.082,30
seal,medium,14,10,3,rot1,6130.932,43.181,30
seal,medium,14,10,2,add_cc,102.413,8.680,30
seal,medium,14,10,2,add_cp,57.719,5.393,30
seal,medium,14,10,2,mul_cp,328.665,11.360,30
seal,medium,14,10,2,mul_cc,711.683,11.516,30
seal,medium,14,10,2,mul_cc_rlk,4739.404,23.309,30
seal,medium,14,10,2,relin,4060.807,20.451,30
seal,medium,14,10,2,rescale,1038.750,6.695,30
seal,medium,14,10,2,rot1,4120.455,38.663,30
seal,medium,14,10,1,add_cc,61.540,6.537,30
seal,medium,14,10,1,add_cp,36.707,1.886,30
seal,medium,14,10,1,mul_cp,215.015,9.366,30
seal,medium,14,10,1,mul_cc,461.434,11.813,30
seal,medium,14,10,1,mul_cc_rlk,2884.260,37.564,30
seal,medium,14,10,1,relin,2432.653,15.158,30
seal,medium,14,10,1,rescale,657.704,13.267,30
seal,medium,14,10,1,rot1,2461.163,18.851,30
