library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
seal,medium,14,10,10,add_cc,458.893,16.562,30
seal,medium,14,10,10,add_cp,311.442,13.532,30
seal,medium,14,10,10,mul_cp,1316.881,21.425,30
seal,medium,14,10,10,mul_cc,2683.978,23.513,30
seal,medium,14,10,10,mul_cc_rlk,34941.903,599.266,30
seal,medium,14,10,10,relin,32192.303,489.468,30
seal,medium,14,10,10,rescale,4268.691,20.797,30
seal,medium,14,10,10,rot1,32307.010,375.312,30
seal,medium,14,10,9,add_cc,424.653,13.035,30
seal,medium,14,10,9,add_cp,277.124,12.386,30
seal,medium,14,10,9,mul_cp,1206.391,36.480,30
seal,medium,14,10,9,mul_cc,2440.007,16.539,30
seal,medium,14,10,9,mul_cc_rlk,29445.342,482.305,30
seal,medium,14,10,9,relin,26982.278,280.451,30
seal,medium,14,10,9,rescale,3866.669,20.359,30
seal,medium,14,10,9,rot1,27252.810,351.517,30
seal,medium,14,10,8,add_cc,374.635,16.343,30
seal,medium,14,10,8,add_cp,242.711,12.066,30
seal,medium,14,10,8,mul_cp,1079.262,22.613,30
seal,medium,14,10,8,mul_cc,2203.032,18.078,30
seal,medium,14,10,8,mul_cc_rlk,24533.419,309.875,30
seal,medium,14,10,8,relin,22614.925,385.309,30
seal,medium,14,10,8,rescale,3468.623,31.044,30
seal,medium,14,10,8,rot1,22304.837,186.033,30
seal,medium,14,10,7,add_cc,334.125,14.586,30
seal,medium,14,10,7,add_cp,208.882,10.579,30
seal,medium,14,10,7,mul_cp,961.688,23.309,30
seal,medium,14,10,7,mul_cc,1942.892,22.245,30
seal,medium,14,10,7,mul_cc_rlk,19913.556,238.411,30
seal,medium,14,10,7,relin,18097.938,155.171,30
seal,medium,14,10,7,rescale,3062.249,22.795,30
seal,medium,14,10,7,rot1,18108.746,200.802,30
seal,medium,14,10,6,add_cc,284.693,14.095,30
seal,medium,14,10,6,add_cp,184.570,8.478,30
seal,medium,14,10,6,mul_cp,832.630,18.053,30
seal,medium,14,10,6,mul_cc,1699.194,21.435,30
seal,medium,14,10,6,mul_cc_rlk,16027.485,149.136,30
seal,medium,14,10,6,relin,14330.873,299.770,30
seal,medium,14,10,6,rescale,2653.456,30.559,30
seal,medium,14,10,6,rot1,14557.829,88.338,30
seal,medium,14,10,5,add_cc,241.662,15.350,30
seal,medium,14,10,5,add_cp,154.243,10.355,30
seal,medium,14,10,5,mul_cp,711.242,17.158,30
seal,medium,14,10,5,mul_cc,1453.533,17.956,30
seal,medium,14,10,5,mul_cc_rlk,12830.605,363.885,30
seal,medium,14,10,5,relin,11259.279,101.383,30
seal,medium,14,10,5,rescale,2249.814,15.920,30
seal,medium,14,10,5,rot1,11352.821,227.414,30
seal,medium,14,10,4,add_cc,200.598,14.406,30
seal,medium,14,10,4,add_cp,124.093,9.190,30
seal,medium,14,10,4,mul_cp,581.765,16.222,30
seal,medium,14,10,4,mul_cc,1210.653,16.068,30
seal,medium,14,10,4,mul_cc_rlk,9530.431,57.365,30
seal,medium,14,10,4,relin,8508.375,348.850,30
seal,medium,14,10,4,rescale,1859.767,27.795,30
seal,medium,14,10,4,rot1,8533.197,63.283,30
seal,medium,14,10,3,add_cc,148.945,10.220,30
seal,medium,14,10,3,add_cp,90.742,6.253,30
seal,medium,14,10,3,mul_cp,451.593,15.203,30
seal,medium,14,10,3,mul_cc,957.236,10.706,30
seal,medium,14,10,3,mul_cc_rlk,6927.075,27.519,30
seal,medium,14,10,3,relin,6121.410,137.801,30
seal,medium,14,10,3,rescale,1438.201,17.784,30
seal,medium,14,10,3,rot1,6129.782,42.055,30
seal,medium,14,10,2,add_cc,100.334,8.272,30
seal,medium,14,10,2,add_cp,56.525,5.378,30
seal,medium,14,10,2,mul_cp,333.437,26.059,30
seal,medium,14,10,2,mul_cc,714.589,18.838,30
seal,medium,14,10,2,mul_cc_rlk,4737.598,24.937,30
seal,medium,14,10,2,relin,4059.398,15.898,30
seal,medium,14,10,2,rescale,1040.504,9.540,30
seal,medium,14,10,2,rot1,4073.757,16.914,30
seal,medium,14,10,1,add_cc,61.493,5.019,30
seal,medium,14,10,1,add_cp,35.442,3.065,30
seal,medium,14,10,1,mul_cp,213.378,9.326,30
seal,medium,14,10,1,mul_cc,460.618,12.062,30
seal,medium,14,10,1,mul_cc_rlk,2866.084,19.768,30
seal,medium,14,10,1,relin,2432.160,19.240,30
seal,medium,14,10,1,rescale,651.205,13.054,30
seal,medium,14,10,1,rot1,2450.417,20.766,30
