library,machine,threads,preset,logN,level,operation,reps,mean_us,std_us
seal,dku16c,1t,small,13,5,add_cc,30,103.643,6.370
seal,dku16c,1t,small,13,5,add_cp,30,57.658,2.645
seal,dku16c,1t,small,13,5,mul_cp,30,344.298,108.588
seal,dku16c,1t,small,13,5,mul_cc,30,699.507,8.467
seal,dku16c,1t,small,13,5,mul_cc_rlk,30,5805.891,21.107
seal,dku16c,1t,small,13,5,relin,30,5185.668,21.197
seal,dku16c,1t,small,13,5,rescale,30,1009.842,8.430
seal,dku16c,1t,small,13,5,rot1,30,5222.056,19.979
seal,dku16c,1t,small,13,4,add_cc,30,79.987,5.684
seal,dku16c,1t,small,13,4,add_cp,30,47.017,2.771
seal,dku16c,1t,small,13,4,mul_cp,30,267.947,9.212
seal,dku16c,1t,small,13,4,mul_cc,30,575.028,5.709
seal,dku16c,1t,small,13,4,mul_cc_rlk,30,4433.578,21.220
seal,dku16c,1t,small,13,4,relin,30,3904.699,22.174
seal,dku16c,1t,small,13,4,rescale,30,829.378,8.814
seal,dku16c,1t,small,13,4,rot1,30,3935.128,29.964
seal,dku16c,1t,small,13,3,add_cc,30,63.949,4.734
seal,dku16c,1t,small,13,3,add_cp,30,37.041,2.115
seal,dku16c,1t,small,13,3,mul_cp,30,211.745,5.761
seal,dku16c,1t,small,13,3,mul_cc,30,453.926,6.238
seal,dku16c,1t,small,13,3,mul_cc_rlk,30,3250.182,107.780
seal,dku16c,1t,small,13,3,relin,30,2804.623,20.053
seal,dku16c,1t,small,13,3,rescale,30,650.644,6.644
seal,dku16c,1t,small,13,3,rot1,30,2840.795,44.834
seal,dku16c,1t,small,13,2,add_cc,30,45.009,3.253
seal,dku16c,1t,small,13,2,add_cp,30,24.932,1.345
seal,dku16c,1t,small,13,2,mul_cp,30,157.295,4.039
seal,dku16c,1t,small,13,2,mul_cc,30,340.952,13.600
seal,dku16c,1t,small,13,2,mul_cc_rlk,30,2202.830,18.136
seal,dku16c,1t,small,13,2,relin,30,1876.378,15.765
seal,dku16c,1t,small,13,2,rescale,30,475.839,6.132
seal,dku16c,1t,small,13,2,rot1,30,1896.009,15.346
seal,dku16c,1t,small,13,1,add_cc,30,30.336,2.304
seal,dku16c,1t,small,13,1,add_cp,30,17.496,2.181
seal,dku16c,1t,small,13,1,mul_cp,30,105.900,3.565
seal,dku16c,1t,small,13,1,mul_cc,30,225.150,3.016
seal,dku16c,1t,small,13,1,mul_cc_rlk,30,1347.091,10.066
seal,dku16c,1t,small,13,1,relin,30,1130.321,12.317
seal,dku16c,1t,small,13,1,rescale,30,303.673,4.236
seal,dku16c,1t,small,13,1,rot1,30,1143.340,13.242
