library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
seal,small,13,5,5,add_cc,100.713,6.381,30
seal,small,13,5,5,add_cp,56.311,2.963,30
seal,small,13,5,5,mul_cp,322.937,7.532,30
seal,small,13,5,5,mul_cc,699.608,7.282,30
seal,small,13,5,5,mul_cc_rlk,5834.399,24.618,30
seal,small,13,5,5,relin,5180.604,44.930,30
seal,small,13,5,5,rescale,1009.751,12.917,30
seal,small,13,5,5,rot1,5206.308,24.880,30
seal,small,13,5,4,add_cc,77.589,4.327,30
seal,small,13,5,4,add_cp,45.253,3.535,30
seal,small,13,5,4,mul_cp,265.046,5.567,30
seal,small,13,5,4,mul_cc,575.629,5.373,30
seal,small,13,5,4,mul_cc_rlk,4468.564,119.224,30
seal,small,13,5,4,relin,3944.326,251.612,30
seal,small,13,5,4,rescale,835.058,19.559,30
seal,small,13,5,4,rot1,3930.095,29.435,30
seal,small,13,5,3,add_cc,64.419,4.351,30
seal,small,13,5,3,add_cp,36.329,2.417,30
seal,small,13,5,3,mul_cp,213.982,6.858,30
seal,small,13,5,3,mul_cc,456.204,4.970,30
seal,small,13,5,3,mul_cc_rlk,3237.750,33.588,30
seal,small,13,5,3,relin,2803.199,22.254,30
seal,small,13,5,3,rescale,650.108,6.415,30
seal,small,13,5,3,rot1,2819.252,14.769,30
seal,small,13,5,2,add_cc,43.082,2.744,30
seal,small,13,5,2,add_cp,25.001,1.486,30
seal,small,13,5,2,mul_cp,157.754,4.254,30
seal,small,13,5,2,mul_cc,338.350,3.881,30
seal,small,13,5,2,mul_cc_rlk,2201.442,30.979,30
seal,small,13,5,2,relin,1876.984,20.065,30
seal,small,13,5,2,rescale,474.058,4.095,30
seal,small,13,5,2,rot1,1890.617,12.441,30
seal,small,13,5,1,add_cc,29.048,2.015,30
seal,small,13,5,1,add_cp,16.853,0.818,30
seal,small,13,5,1,mul_cp,105.439,3.102,30
seal,small,13,5,1,mul_cc,225.203,3.333,30
seal,small,13,5,1,mul_cc_rlk,1344.879,13.269,30
seal,small,13,5,1,relin,1127.025,11.179,30
seal,small,13,5,1,rescale,303.137,3.360,30
seal,small,13,5,1,rot1,1141.596,10.675,30
