library,exp,logN,q0,delta,depth,dnum,PCount,logP,logQ,logQP,bound,margin,maxLevel,level,op,mean_us,std_us,reps,digits,ok,err
lattigo,3,15,60,40,13,3,5,300,580,880,881,1,13,13,add_cc,678.763,19.794,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,3,15,60,40,13,3,5,300,580,880,881,1,13,13,add_cp,555.215,12.934,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,3,15,60,40,13,3,5,300,580,880,881,1,13,13,mul_cp,1406.364,38.898,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,3,15,60,40,13,3,5,300,580,880,881,1,13,13,mul_cc,3091.291,35.099,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,3,15,60,40,13,3,5,300,580,880,881,1,13,13,mul_cc_rlk,58108.577,544.246,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,3,15,60,40,13,3,5,300,580,880,881,1,13,13,relin,52817.021,350.182,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,3,15,60,40,13,3,5,300,580,880,881,1,13,13,rescale,9509.836,93.266,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,3,15,60,40,13,3,5,300,580,880,881,1,13,13,rot1,52768.983,338.601,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,3,15,60,40,13,3,5,300,580,880,881,1,13,12,add_cc,637.281,16.634,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,3,15,60,40,13,3,5,300,580,880,881,1,13,12,add_cp,520.315,14.804,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,3,15,60,40,13,3,5,300,580,880,881,1,13,12,mul_cp,1294.763,29.474,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,3,15,60,40,13,3,5,300,580,880,881,1,13,12,mul_cc,2820.849,39.150,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,3,15,60,40,13,3,5,300,580,880,881,1,13,12,mul_cc_rlk,54520.328,569.665,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,3,15,60,40,13,3,5,300,580,880,881,1,13,12,relin,49522.838,407.483,30,L13=3;L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
