library,exp,logN,q0,delta,depth,dnum,PCount,logP,logQ,logQP,bound,margin,maxLevel,level,op,mean_us,std_us,reps,digits,threads,nthreads,ok,err
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,6,add_cc,384.104,12.993,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,6,add_cp,335.076,8.010,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,6,mul_cp,367.094,6.231,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,6,mul_cc,2198.619,102.571,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,6,mul_cc_rlk,12654.275,4295.336,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,6,relin,11004.049,2479.919,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,6,rescale,1247.366,33.987,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,6,rot1,10974.357,3801.563,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,5,add_cc,327.494,6.695,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,5,add_cp,275.871,6.478,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,5,mul_cp,334.126,5.439,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,5,mul_cc,1862.535,23.747,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,5,mul_cc_rlk,9385.091,2605.713,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,5,relin,8675.100,3112.676,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,5,rescale,1169.955,80.829,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,5,rot1,7328.897,389.059,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,4,add_cc,258.060,9.824,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,4,add_cp,212.888,6.579,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,4,mul_cp,273.731,6.661,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,4,mul_cc,1552.711,30.573,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,4,mul_cc_rlk,9010.581,3303.203,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,4,relin,7337.987,1325.578,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,4,rescale,1196.018,24.431,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,4,rot1,7234.997,2253.146,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,3,add_cc,247.999,8.398,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,3,add_cp,187.511,7.012,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,3,mul_cp,253.294,5.636,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,3,mul_cc,1246.172,15.623,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,3,mul_cc_rlk,6226.009,143.247,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,3,relin,5922.193,2367.136,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,3,rescale,1109.352,15.714,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,3,rot1,5261.192,316.421,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,2,add_cc,174.679,5.436,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,2,add_cp,126.692,7.134,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,2,mul_cp,197.202,4.958,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,2,mul_cc,919.154,15.285,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,2,mul_cc_rlk,6070.252,1394.792,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,2,relin,6343.380,3426.172,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,2,rescale,1046.065,23.099,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,2,rot1,6280.976,5659.314,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,1,add_cc,79.709,2.918,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,1,add_cp,60.666,2.446,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
openfhe,7,14,60,42,6,4,2,120,312,432,438,6,6,1,mul_cp,124.777,3.047,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,mt,16,1,
