library,exp,logN,q0,delta,depth,dnum,PCount,logP,logQ,logQP,bound,margin,maxLevel,level,op,mean_us,std_us,reps,digits,ok,err
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,10,add_cc,1159.094,16.833,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,10,add_cp,1104.017,99.154,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,10,mul_cp,2304.977,19.703,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,10,mul_cc,7070.827,112.754,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,10,mul_cc_rlk,64434.694,781.557,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,10,relin,60164.042,410.632,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,10,rescale,12643.432,18.210,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,10,rot1,58530.232,495.221,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,9,add_cc,1034.602,15.359,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,9,add_cp,972.395,13.084,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,9,mul_cp,2088.519,18.432,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,9,mul_cc,6255.591,33.259,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,9,mul_cc_rlk,59577.791,438.849,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,1,
