library,exp,logN,q0,delta,depth,dnum,PCount,logP,logQ,logQP,bound,margin,maxLevel,level,op,mean_us,std_us,reps,digits,threads,nthreads,ok,err
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,10,add_cc,1253.319,12.982,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,10,add_cp,1145.406,28.166,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,10,mul_cp,1149.886,30.155,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,10,mul_cc,7412.197,212.166,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,10,mul_cc_rlk,30244.998,7333.016,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,10,relin,24979.599,7345.701,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,10,rescale,3702.257,33.966,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,10,rot1,23729.056,8744.223,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,9,add_cc,1230.057,12.414,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,9,add_cp,1079.428,14.931,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,9,mul_cp,1150.977,12.240,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,9,mul_cc,6520.319,102.307,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,9,mul_cc_rlk,31796.526,8392.365,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,9,relin,22849.115,5159.062,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,9,rescale,2848.540,40.723,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,9,rot1,22196.473,6059.975,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,8,add_cc,1172.062,10.757,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,8,add_cp,963.643,12.217,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,8,mul_cp,1130.771,16.322,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,8,mul_cc,5961.672,109.243,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,8,mul_cc_rlk,29588.820,8816.252,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,8,relin,23947.239,6197.133,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,8,rescale,3639.031,52.030,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,8,rot1,23529.952,5634.851,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,7,add_cc,1057.645,7.857,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,7,add_cp,904.468,11.863,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,7,mul_cp,1054.078,10.707,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,7,mul_cc,5338.188,91.343,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,7,mul_cc_rlk,27043.818,5449.955,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,7,relin,22269.194,5451.228,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,48,10,2,5,300,540,840,881,41,10,7,rescale,3608.596,62.599,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,mt,16,1,
