library,exp,logN,q0,delta,depth,dnum,PCount,logP,maxDigitBits,level,path,rep,bits
openfhe,7,14,60,42,4,2,3,180,144,4,enc_dec,0,31.3129
openfhe,7,14,60,42,4,2,3,180,144,4,rot1,0,28.2582
openfhe,7,14,60,42,4,2,3,180,144,3,enc_dec,0,31.3136
openfhe,7,14,60,42,4,2,3,180,144,3,rot1,0,28.2949
openfhe,7,14,60,42,4,2,3,180,144,2,enc_dec,0,31.3066
openfhe,7,14,60,42,4,2,3,180,144,2,rot1,0,28.2604
openfhe,7,14,60,42,4,2,3,180,144,1,enc_dec,0,31.2996
openfhe,7,14,60,42,4,2,3,180,144,1,rot1,0,28.2649
openfhe,7,14,60,42,4,2,3,180,144,4,enc_dec,1,31.2955
openfhe,7,14,60,42,4,2,3,180,144,4,rot1,1,28.5512
openfhe,7,14,60,42,4,2,3,180,144,3,enc_dec,1,31.2982
openfhe,7,14,60,42,4,2,3,180,144,3,rot1,1,28.5491
openfhe,7,14,60,42,4,2,3,180,144,2,enc_dec,1,31.3170
openfhe,7,14,60,42,4,2,3,180,144,2,rot1,1,28.5592
openfhe,7,14,60,42,4,2,3,180,144,1,enc_dec,1,31.3121
openfhe,7,14,60,42,4,2,3,180,144,1,rot1,1,28.5657
openfhe,7,14,60,42,4,2,3,180,144,4,enc_dec,2,31.3023
openfhe,7,14,60,42,4,2,3,180,144,4,rot1,2,28.8288
openfhe,7,14,60,42,4,2,3,180,144,3,enc_dec,2,31.3027
openfhe,7,14,60,42,4,2,3,180,144,3,rot1,2,28.7848
openfhe,7,14,60,42,4,2,3,180,144,2,enc_dec,2,31.3079
openfhe,7,14,60,42,4,2,3,180,144,2,rot1,2,28.8281
openfhe,7,14,60,42,4,2,3,180,144,1,enc_dec,2,31.3081
openfhe,7,14,60,42,4,2,3,180,144,1,rot1,2,28.7848
openfhe,7,14,60,42,4,2,3,180,144,4,enc_dec,3,31.3117
openfhe,7,14,60,42,4,2,3,180,144,4,rot1,3,29.3943
openfhe,7,14,60,42,4,2,3,180,144,3,enc_dec,3,31.3159
