library,exp,logN,q0,delta,depth,dnum,PCount,logP,maxDigitBits,level,path,rep,bits
openfhe,7,14,60,42,4,2,3,180,144,4,enc_dec,0,31.3094
openfhe,7,14,60,42,4,2,3,180,144,4,rot1,0,28.3651
openfhe,7,14,60,42,4,2,3,180,144,3,enc_dec,0,31.3274
openfhe,7,14,60,42,4,2,3,180,144,3,rot1,0,28.3418
openfhe,7,14,60,42,4,2,3,180,144,2,enc_dec,0,31.2753
openfhe,7,14,60,42,4,2,3,180,144,2,rot1,0,28.3609
openfhe,7,14,60,42,4,2,3,180,144,1,enc_dec,0,31.3223
openfhe,7,14,60,42,4,2,3,180,144,1,rot1,0,28.3455
openfhe,7,14,60,42,4,2,3,180,144,4,enc_dec,1,31.3144
openfhe,7,14,60,42,4,2,3,180,144,4,rot1,1,28.6707
openfhe,7,14,60,42,4,2,3,180,144,3,enc_dec,1,31.3075
openfhe,7,14,60,42,4,2,3,180,144,3,rot1,1,28.6548
openfhe,7,14,60,42,4,2,3,180,144,2,enc_dec,1,31.3201
openfhe,7,14,60,42,4,2,3,180,144,2,rot1,1,28.6689
openfhe,7,14,60,42,4,2,3,180,144,1,enc_dec,1,31.3216
openfhe,7,14,60,42,4,2,3,180,144,1,rot1,1,28.6812
openfhe,7,14,60,42,4,2,3,180,144,4,enc_dec,2,31.3308
openfhe,7,14,60,42,4,2,3,180,144,4,rot1,2,27.9396
openfhe,7,14,60,42,4,2,3,180,144,3,enc_dec,2,31.3233
openfhe,7,14,60,42,4,2,3,180,144,3,rot1,2,27.9129
openfhe,7,14,60,42,4,2,3,180,144,2,enc_dec,2,31.3159
openfhe,7,14,60,42,4,2,3,180,144,2,rot1,2,27.9139
openfhe,7,14,60,42,4,2,3,180,144,1,enc_dec,2,31.3063
openfhe,7,14,60,42,4,2,3,180,144,1,rot1,2,27.9097
openfhe,7,14,60,42,4,2,3,180,144,4,enc_dec,3,31.3099
