library,exp,logN,q0,delta,depth,dnum,PCount,logP,logQ,logQP,bound,margin,maxLevel,level,op,mean_us,std_us,reps,digits,threads,nthreads,ok,err
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,4,add_cc,268.971,7.213,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,4,add_cp,237.760,45.257,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,4,mul_cp,283.062,7.963,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,4,mul_cc,1584.679,19.884,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,4,mul_cc_rlk,11768.558,8763.384,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,4,relin,7996.965,3596.256,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,4,rescale,1287.442,332.240,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,4,rot1,6727.317,287.671,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,3,add_cc,210.660,9.951,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,3,add_cp,168.273,4.483,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,3,mul_cp,336.914,157.265,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,3,mul_cc,1287.861,12.819,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,3,mul_cc_rlk,7847.855,1906.883,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,3,relin,7232.088,2729.077,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,3,rescale,1125.980,11.623,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,3,rot1,6640.300,1751.350,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,2,add_cc,211.411,5.649,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,2,add_cp,154.277,5.206,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,2,mul_cp,224.820,8.022,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,2,mul_cc,947.788,11.672,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,2,mul_cc_rlk,5495.943,1579.042,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,2,relin,5052.214,1431.573,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
openfhe,7,14,60,42,4,2,3,180,228,408,438,30,4,2,rescale,1160.773,30.027,30,L4=2;L3=2;L2=1;L1=1,mt,16,1,
