library,exp,logN,q0,delta,depth,dnum,PCount,logP,maxDigitBits,level,path,rep,bits
openfhe,7,15,60,42,12,3,4,240,228,12,enc_dec,0,30.3024
openfhe,7,15,60,42,12,3,4,240,228,12,rot1,0,27.6407
openfhe,7,15,60,42,12,3,4,240,228,11,enc_dec,0,30.3143
openfhe,7,15,60,42,12,3,4,240,228,11,rot1,0,27.6513
openfhe,7,15,60,42,12,3,4,240,228,10,enc_dec,0,30.3163
openfhe,7,15,60,42,12,3,4,240,228,10,rot1,0,27.6509
openfhe,7,15,60,42,12,3,4,240,228,9,enc_dec,0,30.3120
openfhe,7,15,60,42,12,3,4,240,228,9,rot1,0,27.6446
openfhe,7,15,60,42,12,3,4,240,228,8,enc_dec,0,30.3016
openfhe,7,15,60,42,12,3,4,240,228,8,rot1,0,27.6476
openfhe,7,15,60,42,12,3,4,240,228,7,enc_dec,0,30.3222
openfhe,7,15,60,42,12,3,4,240,228,7,rot1,0,27.6514
openfhe,7,15,60,42,12,3,4,240,228,6,enc_dec,0,30.3235
openfhe,7,15,60,42,12,3,4,240,228,6,rot1,0,27.6608
openfhe,7,15,60,42,12,3,4,240,228,5,enc_dec,0,30.3281
openfhe,7,15,60,42,12,3,4,240,228,5,rot1,0,27.6514
openfhe,7,15,60,42,12,3,4,240,228,4,enc_dec,0,30.3241
openfhe,7,15,60,42,12,3,4,240,228,4,rot1,0,27.6599
openfhe,7,15,60,42,12,3,4,240,228,3,enc_dec,0,30.3391
openfhe,7,15,60,42,12,3,4,240,228,3,rot1,0,27.6481
openfhe,7,15,60,42,12,3,4,240,228,2,enc_dec,0,30.3205
openfhe,7,15,60,42,12,3,4,240,228,2,rot1,0,27.6735
openfhe,7,15,60,42,12,3,4,240,228,1,enc_dec,0,30.3105
openfhe,7,15,60,42,12,3,4,240,228,1,rot1,0,27.6549
openfhe,7,15,60,42,12,3,4,240,228,12,enc_dec,1,30.3105
openfhe,7,15,60,42,12,3,4,240,228,12,rot1,1,27.8282
openfhe,7,15,60,42,12,3,4,240,228,11,enc_dec,1,30.3149
openfhe,7,15,60,42,12,3,4,240,228,11,rot1,1,27.8111
openfhe,7,15,60,42,12,3,4,240,228,10,enc_dec,1,30.3152
openfhe,7,15,60,42,12,3,4,240,228,10,rot1,1,27.8163
openfhe,7,15,60,42,12,3,4,240,228,9,enc_dec,1,30.3248
openfhe,7,15,60,42,12,3,4,240,228,9,rot1,1,27.8212
openfhe,7,15,60,42,12,3,4,240,228,8,enc_dec,1,30.3099
openfhe,7,15,60,42,12,3,4,240,228,8,rot1,1,27.8400
openfhe,7,15,60,42,12,3,4,240,228,7,enc_dec,1,30.3145
openfhe,7,15,60,42,12,3,4,240,228,7,rot1,1,27.8143
openfhe,7,15,60,42,12,3,4,240,228,6,enc_dec,1,30.3183
openfhe,7,15,60,42,12,3,4,240,228,6,rot1,1,27.8202
openfhe,7,15,60,42,12,3,4,240,228,5,enc_dec,1,30.3239
openfhe,7,15,60,42,12,3,4,240,228,5,rot1,1,27.8252
openfhe,7,15,60,42,12,3,4,240,228,4,enc_dec,1,30.3135
openfhe,7,15,60,42,12,3,4,240,228,4,rot1,1,27.8202
openfhe,7,15,60,42,12,3,4,240,228,3,enc_dec,1,30.3096
openfhe,7,15,60,42,12,3,4,240,228,3,rot1,1,27.8222
openfhe,7,15,60,42,12,3,4,240,228,2,enc_dec,1,30.3248
openfhe,7,15,60,42,12,3,4,240,228,2,rot1,1,27.8223
openfhe,7,15,60,42,12,3,4,240,228,1,enc_dec,1,30.3263
openfhe,7,15,60,42,12,3,4,240,228,1,rot1,1,27.8178
openfhe,7,15,60,42,12,3,4,240,228,12,enc_dec,2,30.3076
openfhe,7,15,60,42,12,3,4,240,228,12,rot1,2,27.0639
openfhe,7,15,60,42,12,3,4,240,228,11,enc_dec,2,30.3219
openfhe,7,15,60,42,12,3,4,240,228,11,rot1,2,27.0771
openfhe,7,15,60,42,12,3,4,240,228,10,enc_dec,2,30.3174
openfhe,7,15,60,42,12,3,4,240,228,10,rot1,2,27.0731
openfhe,7,15,60,42,12,3,4,240,228,9,enc_dec,2,30.3127
openfhe,7,15,60,42,12,3,4,240,228,9,rot1,2,27.0759
openfhe,7,15,60,42,12,3,4,240,228,8,enc_dec,2,30.3370
openfhe,7,15,60,42,12,3,4,240,228,8,rot1,2,27.0803
openfhe,7,15,60,42,12,3,4,240,228,7,enc_dec,2,30.3202
openfhe,7,15,60,42,12,3,4,240,228,7,rot1,2,27.0823
openfhe,7,15,60,42,12,3,4,240,228,6,enc_dec,2,30.3113
openfhe,7,15,60,42,12,3,4,240,228,6,rot1,2,27.0793
openfhe,7,15,60,42,12,3,4,240,228,5,enc_dec,2,30.3129
