library,exp,logN,q0,delta,depth,dnum,PCount,logP,maxDigitBits,level,path,rep,bits
seal,7,15,60,42,12,13,1,60,60,12,enc_dec,0,33.6311
seal,7,15,60,42,12,13,1,60,60,12,rot1,0,27.9826
seal,7,15,60,42,12,13,1,60,60,11,enc_dec,0,33.6328
seal,7,15,60,42,12,13,1,60,60,11,rot1,0,27.9931
seal,7,15,60,42,12,13,1,60,60,10,enc_dec,0,33.6211
seal,7,15,60,42,12,13,1,60,60,10,rot1,0,27.9866
seal,7,15,60,42,12,13,1,60,60,9,enc_dec,0,33.6265
seal,7,15,60,42,12,13,1,60,60,9,rot1,0,27.9873
seal,7,15,60,42,12,13,1,60,60,8,enc_dec,0,33.6243
seal,7,15,60,42,12,13,1,60,60,8,rot1,0,27.9903
seal,7,15,60,42,12,13,1,60,60,7,enc_dec,0,33.6143
seal,7,15,60,42,12,13,1,60,60,7,rot1,0,27.9950
seal,7,15,60,42,12,13,1,60,60,6,enc_dec,0,33.6134
seal,7,15,60,42,12,13,1,60,60,6,rot1,0,27.9945
seal,7,15,60,42,12,13,1,60,60,5,enc_dec,0,33.6300
seal,7,15,60,42,12,13,1,60,60,5,rot1,0,27.9813
seal,7,15,60,42,12,13,1,60,60,4,enc_dec,0,33.6222
seal,7,15,60,42,12,13,1,60,60,4,rot1,0,27.9934
seal,7,15,60,42,12,13,1,60,60,3,enc_dec,0,33.6171
seal,7,15,60,42,12,13,1,60,60,3,rot1,0,27.9924
seal,7,15,60,42,12,13,1,60,60,2,enc_dec,0,33.6062
seal,7,15,60,42,12,13,1,60,60,2,rot1,0,27.9869
seal,7,15,60,42,12,13,1,60,60,1,enc_dec,0,33.6184
seal,7,15,60,42,12,13,1,60,60,1,rot1,0,27.9891
seal,7,15,60,42,12,13,1,60,60,12,enc_dec,1,33.6107
seal,7,15,60,42,12,13,1,60,60,12,rot1,1,27.9726
seal,7,15,60,42,12,13,1,60,60,11,enc_dec,1,33.6030
seal,7,15,60,42,12,13,1,60,60,11,rot1,1,27.9687
seal,7,15,60,42,12,13,1,60,60,10,enc_dec,1,33.6158
seal,7,15,60,42,12,13,1,60,60,10,rot1,1,27.9714
seal,7,15,60,42,12,13,1,60,60,9,enc_dec,1,33.6140
seal,7,15,60,42,12,13,1,60,60,9,rot1,1,27.9800
seal,7,15,60,42,12,13,1,60,60,8,enc_dec,1,33.6160
seal,7,15,60,42,12,13,1,60,60,8,rot1,1,27.9814
seal,7,15,60,42,12,13,1,60,60,7,enc_dec,1,33.6135
seal,7,15,60,42,12,13,1,60,60,7,rot1,1,27.9608
seal,7,15,60,42,12,13,1,60,60,6,enc_dec,1,33.6200
seal,7,15,60,42,12,13,1,60,60,6,rot1,1,27.9819
seal,7,15,60,42,12,13,1,60,60,5,enc_dec,1,33.6060
seal,7,15,60,42,12,13,1,60,60,5,rot1,1,27.9886
seal,7,15,60,42,12,13,1,60,60,4,enc_dec,1,33.6105
seal,7,15,60,42,12,13,1,60,60,4,rot1,1,27.9782
seal,7,15,60,42,12,13,1,60,60,3,enc_dec,1,33.6161
seal,7,15,60,42,12,13,1,60,60,3,rot1,1,27.9803
seal,7,15,60,42,12,13,1,60,60,2,enc_dec,1,33.6157
seal,7,15,60,42,12,13,1,60,60,2,rot1,1,27.9809
seal,7,15,60,42,12,13,1,60,60,1,enc_dec,1,33.6175
seal,7,15,60,42,12,13,1,60,60,1,rot1,1,27.9801
seal,7,15,60,42,12,13,1,60,60,12,enc_dec,2,33.6161
seal,7,15,60,42,12,13,1,60,60,12,rot1,2,27.9685
seal,7,15,60,42,12,13,1,60,60,11,enc_dec,2,33.6095
seal,7,15,60,42,12,13,1,60,60,11,rot1,2,27.9647
seal,7,15,60,42,12,13,1,60,60,10,enc_dec,2,33.6187
seal,7,15,60,42,12,13,1,60,60,10,rot1,2,27.9784
seal,7,15,60,42,12,13,1,60,60,9,enc_dec,2,33.6206
seal,7,15,60,42,12,13,1,60,60,9,rot1,2,27.9599
seal,7,15,60,42,12,13,1,60,60,8,enc_dec,2,33.6241
seal,7,15,60,42,12,13,1,60,60,8,rot1,2,27.9630
seal,7,15,60,42,12,13,1,60,60,7,enc_dec,2,33.6315
seal,7,15,60,42,12,13,1,60,60,7,rot1,2,27.9577
seal,7,15,60,42,12,13,1,60,60,6,enc_dec,2,33.6222
seal,7,15,60,42,12,13,1,60,60,6,rot1,2,27.9604
seal,7,15,60,42,12,13,1,60,60,5,enc_dec,2,33.6219
seal,7,15,60,42,12,13,1,60,60,5,rot1,2,27.9628
seal,7,15,60,42,12,13,1,60,60,4,enc_dec,2,33.6191
seal,7,15,60,42,12,13,1,60,60,4,rot1,2,27.9567
seal,7,15,60,42,12,13,1,60,60,3,enc_dec,2,33.6116
seal,7,15,60,42,12,13,1,60,60,3,rot1,2,27.9645
seal,7,15,60,42,12,13,1,60,60,2,enc_dec,2,33.6300
seal,7,15,60,42,12,13,1,60,60,2,rot1,2,27.9575
seal,7,15,60,42,12,13,1,60,60,1,enc_dec,2,33.6043
seal,7,15,60,42,12,13,1,60,60,1,rot1,2,27.9619
seal,7,15,60,42,12,13,1,60,60,12,enc_dec,3,33.6187
seal,7,15,60,42,12,13,1,60,60,12,rot1,3,27.9773
seal,7,15,60,42,12,13,1,60,60,11,enc_dec,3,33.6167
seal,7,15,60,42,12,13,1,60,60,11,rot1,3,27.9888
seal,7,15,60,42,12,13,1,60,60,10,enc_dec,3,33.6275
seal,7,15,60,42,12,13,1,60,60,10,rot1,3,27.9849
seal,7,15,60,42,12,13,1,60,60,9,enc_dec,3,33.6210
seal,7,15,60,42,12,13,1,60,60,9,rot1,3,27.9921
seal,7,15,60,42,12,13,1,60,60,8,enc_dec,3,33.6116
seal,7,15,60,42,12,13,1,60,60,8,rot1,3,27.9883
seal,7,15,60,42,12,13,1,60,60,7,enc_dec,3,33.6212
seal,7,15,60,42,12,13,1,60,60,7,rot1,3,27.9809
seal,7,15,60,42,12,13,1,60,60,6,enc_dec,3,33.6337
seal,7,15,60,42,12,13,1,60,60,6,rot1,3,27.9809
seal,7,15,60,42,12,13,1,60,60,5,enc_dec,3,33.6074
seal,7,15,60,42,12,13,1,60,60,5,rot1,3,27.9742
seal,7,15,60,42,12,13,1,60,60,4,enc_dec,3,33.6299
seal,7,15,60,42,12,13,1,60,60,4,rot1,3,27.9799
seal,7,15,60,42,12,13,1,60,60,3,enc_dec,3,33.6091
seal,7,15,60,42,12,13,1,60,60,3,rot1,3,27.9836
seal,7,15,60,42,12,13,1,60,60,2,enc_dec,3,33.6241
seal,7,15,60,42,12,13,1,60,60,2,rot1,3,27.9882
seal,7,15,60,42,12,13,1,60,60,1,enc_dec,3,33.6175
seal,7,15,60,42,12,13,1,60,60,1,rot1,3,27.9814
seal,7,15,60,42,12,13,1,60,60,12,enc_dec,4,33.6329
seal,7,15,60,42,12,13,1,60,60,12,rot1,4,27.9657
seal,7,15,60,42,12,13,1,60,60,11,enc_dec,4,33.6111
seal,7,15,60,42,12,13,1,60,60,11,rot1,4,27.9610
seal,7,15,60,42,12,13,1,60,60,10,enc_dec,4,33.6110
seal,7,15,60,42,12,13,1,60,60,10,rot1,4,27.9623
seal,7,15,60,42,12,13,1,60,60,9,enc_dec,4,33.6182
seal,7,15,60,42,12,13,1,60,60,9,rot1,4,27.9839
seal,7,15,60,42,12,13,1,60,60,8,enc_dec,4,33.6196
seal,7,15,60,42,12,13,1,60,60,8,rot1,4,27.9759
seal,7,15,60,42,12,13,1,60,60,7,enc_dec,4,33.6130
seal,7,15,60,42,12,13,1,60,60,7,rot1,4,27.9590
seal,7,15,60,42,12,13,1,60,60,6,enc_dec,4,33.6302
seal,7,15,60,42,12,13,1,60,60,6,rot1,4,27.9662
seal,7,15,60,42,12,13,1,60,60,5,enc_dec,4,33.6169
seal,7,15,60,42,12,13,1,60,60,5,rot1,4,27.9656
seal,7,15,60,42,12,13,1,60,60,4,enc_dec,4,33.6271
seal,7,15,60,42,12,13,1,60,60,4,rot1,4,27.9753
seal,7,15,60,42,12,13,1,60,60,3,enc_dec,4,33.6015
seal,7,15,60,42,12,13,1,60,60,3,rot1,4,27.9717
seal,7,15,60,42,12,13,1,60,60,2,enc_dec,4,33.6080
seal,7,15,60,42,12,13,1,60,60,2,rot1,4,27.9801
seal,7,15,60,42,12,13,1,60,60,1,enc_dec,4,33.6126
seal,7,15,60,42,12,13,1,60,60,1,rot1,4,27.9676
seal,7,15,60,42,12,13,1,60,60,12,enc_dec,5,33.6179
seal,7,15,60,42,12,13,1,60,60,12,rot1,5,27.9555
seal,7,15,60,42,12,13,1,60,60,11,enc_dec,5,33.6060
seal,7,15,60,42,12,13,1,60,60,11,rot1,5,27.9641
seal,7,15,60,42,12,13,1,60,60,10,enc_dec,5,33.6204
seal,7,15,60,42,12,13,1,60,60,10,rot1,5,27.9671
seal,7,15,60,42,12,13,1,60,60,9,enc_dec,5,33.6110
seal,7,15,60,42,12,13,1,60,60,9,rot1,5,27.9455
seal,7,15,60,42,12,13,1,60,60,8,enc_dec,5,33.6287
seal,7,15,60,42,12,13,1,60,60,8,rot1,5,27.9626
seal,7,15,60,42,12,13,1,60,60,7,enc_dec,5,33.6236
