library,exp,logN,q0,delta,depth,dnum,PCount,logP,maxDigitBits,level,path,rep,bits
seal,7,15,60,42,12,13,1,60,60,12,enc_dec,0,33.6061
seal,7,15,60,42,12,13,1,60,60,12,rot1,0,27.9190
seal,7,15,60,42,12,13,1,60,60,11,enc_dec,0,33.6180
seal,7,15,60,42,12,13,1,60,60,11,rot1,0,27.9318
seal,7,15,60,42,12,13,1,60,60,10,enc_dec,0,33.6382
seal,7,15,60,42,12,13,1,60,60,10,rot1,0,27.9276
seal,7,15,60,42,12,13,1,60,60,9,enc_dec,0,33.6175
seal,7,15,60,42,12,13,1,60,60,9,rot1,0,27.9324
seal,7,15,60,42,12,13,1,60,60,8,enc_dec,0,33.6247
seal,7,15,60,42,12,13,1,60,60,8,rot1,0,27.9300
seal,7,15,60,42,12,13,1,60,60,7,enc_dec,0,33.6190
seal,7,15,60,42,12,13,1,60,60,7,rot1,0,27.9320
seal,7,15,60,42,12,13,1,60,60,6,enc_dec,0,33.6078
seal,7,15,60,42,12,13,1,60,60,6,rot1,0,27.9300
seal,7,15,60,42,12,13,1,60,60,5,enc_dec,0,33.6060
seal,7,15,60,42,12,13,1,60,60,5,rot1,0,27.9161
seal,7,15,60,42,12,13,1,60,60,4,enc_dec,0,33.6132
seal,7,15,60,42,12,13,1,60,60,4,rot1,0,27.9244
seal,7,15,60,42,12,13,1,60,60,3,enc_dec,0,33.6302
seal,7,15,60,42,12,13,1,60,60,3,rot1,0,27.9374
seal,7,15,60,42,12,13,1,60,60,2,enc_dec,0,33.6138
seal,7,15,60,42,12,13,1,60,60,2,rot1,0,27.9234
seal,7,15,60,42,12,13,1,60,60,1,enc_dec,0,33.6279
seal,7,15,60,42,12,13,1,60,60,1,rot1,0,27.9383
seal,7,15,60,42,12,13,1,60,60,12,enc_dec,1,33.6158
seal,7,15,60,42,12,13,1,60,60,12,rot1,1,27.9906
seal,7,15,60,42,12,13,1,60,60,11,enc_dec,1,33.6227
seal,7,15,60,42,12,13,1,60,60,11,rot1,1,27.9974
seal,7,15,60,42,12,13,1,60,60,10,enc_dec,1,33.6220
seal,7,15,60,42,12,13,1,60,60,10,rot1,1,27.9948
seal,7,15,60,42,12,13,1,60,60,9,enc_dec,1,33.6265
seal,7,15,60,42,12,13,1,60,60,9,rot1,1,27.9854
seal,7,15,60,42,12,13,1,60,60,8,enc_dec,1,33.6164
seal,7,15,60,42,12,13,1,60,60,8,rot1,1,27.9962
seal,7,15,60,42,12,13,1,60,60,7,enc_dec,1,33.6087
seal,7,15,60,42,12,13,1,60,60,7,rot1,1,27.9892
seal,7,15,60,42,12,13,1,60,60,6,enc_dec,1,33.6075
seal,7,15,60,42,12,13,1,60,60,6,rot1,1,27.9836
seal,7,15,60,42,12,13,1,60,60,5,enc_dec,1,33.6319
seal,7,15,60,42,12,13,1,60,60,5,rot1,1,27.9924
seal,7,15,60,42,12,13,1,60,60,4,enc_dec,1,33.6093
seal,7,15,60,42,12,13,1,60,60,4,rot1,1,28.0005
seal,7,15,60,42,12,13,1,60,60,3,enc_dec,1,33.6225
seal,7,15,60,42,12,13,1,60,60,3,rot1,1,27.9912
seal,7,15,60,42,12,13,1,60,60,2,enc_dec,1,33.6127
seal,7,15,60,42,12,13,1,60,60,2,rot1,1,27.9938
seal,7,15,60,42,12,13,1,60,60,1,enc_dec,1,33.6279
seal,7,15,60,42,12,13,1,60,60,1,rot1,1,28.0004
seal,7,15,60,42,12,13,1,60,60,12,enc_dec,2,33.6172
seal,7,15,60,42,12,13,1,60,60,12,rot1,2,27.9897
seal,7,15,60,42,12,13,1,60,60,11,enc_dec,2,33.6149
seal,7,15,60,42,12,13,1,60,60,11,rot1,2,27.9906
seal,7,15,60,42,12,13,1,60,60,10,enc_dec,2,33.5989
seal,7,15,60,42,12,13,1,60,60,10,rot1,2,27.9893
seal,7,15,60,42,12,13,1,60,60,9,enc_dec,2,33.6154
seal,7,15,60,42,12,13,1,60,60,9,rot1,2,27.9809
seal,7,15,60,42,12,13,1,60,60,8,enc_dec,2,33.6136
seal,7,15,60,42,12,13,1,60,60,8,rot1,2,27.9922
seal,7,15,60,42,12,13,1,60,60,7,enc_dec,2,33.6187
seal,7,15,60,42,12,13,1,60,60,7,rot1,2,27.9893
seal,7,15,60,42,12,13,1,60,60,6,enc_dec,2,33.6155
seal,7,15,60,42,12,13,1,60,60,6,rot1,2,27.9908
seal,7,15,60,42,12,13,1,60,60,5,enc_dec,2,33.6193
seal,7,15,60,42,12,13,1,60,60,5,rot1,2,27.9773
seal,7,15,60,42,12,13,1,60,60,4,enc_dec,2,33.6107
seal,7,15,60,42,12,13,1,60,60,4,rot1,2,27.9923
seal,7,15,60,42,12,13,1,60,60,3,enc_dec,2,33.6234
seal,7,15,60,42,12,13,1,60,60,3,rot1,2,27.9887
seal,7,15,60,42,12,13,1,60,60,2,enc_dec,2,33.6428
seal,7,15,60,42,12,13,1,60,60,2,rot1,2,27.9929
seal,7,15,60,42,12,13,1,60,60,1,enc_dec,2,33.6170
