library,exp,logN,q0,delta,depth,dnum,PCount,logP,logQ,logQP,bound,margin,maxLevel,level,op,mean_us,std_us,reps,digits,threads,nthreads,ok,err
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,12,add_cc,1531.081,61.837,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1t,1,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,12,add_cp,1370.304,21.499,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1t,1,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,12,mul_cp,1331.914,13.322,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1t,1,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,12,mul_cc,5255.581,85.729,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1t,1,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,12,mul_cc_rlk,52918.406,638.549,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1t,1,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,12,relin,51795.604,821.578,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1t,1,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,12,rescale,3021.493,56.444,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1t,1,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,12,rot1,49838.248,748.252,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1t,1,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,11,add_cc,1300.094,15.737,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1t,1,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,11,add_cp,1266.098,10.963,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1t,1,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,11,mul_cp,1233.788,11.169,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1t,1,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,11,mul_cc,4847.834,119.767,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1t,1,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,11,mul_cc_rlk,49281.614,490.222,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1t,1,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,11,relin,47652.186,676.596,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1t,1,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,11,rescale,2747.874,38.987,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1t,1,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,11,rot1,46065.159,622.411,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1t,1,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,10,add_cc,1191.010,11.504,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1t,1,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,10,add_cp,1150.850,11.078,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1t,1,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,10,mul_cp,1127.619,14.564,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1t,1,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,10,mul_cc,4370.761,97.120,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1t,1,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,10,mul_cc_rlk,45689.656,608.717,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1t,1,1,
