library,exp,logN,q0,delta,depth,dnum,PCount,logP,logQ,logQP,bound,margin,maxLevel,level,op,mean_us,std_us,reps,digits,threads,nthreads,ok,err
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,12,add_cc,1444.853,24.245,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,12,add_cp,1357.434,45.957,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,12,mul_cp,1239.665,34.318,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,12,mul_cc,5737.804,595.519,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,12,mul_cc_rlk,24850.561,1213.339,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,12,relin,23799.289,7671.654,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,12,rescale,1134.723,39.296,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,12,rot1,21808.848,3420.151,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,11,add_cc,1441.632,30.109,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,11,add_cp,1256.199,20.442,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
