library,exp,logN,q0,delta,depth,dnum,PCount,logP,maxDigitBits,level,path,rep,bits
seal,8,15,60,42,12,13,1,60,60,12,enc_dec,0,33.6210
seal,8,15,60,42,12,13,1,60,60,12,rot1,0,27.9678
seal,8,15,60,42,12,13,1,60,60,12,enc_dec,1,33.6231
seal,8,15,60,42,12,13,1,60,60,12,rot1,1,27.9553
seal,8,15,60,42,12,13,1,60,60,12,enc_dec,2,33.6108
seal,8,15,60,42,12,13,1,60,60,12,rot1,2,27.9647
seal,8,15,60,42,12,13,1,60,60,12,enc_dec,3,33.6132
seal,8,15,60,42,12,13,1,60,60,12,rot1,3,27.9556
seal,8,15,60,42,12,13,1,60,60,12,enc_dec,4,33.6128
seal,8,15,60,42,12,13,1,60,60,12,rot1,4,27.9692
seal,8,15,60,42,12,13,1,60,60,12,enc_dec,5,33.6144
seal,8,15,60,42,12,13,1,60,60,12,rot1,5,27.9368
seal,8,15,60,42,12,13,1,60,60,12,enc_dec,6,33.6284
seal,8,15,60,42,12,13,1,60,60,12,rot1,6,27.9616
seal,8,15,60,42,12,13,1,60,60,12,enc_dec,7,33.6260
seal,8,15,60,42,12,13,1,60,60,12,rot1,7,28.0031
seal,8,15,60,42,12,13,1,60,60,12,enc_dec,8,33.6119
seal,8,15,60,42,12,13,1,60,60,12,rot1,8,27.9621
seal,8,15,60,42,12,13,1,60,60,12,enc_dec,9,33.6049
seal,8,15,60,42,12,13,1,60,60,12,rot1,9,27.9656
seal,8,15,60,42,12,13,1,60,60,12,enc_dec,10,33.6204
seal,8,15,60,42,12,13,1,60,60,12,rot1,10,27.9842
seal,8,15,60,42,12,13,1,60,60,12,enc_dec,11,33.6173
seal,8,15,60,42,12,13,1,60,60,12,rot1,11,27.9854
