library,exp,logN,q0,delta,depth,dnum,PCount,logP,maxDigitBits,level,path,rep,bits
seal,8,15,60,42,12,13,1,60,60,12,enc_dec,0,33.6095
seal,8,15,60,42,12,13,1,60,60,12,rot1,0,27.9857
seal,8,15,60,42,12,13,1,60,60,12,enc_dec,1,33.6211
seal,8,15,60,42,12,13,1,60,60,12,rot1,1,27.9800
seal,8,15,60,42,12,13,1,60,60,12,enc_dec,2,33.6092
seal,8,15,60,42,12,13,1,60,60,12,rot1,2,27.9668
seal,8,15,60,42,12,13,1,60,60,12,enc_dec,3,33.6189
seal,8,15,60,42,12,13,1,60,60,12,rot1,3,27.9639
seal,8,15,60,42,12,13,1,60,60,12,enc_dec,4,33.6123
seal,8,15,60,42,12,13,1,60,60,12,rot1,4,27.9489
seal,8,15,60,42,12,13,1,60,60,12,enc_dec,5,33.6235
seal,8,15,60,42,12,13,1,60,60,12,rot1,5,27.9852
seal,8,15,60,42,12,13,1,60,60,12,enc_dec,6,33.6160
seal,8,15,60,42,12,13,1,60,60,12,rot1,6,27.9489
seal,8,15,60,42,12,13,1,60,60,12,enc_dec,7,33.6010
seal,8,15,60,42,12,13,1,60,60,12,rot1,7,27.9412
seal,8,15,60,42,12,13,1,60,60,12,enc_dec,8,33.6153
seal,8,15,60,42,12,13,1,60,60,12,rot1,8,27.9706
seal,8,15,60,42,12,13,1,60,60,12,enc_dec,9,33.6158
seal,8,15,60,42,12,13,1,60,60,12,rot1,9,27.9795
seal,8,15,60,42,12,13,1,60,60,12,enc_dec,10,33.6124
seal,8,15,60,42,12,13,1,60,60,12,rot1,10,27.9710
seal,8,15,60,42,12,13,1,60,60,12,enc_dec,11,33.6091
seal,8,15,60,42,12,13,1,60,60,12,rot1,11,27.9947
