library,exp,logN,q0,delta,depth,dnum,PCount,logP,logQ,logQP,bound,margin,maxLevel,level,op,mean_us,std_us,reps,digits,threads,nthreads,ok,err
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,12,add_cc,1408.824,17.944,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,12,add_cp,1372.353,27.739,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,12,mul_cp,1510.206,264.220,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,12,mul_cc,8911.523,145.482,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,12,mul_cc_rlk,35183.310,4076.690,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,12,relin,28282.375,1236.352,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,12,rescale,3890.781,265.280,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,12,rot1,29737.042,7973.507,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,11,add_cc,1490.783,19.190,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,11,add_cp,1293.906,24.345,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,11,mul_cp,1425.126,25.752,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,11,mul_cc,8155.249,216.556,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,11,mul_cc_rlk,33654.877,2965.167,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,11,relin,28290.374,3303.789,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,11,rescale,3816.176,13.948,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,11,rot1,27163.258,4119.493,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,10,add_cc,1310.337,12.749,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,10,add_cp,1155.314,21.938,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,10,mul_cp,1282.839,11.816,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,10,mul_cc,7212.664,47.454,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,10,mul_cc_rlk,33390.717,5389.047,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,10,relin,28754.368,4441.397,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,10,rescale,3705.067,54.225,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,10,rot1,25606.220,1124.713,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,9,add_cc,1174.422,21.541,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,9,add_cp,1042.707,33.242,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,9,mul_cp,1135.066,10.206,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,9,mul_cc,6541.587,91.254,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,9,mul_cc_rlk,26889.872,5826.932,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,9,relin,22092.573,3014.404,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,9,rescale,3235.210,33.036,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,9,rot1,21078.721,5044.776,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,8,add_cc,945.077,7.603,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,8,add_cp,885.978,10.400,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,8,mul_cp,984.255,7.045,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,8,mul_cc,5891.706,174.879,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,8,mul_cc_rlk,25946.852,5708.087,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,8,relin,20081.742,2489.979,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,8,rescale,3660.922,159.850,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,8,rot1,18575.497,1407.207,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,7,add_cc,807.396,11.240,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,7,add_cp,778.875,16.565,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,7,mul_cp,905.871,21.291,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,7,mul_cc,5143.531,125.670,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,7,mul_cc_rlk,25509.936,6667.903,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,7,relin,21468.157,5851.505,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,7,rescale,3069.016,39.833,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,7,rot1,18744.049,3130.010,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
openfhe,7,15,60,42,12,3,4,240,564,804,881,77,12,6,add_cc,776.281,11.036,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,mt,16,1,
