library,exp,logN,q0,delta,depth,dnum,PCount,logP,maxDigitBits,level,path,rep,bits
openfhe,5,15,60,42,12,3,4,240,228,12,enc_dec,0,30.3036
openfhe,5,15,60,42,12,3,4,240,228,12,rot1,0,27.9146
openfhe,5,15,60,42,12,3,4,240,228,11,enc_dec,0,30.3238
openfhe,5,15,60,42,12,3,4,240,228,11,rot1,0,27.9460
openfhe,5,15,60,42,12,3,4,240,228,10,enc_dec,0,30.3266
openfhe,5,15,60,42,12,3,4,240,228,10,rot1,0,27.9062
openfhe,5,15,60,42,12,3,4,240,228,9,enc_dec,0,30.3179
openfhe,5,15,60,42,12,3,4,240,228,9,rot1,0,27.9108
openfhe,5,15,60,42,12,3,4,240,228,8,enc_dec,0,30.3190
openfhe,5,15,60,42,12,3,4,240,228,8,rot1,0,27.9130
openfhe,5,15,60,42,12,3,4,240,228,7,enc_dec,0,30.3377
openfhe,5,15,60,42,12,3,4,240,228,7,rot1,0,27.9088
openfhe,5,15,60,42,12,3,4,240,228,6,enc_dec,0,30.3036
openfhe,5,15,60,42,12,3,4,240,228,6,rot1,0,27.9336
openfhe,5,15,60,42,12,3,4,240,228,5,enc_dec,0,30.3154
openfhe,5,15,60,42,12,3,4,240,228,5,rot1,0,27.9039
openfhe,5,15,60,42,12,3,4,240,228,4,enc_dec,0,30.3227
openfhe,5,15,60,42,12,3,4,240,228,4,rot1,0,27.9302
openfhe,5,15,60,42,12,3,4,240,228,3,enc_dec,0,30.3230
openfhe,5,15,60,42,12,3,4,240,228,3,rot1,0,27.9198
openfhe,5,15,60,42,12,3,4,240,228,2,enc_dec,0,30.3056
openfhe,5,15,60,42,12,3,4,240,228,2,rot1,0,27.8930
openfhe,5,15,60,42,12,3,4,240,228,1,enc_dec,0,30.3130
openfhe,5,15,60,42,12,3,4,240,228,1,rot1,0,27.9268
openfhe,5,15,60,42,12,3,4,240,228,12,enc_dec,1,30.3257
openfhe,5,15,60,42,12,3,4,240,228,12,rot1,1,27.4038
openfhe,5,15,60,42,12,3,4,240,228,11,enc_dec,1,30.3207
openfhe,5,15,60,42,12,3,4,240,228,11,rot1,1,27.3975
openfhe,5,15,60,42,12,3,4,240,228,10,enc_dec,1,30.3181
openfhe,5,15,60,42,12,3,4,240,228,10,rot1,1,27.4042
openfhe,5,15,60,42,12,3,4,240,228,9,enc_dec,1,30.3039
openfhe,5,15,60,42,12,3,4,240,228,9,rot1,1,27.4030
openfhe,5,15,60,42,12,3,4,240,228,8,enc_dec,1,30.3062
openfhe,5,15,60,42,12,3,4,240,228,8,rot1,1,27.4076
openfhe,5,15,60,42,12,3,4,240,228,7,enc_dec,1,30.3276
